Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
294.260	0.00000	0.00000	infinite	12.0288	14.4754	-9.99996e+06	27.2519	35.5664	446.134	undefined	10.9368	0.0333473	vapor
294.260	1.72000	11.6377	0.0859273	11.8254	14.1964	82.4132	27.5427	37.3269	440.663	4.40029	11.1928	0.0345616	vapor
294.260	3.45000	24.0933	0.0415053	11.6118	13.9090	75.9058	27.8403	39.3561	436.414	4.26535	11.5297	0.0359845	vapor
294.260	5.17000	37.2411	0.0268520	11.3908	13.6179	71.8041	28.1361	41.6381	433.804	4.09229	11.9539	0.0376669	supercritical
294.260	6.89000	51.1288	0.0195585	11.1620	13.3239	68.6620	28.4243	44.1569	433.246	3.87564	12.4769	0.0396610	supercritical
294.260	8.62000	65.7567	0.0152076	10.9259	13.0290	66.0360	28.6978	46.8504	435.238	3.61373	13.1097	0.0420105	supercritical
294.260	10.3400	80.7873	0.0123782	10.6883	12.7416	63.7745	28.9443	49.5508	440.197	3.31575	13.8470	0.0446850	supercritical
310.930	0.00000	0.00000	infinite	12.4883	15.0735	-9.99996e+06	27.8897	36.2042	457.369	undefined	11.4730	0.0356827	vapor
310.930	1.72000	10.9475	0.0913452	12.3011	14.8217	84.4800	28.1335	37.7125	453.255	3.91031	11.7187	0.0368145	vapor
310.930	3.45000	22.5146	0.0444157	12.1068	14.5651	78.0745	28.3787	39.3969	450.298	3.78284	12.0311	0.0381130	vapor
310.930	5.17000	34.5572	0.0289375	11.9080	14.3081	74.0856	28.6190	41.2317	448.793	3.62909	12.4129	0.0396104	supercritical
310.930	6.89000	47.1020	0.0212305	11.7044	14.0511	71.0662	28.8517	43.2000	449.011	3.44626	12.8706	0.0413398	supercritical
310.930	8.62000	60.1491	0.0166253	11.4964	13.7955	68.5701	29.0730	45.2618	451.269	3.23369	13.4108	0.0433290	supercritical
310.930	10.3400	73.4274	0.0136189	11.2882	13.5473	66.4385	29.2757	47.3156	455.803	2.99784	14.0273	0.0455528	supercritical
327.590	0.00000	0.00000	infinite	12.9588	15.6825	-9.99996e+06	28.5982	36.9127	468.125	undefined	11.9981	0.0381091	vapor
327.590	1.72000	10.3404	0.0967081	12.7855	15.4540	86.4611	28.8053	38.2203	465.130	3.48525	12.2340	0.0391700	vapor
327.590	3.45000	21.1564	0.0472669	12.6071	15.2233	80.1365	29.0111	39.6455	463.214	3.36665	12.5259	0.0403669	vapor
327.590	5.17000	32.3003	0.0309594	12.4262	14.9940	76.2346	29.2112	41.1617	462.585	3.22958	12.8740	0.0417208	supercritical
327.590	6.89000	43.7915	0.0228355	12.2424	14.7666	73.3077	29.4040	42.7547	463.426	3.07253	13.2823	0.0432542	supercritical
327.590	8.62000	55.6341	0.0179746	12.0559	14.5415	70.9078	29.5878	44.3984	465.948	2.89527	13.7550	0.0449862	supercritical
327.590	10.3400	67.6015	0.0147926	11.8700	14.3238	68.8716	29.7579	46.0258	470.286	2.70257	14.2860	0.0468947	supercritical
344.260	0.00000	0.00000	infinite	13.4418	16.3042	-9.99996e+06	29.3697	37.6843	478.466	undefined	12.5130	0.0406311	vapor
344.260	1.72000	9.80083	0.102032	13.2807	16.0961	88.3727	29.5476	38.8290	476.406	3.11384	12.7399	0.0416300	vapor
344.260	3.45000	19.9702	0.0500745	13.1158	15.8874	82.1137	29.7231	40.0532	475.343	3.00446	13.0142	0.0427419	vapor
344.260	5.17000	30.3635	0.0329343	12.9497	15.6813	78.2810	29.8926	41.3323	475.423	2.88191	13.3348	0.0439806	supercritical
