Liquid Phase - RandomForest
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,2.0%,5.038,2912.242,53.965,0.140
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,1.0%,1.204,20.053,4.478,0.927

Vapor Phase - RandomForest
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,37.0%,31.613,14740.802,121.412,0.264
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,40.0%,22.780,5489.801,74.093,-3.971

Supercritical Phase - RandomForest
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,7.0%,9.494,927.602,30.457,0.805
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,9.0%,10.572,1049.895,32.402,0.772

