Liquid Phase - ExtraTressRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
liquid (ExpxModel),2.0%,0.471,1.927,1.388,0.598
liquid (ExpxNIST),2.0%,0.446,1.815,1.347,0.622
liquid (NISTxModel),1.0%,0.365,0.225,0.474,0.900

Vapor Phase - ExtraTressRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
vapor (ExpxModel),12.0%,3.340,17.672,4.204,-0.488
vapor (ExpxNIST),3.0%,0.662,0.656,0.810,0.945
vapor (NISTxModel),9.0%,2.678,14.589,3.820,-0.785

Supercritical Phase - ExtraTressRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
supercritical (ExpxModel),1.0%,0.385,1.775,1.332,0.748
supercritical (ExpxNIST),1.0%,0.483,1.000,1.000,0.858
supercritical (NISTxModel),2.0%,0.550,0.819,0.905,0.813

