Liquid Phase - NeuralNetwork_WithoutGridsearch
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,10.0%,19.272,1149.037,33.897,0.694
Exp x NIST,6.0%,4.122,695.778,26.378,0.815
NIST x Model,5.0%,16.972,607.996,24.658,0.808

Vapor Phase - NeuralNetwork_WithoutGridsearch
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,256.0%,18.968,1070.348,32.716,0.268
Exp x NIST,3.0%,3.988,489.328,22.121,0.665
NIST x Model,256.0%,15.754,552.320,23.501,0.247

Supercritical Phase - NeuralNetwork_WithoutGridsearch
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,12.0%,16.218,508.134,22.542,0.939
Exp x NIST,1.0%,1.813,106.597,10.325,0.987
NIST x Model,11.0%,15.178,401.072,20.027,0.952

