Liquid Phase - RandomForest
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,7.0%,8.605,798.855,28.264,0.787
Exp x NIST,6.0%,4.122,695.778,26.378,0.815
NIST x Model,2.0%,5.778,141.607,11.900,0.955

Vapor Phase - RandomForest
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,44.0%,7.183,380.358,19.503,0.740
Exp x NIST,3.0%,3.988,489.328,22.121,0.665
NIST x Model,44.0%,5.259,143.326,11.972,0.805

Supercritical Phase - RandomForest
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,5.0%,6.540,174.627,13.215,0.979
Exp x NIST,1.0%,1.813,106.597,10.325,0.987
NIST x Model,4.0%,5.473,70.693,8.408,0.991

