Liquid Phase - XGB
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,8.0%,14.358,918.411,30.305,0.756
Exp x NIST,6.0%,4.122,695.778,26.378,0.815
NIST x Model,4.0%,12.216,411.265,20.280,0.870

Vapor Phase - XGB
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,84.0%,11.354,546.317,23.373,0.626
Exp x NIST,3.0%,3.988,489.328,22.121,0.665
NIST x Model,83.0%,8.665,205.239,14.326,0.720

Supercritical Phase - XGB
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,16.0%,19.754,672.769,25.938,0.919
Exp x NIST,1.0%,1.813,106.597,10.325,0.987
NIST x Model,16.0%,19.111,599.615,24.487,0.928

