Temperature (K),Pressure (MPa),Cp (J/mol*K),Reference
294.26,0.0,35.5966,Budenhoizer-1939   
294.26,1.72,37.228,Budenhoizer-1939  
294.26,3.45,39.0072,Budenhoizer-1939 
310.93,0.0,36.2545,Budenhoizer-1939 
310.93,1.72,37.6846,Budenhoizer-1939 
310.93,3.45,39.2422,Budenhoizer-1939 
327.59,0.0,36.9595,Budenhoizer-1939
327.59,1.72,38.2149,Budenhoizer-1939
327.59,3.45,39.5644,Budenhoizer-1939
344.26,0.0,37.7316,Budenhoizer-1939
344.26,1.72,38.8192,Budenhoizer-1939
344.26,3.45,40.0008,Budenhoizer-1939
360.93,0.0,38.5909,Budenhoizer-1939
360.93,1.72,39.5309,Budenhoizer-1939 
360.93,3.45,40.5514,Budenhoizer-1939
377.59,0.0,39.4771,Budenhoizer-1939
377.59,1.72,40.3164,Budenhoizer-1939
377.59,3.45,41.2026,Budenhoizer-1939
180.0,3.2,1277.5479,Kasteren-1979  
180.5,3.2,966.4187,Kasteren-1979  
180.6,3.2,971.2497,Kasteren-1979  
185.5,3.2,72.562,Kasteren-1979 
193.2,3.2,57.9886,Kasteren-1979 
193.1,3.2,58.101,Kasteren-1979 
202.9,3.2,50.2044,Kasteren-1979 
202.9,3.2,50.0279,Kasteren-1979
155.37,1.03,42.0955,Jones-1963
160.93,1.03,40.4842,Jones-1963
166.48,1.03,39.3429,Jones-1963
172.04,1.03,38.5372,Jones-1963
177.59,1.03,38.0001,Jones-1963
183.15,1.03,37.5973,Jones-1963
188.71,1.03,37.2616,Jones-1963
194.26,1.03,36.993,Jones-1963
199.82,1.03,36.7245,Jones-1963
205.37,1.03,36.5231,Jones-1963
210.93,1.03,36.3888,Jones-1963
216.48,1.03,36.2545,Jones-1963
222.04,1.03,36.0531,Jones-1963
227.59,1.03,35.986,Jones-1963
233.15,1.03,35.9188,Jones-1963
238.71,1.03,35.9188,Jones-1963
244.26,1.03,35.8517,Jones-1963
249.82,1.03,35.9188,Jones-1963
255.37,1.03,35.9188,Jones-1963
260.93,1.03,35.986,Jones-1963
266.48,1.03,36.0531,Jones-1963
272.04,1.03,36.1202,Jones-1963
277.59,1.03,36.1874,Jones-1963
283.15,1.03,36.2545,Jones-1963
172.04,2.07,55.456,Jones-1963
177.59,2.07,50.6221,Jones-1963
183.15,2.07,47.3323,Jones-1963
188.71,2.07,44.9153,Jones-1963
194.26,2.07,43.2369,Jones-1963
199.82,2.07,41.8941,Jones-1963
205.37,2.07,40.8199,Jones-1963
210.93,2.07,40.0142,Jones-1963
216.48,2.07,39.3429,Jones-1963
222.04,2.07,38.8729,Jones-1963
227.59,2.07,38.4701,Jones-1963
233.15,2.07,38.2015,Jones-1963
238.71,2.07,37.933,Jones-1963
244.26,2.07,37.7316,Jones-1963
249.82,2.07,37.5973,Jones-1963
255.37,2.07,37.5301,Jones-1963
260.93,2.07,37.463,Jones-1963
266.48,2.07,37.3959,Jones-1963
272.04,2.07,37.3959,Jones-1963
277.59,2.07,37.3959,Jones-1963
283.15,2.07,37.3287,Jones-1963
177.59,2.41,58.1415,Jones-1963
183.15,2.41,52.7033,Jones-1963
188.71,2.41,49.2122,Jones-1963
194.26,2.41,46.6609,Jones-1963
199.82,2.41,44.6468,Jones-1963
205.37,2.41,43.1026,Jones-1963
210.93,2.41,41.7598,Jones-1963
216.48,2.41,40.8199,Jones-1963
222.04,2.41,40.0814,Jones-1963
227.59,2.41,39.5443,Jones-1963
233.15,2.41,39.0743,Jones-1963
238.71,2.41,38.7386,Jones-1963
244.26,2.41,38.4701,Jones-1963
249.82,2.41,38.2687,Jones-1963
255.37,2.41,38.1344,Jones-1963
260.93,2.41,38.0001,Jones-1963
