Temperature (K),Pressure (MPa),Cv (J/mol*K),Reference
200.94,6.49,34.62,Roder-1976  
202.61,6.8,34.08,Roder-1976  
205.12,7.26,33.37,Roder-1976  
208.47,7.89,32.75,Roder-1976  
212.7,8.69,32.13,Roder-1976  
217.78,9.65,31.67,Roder-1976  
190.96,4.67,52.45,Roder-1976  
192.49,4.94,40.76,Roder-1976 
194.09,5.23,38.44,Roder-1976 
195.71,5.52,37.11,Roder-1976  
197.28,5.81,36.02,Roder-1976  
198.91,6.11,35.27,Roder-1976  
200.56,6.42,34.71,Roder-1976  
202.22,6.72,34.03,Roder-1976  
204.72,7.19,33.47,Roder-1976  
208.09,7.82,32.83,Roder-1976  
212.33,8.62,32.2,Roder-1976  
200.34,5.69,35.35,Younglove-1974
201.34,5.8,35.0,Younglove-1974
207.85,6.52,33.15,Younglove-1974
208.17,6.56,33.14,Younglove-1974
215.4,7.35,31.73,Younglove-1974
222.94,8.16,31.05,Younglove-1974
222.99,8.17,31.06,Younglove-1974
230.37,8.96,30.7,Younglove-1974
230.45,8.97,30.45,Younglove-1974
237.53,9.72,30.42,Younglove-1974
238.13,9.79,30.2,Younglove-1974
244.73,10.49,30.05,Younglove-1974
245.48,10.57,30.08,Younglove-1974
252.81,11.34,30.07,Younglove-1974
266.35,12.77,29.79,Younglove-1974
195.78,5.39,39.33,Younglove-1974
198.09,5.73,37.0,Younglove-1974
198.43,5.78,36.92,Younglove-1974
202.6,6.4,34.82,Younglove-1974
203.14,6.49,44.03,Younglove-1974
203.38,6.52,34.79,Younglove-1974
203.73,6.57,34.38,Younglove-1974
208.7,7.32,33.08,Younglove-1974
209.06,7.37,33.45,Younglove-1974
209.53,7.44,32.88,Younglove-1974
209.85,7.49,33.02,Younglove-1974
214.04,8.12,32.48,Younglove-1974
216.47,8.48,31.75,Younglove-1974
216.81,8.54,32.19,Younglove-1974
223.4,9.53,31.32,Younglove-1974
230.79,10.64,30.43,Younglove-1974
237.76,11.68,30.0,Younglove-1974
244.64,12.72,29.86,Younglove-1974
251.49,13.75,29.65,Younglove-1974
259.4,14.93,29.63,Younglove-1974
266.15,15.94,29.56,Younglove-1974
282.52,18.38,29.92,Younglove-1974
289.15,19.37,29.96,Younglove-1974
295.82,20.36,30.17,Younglove-1974
195.63,5.53,37.16,Younglove-1974
196.58,5.71,36.18,Younglove-1974
203.92,7.06,33.22,Younglove-1974
211.37,8.46,31.91,Younglove-1974
215.63,9.26,31.15,Younglove-1974
218.79,9.86,30.92,Younglove-1974
223.65,10.78,30.61,Younglove-1974
226.19,11.27,30.35,Younglove-1974
231.68,12.31,30.16,Younglove-1974
233.57,12.67,30.13,Younglove-1974
239.62,13.83,30.04,Younglove-1974
204.92,14.08,29.65,Younglove-1974
248.73,15.58,29.6,Younglove-1974
257.45,17.25,29.53,Younglove-1974
266.96,19.06,29.63,Younglove-1974
276.53,20.89,29.7,Younglove-1974
296.36,24.66,30.1,Younglove-1974
204.75,7.77,32.39,Younglove-1974
212.02,9.39,31.48,Younglove-1974
219.26,11.02,30.87,Younglove-1974
226.52,12.67,30.48,Younglove-1974
234.07,14.39,30.16,Younglove-1974
241.25,16.03,29.98,Younglove-1974
248.39,17.66,29.96,Younglove-1974
262.57,20.9,29.92,Younglove-1974
276.78,24.14,30.31,Younglove-1974
276.94,24.18,30.11,Younglove-1974
283.78,25.73,30.15,Younglove-1974
290.59,27.28,30.38,Younglove-1974
297.43,28.82,30.69,Younglove-1974
191.54,5.22,34.04,Younglove-1974
195.04,6.12,32.77,Younglove-1974
198.64,7.06,32.0,Younglove-1974
200.32,7.5,31.86,Younglove-1974
205.82,8.96,31.17,Younglove-1974
208.73,9.74,30.94,Younglove-1974
212.95,10.87,30.59,Younglove-1974
217.1,11.99,30.29,Younglove-1974
220.07,12.79,30.15,Younglove-1974
225.39,14.24,30.03,Younglove-1974
227.17,14.72,30.07,Younglove-1974
234.29,16.66,29.83,Younglove-1974
234.42,16.69,29.8,Younglove-1974
241.37,18.59,29.65,Younglove-1974
242.49,18.9,29.59,Younglove-1974
248.29,20.48,29.48,Younglove-1974
255.2,22.36,29.5,Younglove-1974
262.14,24.25,29.66,Younglove-1974 
265.54,25.18,29.68,Younglove-1974
269.54,26.27,29.69,Younglove-1974
273.5,27.34,29.89,Younglove-1974
277.49,28.42,29.88,Younglove-1974
281.44,29.49,30.06,Younglove-1974
289.35,31.62,30.56,Younglove-1974
191.58,6.32,31.54,Younglove-1974
195.12,7.52,31.07,Younglove-1974
195.64,7.69,31.04,Younglove-1974
199.14,8.88,30.67,Younglove-1974
202.28,9.95,30.67,Younglove-1974
202.63,10.07,30.44,Younglove-1974
209.41,12.39,30.2,Younglove-1974
209.57,12.45,30.26,Younglove-1974
216.49,14.83,29.91,Younglove-1974
216.51,14.84,29.88,Younglove-1974
223.35,17.19,29.8,Younglove-1974
223.9,17.38,29.78,Younglove-1974
230.44,19.64,29.64,Younglove-1974
237.25,21.98,29.73,Younglove-1974 
244.05,24.32,29.59,Younglove-1974
250.78,26.63,29.63,Younglove-1974
257.42,28.9,29.69,Younglove-1974
264.04,31.16,29.94,Younglove-1974
270.62,33.4,29.85,Younglove-1974
191.59,6.26,31.73,Younglove-1974
192.87,6.68,31.41,Younglove-1974
193.6,6.93,31.16,Younglove-1974
195.62,7.6,31.04,Younglove-1974
197.62,8.27,31.16,Younglove-1974
199.63,8.95,30.83,Younglove-1974
200.03,9.08,30.75,Younglove-1974
209.23,12.19,30.25,Younglove-1974
217.88,15.14,29.79,Younglove-1974
223.22,16.96,29.83,Younglove-1974
223.9,17.19,29.83,Younglove-1974
229.42,19.08,29.84,Younglove-1974
229.45,19.09,29.8,Younglove-1974
239.42,22.49,29.68,Younglove-1974
241.5,23.2,29.75,Younglove-1974
247.52,25.24,29.71,Younglove-1974
253.44,27.25,29.74,Younglove-1974
259.33,29.25,29.87,Younglove-1974
265.2,31.23,29.86,Younglove-1974
194.73,8.23,30.68,Younglove-1974
195.44,8.49,30.68,Younglove-1974
201.09,10.6,30.2,Younglove-1974
202.94,11.28,30.24,Younglove-1974
206.06,12.45,30.2,Younglove-1974
206.12,12.48,30.02,Younglove-1974
208.68,13.43,30.18,Younglove-1974
210.4,14.08,29.88,Younglove-1974
211.35,14.43,29.99,Younglove-1974
214.14,15.48,29.85,Younglove-1974
215.02,15.81,29.84,Younglove-1974
216.66,16.43,29.92,Younglove-1974
219.58,17.52,29.73,Younglove-1974
225.0,19.55,29.75,Younglove-1974
232.34,22.3,29.59,Younglove-1974
237.66,24.29,29.65,Younglove-1974
243.1,26.32,29.8,Younglove-1974
248.52,28.33,29.69,Younglove-1974
253.92,30.34,29.83,Younglove-1974
259.3,32.33,29.91,Younglove-1974
193.92,8.4,30.51,Younglove-1974
196.59,9.43,30.4,Younglove-1974
203.95,12.3,30.12,Younglove-1974 
211.99,15.44,30.03,Younglove-1974 
219.9,18.53,29.78,Younglove-1974 
227.77,21.6,29.7,Younglove-1974 
235.6,24.64,29.74,Younglove-1974 
245.29,28.39,29.64,Younglove-1974 
252.93,31.33,29.67,Younglove-1974 
192.3,10.01,30.38,Younglove-1974 
198.35,12.75,30.09,Younglove-1974 
204.38,15.48,29.96,Younglove-1974 
210.37,18.19,29.8,Younglove-1974 
216.64,21.02,29.74,Younglove-1974 
222.62,23.71,29.81,Younglove-1974 
228.49,26.33,29.74,Younglove-1974 
234.3,28.92,29.68,Younglove-1974 
240.99,31.89,29.84,Younglove-1974 
193.64,15.69,30.02,Younglove-1974 
196.69,17.36,29.98,Younglove-1974 
199.62,18.96,29.92,Younglove-1974 
202.66,20.63,29.98,Younglove-1974 
205.57,22.21,29.8,Younglove-1974 
208.62,23.86,29.85,Younglove-1974 
211.48,25.41,29.84,Younglove-1974 
214.52,27.06,29.78,Younglove-1974 
217.57,28.7,29.75,Younglove-1974 
220.39,30.21,29.84,Younglove-1974 
223.41,31.82,29.79,Younglove-1974 
191.73,25.45,30.18,Younglove-1974 
194.63,27.43,30.23,Younglove-1974 
198.23,29.88,30.14,Younglove-1974 
200.08,31.14,30.11,Younglove-1974 
