Temperature (K),Pressure (MPa),Density (kg/m3),Reference
252.833,4.5897,42.504396,Vennix-1965
203.399,4.8559,40.752828,Vennix-1965
273.38,5.1058,40.860296,Vennix-1965
208.574,6.027,103.640856,Vennix-1965
223.234,7.2346,103.57188399999998,Vennix-1965
234.44,8.1433,103.52055599999998,Vennix-1965
243.733,8.8913,103.470832,Vennix-1965
243.773,8.8939,103.470832,Vennix-1965
251.376,9.5018,103.43073199999998,Vennix-1965
262.19,10.3505,103.38100799999998,Vennix-1965
272.155,11.1478,103.331284,Vennix-1965
272.185,11.1494,103.331284,Vennix-1965
191.032,4.6145,116.034964,Vennix-1965
193.325,4.8336,115.994864,Vennix-1965
197.737,5.2722,115.975616,Vennix-1965
202.753,5.7627,115.94514,Vennix-1965
203.224,6.2909,115.914664,Vennix-1965
212.165,6.6689,115.89541599999998,Vennix-1965
217.136,7.1421,115.86494,Vennix-1965
222.926,7.6909,115.836068,Vennix-1965
230.05,8.3614,115.795968,Vennix-1965
237.336,9.0432,115.755868,Vennix-1965
242.709,9.5434,115.725392,Vennix-1965
248.444,10.0757,115.694916,Vennix-1965
250.194,10.2376,115.685292,Vennix-1965
253.445,10.5378,115.666044,Vennix-1965
253.642,11.0172,115.635568,Vennix-1965
263.05,11.4229,115.614716,Vennix-1965
268.301,11.9049,115.585844,Vennix-1965
273.171,12.3604,115.555368,Vennix-1965
191.032,4.6579,145.008016,Vennix-1965
191.551,4.7318,157.78547999999998,Vennix-1965
192.938,4.9282,157.77585599999998,Vennix-1965
195.243,5.2563,157.755004,Vennix-1965
197.562,5.587,157.74537999999998,Vennix-1965
200.411,5.9977,157.72613199999998,Vennix-1965
202.829,6.3417,157.70528000000002,Vennix-1965
206.37,6.8503,157.67480399999997,Vennix-1965
213.503,7.8771,157.62507999999997,Vennix-1965
223.647,9.3389,157.54487999999998,Vennix-1965
236.398,11.1767,157.44543199999998,Vennix-1965
248.147,12.8674,157.365232,Vennix-1965
255.163,13.8749,157.305884,Vennix-1965
273.167,16.4504,157.17595999999998,Vennix-1965
191.032,4.6607,163.859828,Vennix-1965
191.04,4.6618,163.813312,Vennix-1965
191.229,4.69,163.813312,Vennix-1965
191.428,4.7188,163.813312,Vennix-1965
191.82,4.7762,163.813312,Vennix-1965
192.076,4.8131,163.813312,Vennix-1965
193.522,5.0263,163.79245999999998,Vennix-1965
195.158,5.27,163.78283599999995,Vennix-1965
197.926,5.6836,163.761984,Vennix-1965
200.575,6.0814,163.74273599999998,Vennix-1965
204.037,6.6036,163.71226,Vennix-1965
207.855,7.1799,163.683388,Vennix-1965
207.855,7.1833,163.683388,Vennix-1965
213.044,7.9691,163.64328799999998,Vennix-1965
233.386,11.0688,163.482888,Vennix-1965
252.887,14.0387,163.33371599999998,Vennix-1965
273.016,17.0925,163.17331599999997,Vennix-1965
273.058,17.0967,163.17331599999997,Vennix-1965
191.032,4.6643,178.977528,Vennix-1965
191.848,4.7983,178.91497199999998,Vennix-1965
191.873,4.8009,178.91497199999998,Vennix-1965
193.248,5.0248,178.905348,Vennix-1965
195.11,5.334,178.89572399999997,Vennix-1965
197.3,5.6992,178.87166399999998,Vennix-1965
199.216,6.0228,178.85562399999998,Vennix-1965
200.901,6.3092,178.846,Vennix-1965
203.064,6.6782,178.82514799999998,Vennix-1965
207.564,7.4516,178.785048,Vennix-1965
213.197,8.4266,178.735324,Vennix-1965
213.204,8.4282,178.735324,Vennix-1965
213.212,8.4293,178.735324,Vennix-1965
223.184,10.166,178.6455,Vennix-1965
233.161,11.9122,178.56529999999998,Vennix-1965
243.137,13.6601,178.47547599999996,Vennix-1965
253.153,15.4123,178.395276,Vennix-1965
263.124,17.1554,178.305452,Vennix-1965
273.092,18.8977,178.22525199999998,Vennix-1965
273.15,18.8927,178.22525199999998,Vennix-1965
191.032,4.6701,188.736264,Vennix-1965
192.498,4.9295,188.6705,Vennix-1965
195.84,5.5256,188.641628,Vennix-1965
198.182,5.9511,188.62077599999995,Vennix-1965
203.434,6.9192,188.571052,Vennix-1965
212.034,8.5308,188.490852,Vennix-1965
212.035,8.531,188.490852,Vennix-1965
222.632,10.5407,188.391404,Vennix-1965
233.402,12.5956,188.30158,Vennix-1965
233.403,12.5973,188.30158,Vennix-1965
237.033,13.2922,188.26148,Vennix-1965
237.034,13.292,188.26148,Vennix-1965
243.378,14.5053,188.200528,Vennix-1965
243.381,14.505,188.200528,Vennix-1965
253.284,16.3987,188.121932,Vennix-1965
263.449,18.3402,188.02088,Vennix-1965
268.3,19.2683,187.98078,Vennix-1965
268.3,19.2678,187.98078,Vennix-1965
272.694,20.105,187.94068,Vennix-1965
272.695,20.1049,187.94068,Vennix-1965
272.698,20.1046,187.94068,Vennix-1965
191.032,4.7247,206.3947,Vennix-1965
191.454,4.8097,203.124144,Vennix-1965
192.397,4.9969,206.32252,Vennix-1965
196.505,5.8521,203.07442,Vennix-1965
203.573,7.3642,206.213448,Vennix-1965
209.295,8.611,206.152496,Vennix-1965
218.622,10.6682,206.062672,Vennix-1965
228.103,12.7755,205.963224,Vennix-1965
238.55,15.1093,205.862172,Vennix-1965
245.92,16.7546,202.575576,Vennix-1965
252.972,18.3347,205.713,Vennix-1965
260.108,19.93,205.642424,Vennix-1965
267.312,21.5373,202.365452,Vennix-1965
274.151,23.0576,205.502876,Vennix-1965
191.075,4.8615,220.545188,Vennix-1965
192.892,5.2817,220.49386,Vennix-1965
195.048,5.7893,220.506692,Vennix-1965
195.065,5.7928,220.506692,Vennix-1965
197.1,6.2787,220.48584,Vennix-1965
203.01,6.9812,220.455364,Vennix-1965
203.322,7.7904,220.415264,Vennix-1965
207.197,8.7439,220.376768,Vennix-1965
213.323,10.2706,220.306192,Vennix-1965
222.792,12.6432,220.206744,Vennix-1965
227.846,13.9174,220.155416,Vennix-1965
233.272,15.2884,220.096068,Vennix-1965
238.506,16.6109,220.03672,Vennix-1965
242.985,17.7429,219.985392,Vennix-1965
248.766,19.2026,219.926044,Vennix-1965
253.111,20.3005,219.885944,Vennix-1965
258.314,21.6145,219.826596,Vennix-1965
262.932,22.7811,219.776872,Vennix-1965
267.819,24.0117,219.693464,Vennix-1965
267.886,24.0266,219.693464,Vennix-1965
273.153,25.3551,219.666196,Vennix-1965
191.453,5.3786,240.08672,Vennix-1965
194.804,6.3256,240.04662,Vennix-1965
199.611,7.7104,239.987272,Vennix-1965
203.054,8.7135,239.947172,Vennix-1965
207.627,10.0574,239.897448,Vennix-1965
212.935,11.6265,239.836496,Vennix-1965
221.36,14.131,239.737048,Vennix-1965
228.637,16.3016,239.647224,Vennix-1965
236.599,18.6801,239.5574,Vennix-1965
245.086,21.214,239.424268,Vennix-1965
233.068,23.5968,239.3569,Vennix-1965
260.836,25.9036,239.267076,Vennix-1965
268.824,28.2716,239.177252,Vennix-1965
275.154,30.1472,239.097052,Vennix-1965
194.419,7.7509,264.88456,Vennix-1965
198.42,9.1963,264.83483599999994,Vennix-1965
201.044,10.1638,264.79473600000006,Vennix-1965
207.77,12.6173,264.701704,Vennix-1965
213.666,14.7882,264.624712,Vennix-1965
222.393,18.1824,264.504412,Vennix-1965
232.812,21.835,264.374488,Vennix-1965
241.295,24.9578,264.265416,Vennix-1965
254.531,29.8027,264.095392,Vennix-1965
261.826,32.4594,263.995944,Vennix-1965
267.883,34.6584,263.915744,Vennix-1965
272.981,36.4997,263.845168,Vennix-1965
196.384,10.4601,281.44586,Vennix-1965
200.537,12.2244,281.416988,Vennix-1965
208.822,15.7426,281.307916,Vennix-1965
217.044,19.2276,281.187616,Vennix-1965
225.022,22.5971,281.0769399999999,Vennix-1965
233.079,25.9963,280.95663999999994,Vennix-1965
240.996,29.3223,280.847568,Vennix-1965
250.735,33.3921,280.7080199999999,Vennix-1965
258.646,36.6598,280.597344,Vennix-1965
266.75,10.0092,275.676272,Vennix-1965
274.303,13.1136,275.565596,Vennix-1965
193.63,11.7303,296.399952,Vennix-1965
198.667,14.1558,296.319752,Vennix-1965
203.156,16.3161,296.25078,Vennix-1965
208.214,18.7511,296.18020399999995,Vennix-1965
212.424,20.7694,296.109628,Vennix-1965
218.758,23.8049,296.019804,Vennix-1965
223.742,26.1867,295.939604,Vennix-1965
229.135,28.7485,295.861008,Vennix-1965
233.395,30.7683,295.800056,Vennix-1965
237.607,32.7596,295.740708,Vennix-1965
243.055,35.3252,295.650884,Vennix-1965
248.039,37.6587,295.580308,Vennix-1965
253.126,40.0348,295.500108,Vennix-1965
263.283,44.7525,295.35093599999993,Vennix-1965
272.927,49.184,295.21138799999994,Vennix-1965
196.089,19.431,320.34927600000003,Vennix-1965
204.181,24.1785,320.208124,Vennix-1965
211.525,28.4629,320.08942799999994,Vennix-1965
219.063,32.8253,319.959504,Vennix-1965
227.105,37.4341,319.82958,Vennix-1965
235.3,42.1001,319.699656,Vennix-1965
244.174,47.0891,319.54888,Vennix-1965
253.828,52.4859,319.38848,Vennix-1965
259.343,55.5441,319.38848,Vennix-1965
267.733,60.1053,319.15910799999995,Vennix-1965
274.489,63.8125,319.0500359999999,Vennix-1965
197.315,28.4387,339.820232,Vennix-1965
204.169,33.1269,339.667852,Vennix-1965
212.644,38.8576,339.549156,Vennix-1965
228.43,49.3464,339.260436,Vennix-1965
235.778,54.155,338.64931199999995,Vennix-1965
247.36,61.652,338.9300119999999,Vennix-1965
252.992,65.2311,338.78244399999994,Vennix-1965
196.791,39.6392,358.9302879999999,Vennix-1965
204.366,45.5919,358.78111599999994,Vennix-1965
211.255,50.9403,358.6511919999999,Vennix-1965
218.293,56.3516,358.521268,Vennix-1965
228.285,62.4075,357.8796679999999,Vennix-1965
234.42,68.5032,358.211696,Vennix-1965
398.16,4.8676,24.06,Douslin-1964
298.142,4.5804,32.08,Douslin-1964
303.143,4.6753,32.08,Douslin-1964
323.14,5.053,32.08,Douslin-1964
348.143,5.5222,32.08,Douslin-1964
373.15,5.992,32.08,Douslin-1964
398.16,6.4582,32.08,Douslin-1964
273.15,5.0139,40.1,Douslin-1964
298.142,5.6263,40.1,Douslin-1964
303.143,5.7485,40.1,Douslin-1964
323.14,5.2343,40.1,Douslin-1964
348.143,6.839,40.1,Douslin-1964
373.15,7.4424,40.1,Douslin-1964
398.16,8.0411,40.1,Douslin-1964
273.15,5.8842,48.12,Douslin-1964
298.142,6.6415,48.12,Douslin-1964
303.143,6.794,48.12,Douslin-1964
323.14,7.3926,48.12,Douslin-1964
348.143,8.1391,48.12,Douslin-1964
373.15,8.8835,48.12,Douslin-1964
398.16,9.6229,48.12,Douslin-1964
273.15,6.7222,56.13999999999999,Douslin-1964
298.142,7.6307,56.13999999999999,Douslin-1964
303.143,7.6146,56.13999999999999,Douslin-1964
323.14,8.5324,56.13999999999999,Douslin-1964
348.143,9.4279,56.13999999999999,Douslin-1964
373.15,10.32,56.13999999999999,Douslin-1964
398.16,11.207,56.13999999999999,Douslin-1964
273.15,7.5307,64.16,Douslin-1964
298.142,8.5992,64.16,Douslin-1964
303.143,8.8142,64.16,Douslin-1964
323.14,9.6585,64.16,Douslin-1964
348.143,10.7094,64.16,Douslin-1964
373.15,11.7577,64.16,Douslin-1964
398.16,12.7993,64.16,Douslin-1964
273.15,6.3156,72.17999999999999,Douslin-1964
298.142,9.5511,72.17999999999999,Douslin-1964
303.143,9.6002,72.17999999999999,Douslin-1964
