Temperature (K),Pressure (MPa),Density (kg/m3),Reference
150.0,1.026,16.04,Goodwin-1974
155.0,1.0744,16.04,Goodwin-1974
160.0,1.1222,16.04,Goodwin-1974
165.0,1.1696,16.04,Goodwin-1974
170.0,1.2165,16.04,Goodwin-1974
175.0,1.2632,16.04,Goodwin-1974
180.0,1.3096,16.04,Goodwin-1974
185.0,1.3559,16.04,Goodwin-1974
190.0,1.402,16.04,Goodwin-1974
195.0,1.4479,16.04,Goodwin-1974
200.0,1.4937,16.04,Goodwin-1974
205.0,1.5394,16.04,Goodwin-1974
210.0,1.5851,16.04,Goodwin-1974
215.0,1.6306,16.04,Goodwin-1974
220.0,1.6761,16.04,Goodwin-1974
225.0,1.7215,16.04,Goodwin-1974
230.0,1.7668,16.04,Goodwin-1974
235.0,1.812,16.04,Goodwin-1974
240.0,1.8572,16.04,Goodwin-1974
245.0,1.9023,16.04,Goodwin-1974
250.0,1.9474,16.04,Goodwin-1974
255.0,1.9924,16.04,Goodwin-1974
260.0,2.0373,16.04,Goodwin-1974
265.0,2.0822,16.04,Goodwin-1974
270.0,2.1271,16.04,Goodwin-1974
170.0,2.0616,32.08,Goodwin-1974
175.0,2.1663,32.08,Goodwin-1974
180.0,2.2697,32.08,Goodwin-1974
195.0,2.5745,32.08,Goodwin-1974
200.0,2.6748,32.08,Goodwin-1974
205.0,2.7746,32.08,Goodwin-1974
210.0,2.8739,32.08,Goodwin-1974
215.0,2.9729,32.08,Goodwin-1974
220.0,3.0715,32.08,Goodwin-1974
225.0,3.1698,32.08,Goodwin-1974
230.0,3.2677,32.08,Goodwin-1974
235.0,3.3654,32.08,Goodwin-1974
240.0,3.4629,32.08,Goodwin-1974
245.0,3.5601,32.08,Goodwin-1974
250.0,3.657,32.08,Goodwin-1974
255.0,3.7537,32.08,Goodwin-1974
260.0,3.8502,32.08,Goodwin-1974
265.0,3.9465,32.08,Goodwin-1974
270.0,4.0426,32.08,Goodwin-1974
172.527,2.466,41.051172,Vennix-1965
174.691,2.5283,41.051172,Vennix-1965
177.203,2.5994,41.200344,Vennix-1965
183.176,2.7666,41.19072,Vennix-1965
190.532,2.9676,41.025508,Vennix-1965
191.849,3.0038,41.011072,Vennix-1965
203.084,3.3048,40.99022,Vennix-1965
213.041,3.5672,40.970972,Vennix-1965
217.864,3.6931,42.56534799999999,Vennix-1965
223.831,3.8461,40.95011999999999,Vennix-1965
233.546,4.099,42.534872,Vennix-1965
239.797,4.259,40.921248,Vennix-1965
190.429,4.472,103.73068,Vennix-1965
190.532,4.4814,103.756344,Vennix-1965
190.052,4.4989,116.015716,Vennix-1965
190.532,4.5493,116.046192,Vennix-1965
190.032,4.5236,203.196324,Vennix-1965
190.532,4.0239,206.404324,Vennix-1965
190.032,4.024,220.62218,Vennix-1965
191.032,4.3523,220.612556,Vennix-1965
273.15,1.6376,12.03,Douslin-1964
298.142,1.802,12.03,Douslin-1964
303.143,1.8347,12.03,Douslin-1964
323.14,1.9656,12.03,Douslin-1964
398.143,2.1292,12.03,Douslin-1964
373.15,2.2925,12.03,Douslin-1964
398.16,2.4557,12.03,Douslin-1964
273.15,2.1558,16.04,Douslin-1964
298.142,2.3786,16.04,Douslin-1964
303.143,2.4232,16.04,Douslin-1964
323.14,2.6006,16.04,Douslin-1964
348.143,2.8221,16.04,Douslin-1964
373.15,3.0431,16.04,Douslin-1964
398.16,3.2637,16.04,Douslin-1964
273.15,3.1539,24.06,Douslin-1964
298.142,3.4993,24.06,Douslin-1964
303.143,3.5685,24.06,Douslin-1964
323.14,3.8427,24.06,Douslin-1964
348.143,4.1852,24.06,Douslin-1964
373.15,4.5267,24.06,Douslin-1964
273.15,4.1053,32.08,Douslin-1964
203.084,0.1013,0.968816,Kvalnes-1931
223.249,0.1013,0.8805959999999998,Kvalnes-1931
248.175,0.1013,0.7907719999999999,Kvalnes-1931
273.15,0.1013,0.7169879999999998,Kvalnes-1931
298.142,0.1013,0.656036,Kvalnes-1931
323.14,0.1013,0.606312,Kvalnes-1931
373.15,0.1013,0.524508,Kvalnes-1931
423.17,0.1013,0.461952,Kvalnes-1931
473.193,0.1013,0.413832,Kvalnes-1931
203.084,2.0265,22.164072,Kvalnes-1931
223.249,2.0265,19.382736,Kvalnes-1931
298.142,2.0265,13.600316,Kvalnes-1931
203.084,3.0397,36.412404,Kvalnes-1931
