Temperature (K),Pressure (MPa),Enthalpy (kJ/mol),Reference
195.0,5.0,7.403,van Kasteren-1979   
200.0,5.0,8.3099,van Kasteren-1979   
210.0,5.0,9.2266,van Kasteren-1979  
220.0,5.0,9.8531,van Kasteren-1979  
230.0,5.0,10.396,van Kasteren-1979  
240.0,5.0,10.8962,van Kasteren-1979  
250.0,5.0,11.3668,van Kasteren-1979  
255.0,5.0,11.5964,van Kasteren-1979  
338.71,6.89,0.8479,Dillard-1968
338.71,10.34,1.2581,Dillard-1968
338.71,13.79,1.6163,Dillard-1968
294.26,6.89,1.1211,Budenholzer-1939       
294.26,10.34,1.6645,Budenholzer-1939       
310.93,6.89,0.9931,Budenholzer-1939   
310.93,10.34,1.4629,Budenholzer-1939   
327.59,6.89,0.899,Budenholzer-1939     
327.59,10.34,1.3133,Budenholzer-1939     
344.26,6.89,0.8154,Budenholzer-1939   
344.26,10.34,1.1696,Budenholzer-1939   
360.93,6.89,0.7486,Budenholzer-1939    
360.93,10.34,1.0778,Budenholzer-1939    
377.59,6.89,0.6815,Budenholzer-1939   
377.59,10.34,0.9849,Budenholzer-1939 
194.26,4.69,8.8262,Jones-1963
197.04,4.69,9.2479,Jones-1963
199.82,4.69,9.539,Jones-1963
202.59,4.69,9.7853,Jones-1963
205.37,4.69,10.0093,Jones-1963
210.93,4.69,10.3974,Jones-1963
216.48,4.69,10.7407,Jones-1963
222.04,4.69,11.0505,Jones-1963
227.59,4.69,11.3378,Jones-1963
233.15,4.69,11.6103,Jones-1963
238.71,4.69,11.8715,Jones-1963
244.26,4.69,12.129,Jones-1963
249.82,4.69,12.3791,Jones-1963
255.37,4.69,12.6179,Jones-1963
260.93,4.69,12.8568,Jones-1963
266.48,4.69,13.0919,Jones-1963
272.04,4.69,13.327,Jones-1963
277.59,4.69,13.5584,Jones-1963
283.15,4.69,13.7898,Jones-1963
194.26,4.83,8.397,Jones-1963
197.04,4.83,9.0352,Jones-1963
199.82,4.83,9.4084,Jones-1963
202.59,4.83,9.6771,Jones-1963
205.37,4.83,9.9197,Jones-1963
210.93,4.83,10.3265,Jones-1963
216.48,4.83,10.6773,Jones-1963
222.04,4.83,10.9908,Jones-1963
227.59,4.83,11.2856,Jones-1963
233.15,4.83,11.5618,Jones-1963
238.71,4.83,11.8267,Jones-1963
244.26,4.83,12.0842,Jones-1963
249.82,4.83,12.338,Jones-1963
255.37,4.83,12.5806,Jones-1963
260.93,4.83,12.8232,Jones-1963
266.48,4.83,13.062,Jones-1963
272.04,4.83,13.2972,Jones-1963
277.59,4.83,13.5285,Jones-1963
283.15,4.83,13.7599,Jones-1963
194.26,5.52,6.6131,Jones-1963
197.04,5.52,7.5834,Jones-1963
199.82,5.52,8.5463,Jones-1963
202.59,5.52,9.0315,Jones-1963
205.37,5.52,9.3673,Jones-1963
210.93,5.52,9.9048,Jones-1963
216.48,5.52,10.3265,Jones-1963
222.04,5.52,10.6922,Jones-1963
227.59,5.52,11.0206,Jones-1963
233.15,5.52,11.3229,Jones-1963
238.71,5.52,11.6103,Jones-1963
244.26,5.52,11.8865,Jones-1963
249.82,5.52,12.1514,Jones-1963
255.37,5.52,12.4089,Jones-1963
260.93,5.52,12.659,Jones-1963
266.48,5.52,12.9053,Jones-1963
272.04,5.52,13.1516,Jones-1963
277.59,5.52,13.3942,Jones-1963
283.15,5.52,13.633,Jones-1963
194.26,6.21,6.2996,Jones-1963
197.04,6.21,6.7661,Jones-1963
199.82,6.21,7.3483,Jones-1963
202.59,6.21,8.0537,Jones-1963
205.37,6.21,8.5687,Jones-1963
210.93,6.21,9.3636,Jones-1963
216.48,6.21,9.8936,Jones-1963
222.04,6.21,10.3302,Jones-1963
227.59,6.21,10.7183,Jones-1963
233.15,6.21,11.0729,Jones-1963
238.71,6.21,11.3826,Jones-1963
244.26,6.21,11.6737,Jones-1963
249.82,6.21,11.9574,Jones-1963
255.37,6.21,12.2335,Jones-1963
260.93,6.21,12.4948,Jones-1963
266.48,6.21,12.756,Jones-1963
272.04,6.21,13.0098,Jones-1963
277.59,6.21,13.2598,Jones-1963
283.15,6.21,13.5061,Jones-1963
