Temperature (K),Pressure (MPa),Joule-Thomson (K/MPa),Reference
293.15,5.171,4.05,Budenholzer-1939
293.15,6.895,3.85,Budenholzer-1939
293.15,8.618,3.57,Budenholzer-1939
293.15,10.342,3.28,Budenholzer-1939
310.93,5.171,3.61,Budenholzer-1939
310.93,6.895,3.42,Budenholzer-1939
310.93,8.618,3.18,Budenholzer-1939
310.93,10.342,2.91,Budenholzer-1939
327.15,5.171,3.21,Budenholzer-1939
327.15,6.895,3.03,Budenholzer-1939
327.15,8.618,2.81,Budenholzer-1939
327.15,10.342,2.55,Budenholzer-1939
342.15,5.171,2.86,Budenholzer-1939
342.15,6.895,2.69,Budenholzer-1939
342.15,8.618,2.48,Budenholzer-1939
342.15,10.342,2.26,Budenholzer-1939
366.15,5.171,2.56,Budenholzer-1939
366.15,6.895,2.41,Budenholzer-1939
366.15,8.618,2.21,Budenholzer-1939
366.15,10.342,1.99,Budenholzer-1939
393.15,5.171,2.3,Budenholzer-1939
393.15,6.895,2.16,Budenholzer-1939
393.15,8.618,1.97,Budenholzer-1939
393.15,10.342,1.77,Budenholzer-1939
311.86,5.066,3.96,Ayber-1965
311.86,6.078,4.01,Ayber-1965
311.86,7.089,4.03,Ayber-1965
311.86,8.102,4.06,Ayber-1965
268.0,5.066,5.72,Ayber-1965
268.0,6.078,5.84,Ayber-1965
268.0,7.089,5.97,Ayber-1965
268.0,8.102,6.05,Ayber-1965
248.54,5.066,6.98,Ayber-1965
248.54,6.078,7.15,Ayber-1965
248.54,7.089,7.32,Ayber-1965
248.54,8.102,7.45,Ayber-1965
