Temperature (K),Pressure (MPa),Sound Spd (m/s),Reference
190.85,4.59,248.6,Douslin-1976
190.85,4.62,239.79,Douslin-1976
190.85,4.63,228.87,Douslin-1976
190.85,4.64,215.77,Douslin-1976
190.85,4.64,205.06,Douslin-1976
190.85,4.64,204.44,Douslin-1976
190.85,4.64,205.09,Douslin-1976
190.85,4.65,212.88,Douslin-1976
190.85,4.65,225.87,Douslin-1976
190.63,4.56,247.35,Douslin-1976
190.63,4.59,237.69,Douslin-1976
190.63,4.6,224.47,Douslin-1976
190.63,4.61,204.09,Douslin-1976
190.63,4.61,191.26,Douslin-1976
190.63,4.61,195.16,Douslin-1976
190.63,4.61,195.54,Douslin-1976
190.63,4.61,205.87,Douslin-1976
190.63,4.61,219.05,Douslin-1976
190.56,4.56,246.93,Douslin-1976
190.56,4.58,236.96,Douslin-1976
190.56,4.6,222.77,Douslin-1976
190.56,4.6,199.11,Douslin-1976
190.56,4.6,184.18,Douslin-1976
190.56,4.6,197.98,Douslin-1976
190.56,4.6,196.62,Douslin-1976
190.56,4.6,205.44,Douslin-1976
190.56,4.6,217.04,Douslin-1976
190.5,4.55,246.57,Douslin-1976
190.5,4.58,236.29,Douslin-1976
190.5,4.59,221.0,Douslin-1976
190.5,4.59,200.0,Douslin-1976
190.43,4.57,235.52,Douslin-1976
190.43,4.58,218.3,Douslin-1976
190.25,4.55,233.23,Douslin-1976
190.43,4.58,206.83,Douslin-1976
190.37,4.57,215.77,Douslin-1976
190.35,4.57,215.59,Douslin-1976
190.25,4.56,220.83,Douslin-1976
189.5,4.45,239.29,Douslin-1976
189.4,4.44,239.11,Douslin-1976
188.15,4.27,248.23,Douslin-1976
185.9,3.97,256.0,Douslin-1976
181.55,3.45,264.74,Douslin-1976
181.3,3.43,264.78,Douslin-1976
178.25,3.1,269.02,Douslin-1976
178.05,3.08,269.13,Douslin-1976
168.55,2.21,278.32,Douslin-1976
163.15,1.8,281.89,Douslin-1976
162.65,1.73,283.81,Douslin-1976
161.45,1.69,282.77,Douslin-1976
153.15,1.2,285.79,Douslin-1976
150.65,1.07,286.26,Douslin-1976
148.15,0.96,286.57,Douslin-1976
190.5,4.59,200.33,Douslin-1976
190.5,4.59,203.11,Douslin-1976
190.5,4.59,203.44,Douslin-1976
190.5,4.59,203.65,Douslin-1976
190.5,4.59,215.45,Douslin-1976
190.43,4.58,209.06,Douslin-1976
190.43,4.58,217.73,Douslin-1976
190.25,4.56,224.45,Douslin-1976
190.25,4.56,227.13,Douslin-1976
188.15,4.27,314.12,Douslin-1976
188.15,4.27,314.18,Douslin-1976
185.91,3.98,374.24,Douslin-1976
178.15,3.09,528.37,Douslin-1976
170.75,2.39,646.47,Douslin-1976
163.15,1.8,754.1,Douslin-1976
153.15,1.2,882.78,Douslin-1976
125.09,0.27,1200.31,Douslin-1976
150.0,4.0,980.7,Baidakov-1982
150.0,3.81,977.2,Baidakov-1982
150.0,3.62,973.5,Baidakov-1982
150.0,3.42,970.0,Baidakov-1982
150.0,3.22,965.7,Baidakov-1982
150.0,3.02,962.3,Baidakov-1982
150.0,2.83,958.1,Baidakov-1982
150.0,2.63,954.5,Baidakov-1982
150.0,2.44,950.5,Baidakov-1982
150.0,2.24,946.3,Baidakov-1982
150.0,2.04,942.1,Baidakov-1982
150.0,1.85,938.3,Baidakov-1982
150.0,1.66,934.2,Baidakov-1982
155.0,4.0,922.5,Baidakov-1982
155.0,3.81,918.3,Baidakov-1982
155.0,3.61,914.4,Baidakov-1982
155.0,3.42,909.9,Baidakov-1982
155.0,3.22,905.8,Baidakov-1982
155.0,3.02,901.3,Baidakov-1982
155.0,2.83,896.8,Baidakov-1982
155.0,2.63,892.2,Baidakov-1982
155.0,2.44,887.7,Baidakov-1982
155.0,2.24,883.0,Baidakov-1982
155.0,2.05,878.3,Baidakov-1982
160.0,4.0,861.2,Baidakov-1982
160.0,3.98,861.1,Baidakov-1982
160.0,3.81,856.5,Baidakov-1982
160.0,3.79,856.4,Baidakov-1982
160.0,3.62,852.2,Baidakov-1982
160.0,3.61,851.9,Baidakov-1982
160.0,3.59,851.3,Baidakov-1982
160.0,3.42,847.3,Baidakov-1982
160.0,3.23,842.3,Baidakov-1982
160.0,3.03,837.0,Baidakov-1982
160.0,2.83,831.3,Baidakov-1982
160.0,2.61,825.4,Baidakov-1982
160.0,2.43,820.4,Baidakov-1982
160.0,2.24,814.8,Baidakov-1982
160.0,2.04,809.0,Baidakov-1982
160.0,1.85,803.4,Baidakov-1982
160.0,1.74,799.8,Baidakov-1982
160.0,1.66,797.3,Baidakov-1982
150.0,1.46,930.0,Baidakov-1982
150.0,1.26,925.8,Baidakov-1982
150.0,1.07,921.5,Baidakov-1982
155.0,1.85,873.4,Baidakov-1982
155.0,1.66,868.5,Baidakov-1982
155.0,1.46,863.7,Baidakov-1982
155.0,1.26,858.5,Baidakov-1982
163.0,4.0,823.3,Baidakov-1982
163.0,3.81,818.0,Baidakov-1982
163.0,3.61,812.7,Baidakov-1982
163.0,3.42,807.3,Baidakov-1982
163.0,3.22,801.5,Baidakov-1982
163.0,3.02,795.5,Baidakov-1982
163.0,2.83,789.6,Baidakov-1982
163.0,7.63,783.7,Baidakov-1982
163.0,2.44,777.3,Baidakov-1982
163.0,7.24,771.2,Baidakov-1982
163.0,2.05,764.7,Baidakov-1982
163.0,1.85,757.9,Baidakov-1982
163.0,1.79,755.7,Baidakov-1982
167.0,4.0,769.5,Baidakov-1982
167.0,3.8,763.1,Baidakov-1982
167.0,3.62,757.2,Baidakov-1982
167.0,3.49,752.9,Baidakov-1982
167.0,3.42,750.6,Baidakov-1982
167.0,3.22,743.8,Baidakov-1982
167.0,3.04,737.1,Baidakov-1982
167.0,2.82,729.7,Baidakov-1982
167.0,2.63,722.2,Baidakov-1982
167.0,7.46,715.8,Baidakov-1982
167.0,7.33,710.3,Baidakov-1982
167.0,7.27,708.2,Baidakov-1982
167.0,2.24,707.1,Baidakov-1982
167.0,2.12,702.2,Baidakov-1982
167.0,2.1,701.5,Baidakov-1982
167.0,2.07,700.2,Baidakov-1982
170.0,4.0,726.4,Baidakov-1982
170.0,3.81,719.3,Baidakov-1982
170.0,3.61,711.5,Baidakov-1982
170.0,3.41,704.2,Baidakov-1982
170.0,3.22,696.7,Baidakov-1982
170.0,3.03,688.8,Baidakov-1982
170.0,2.83,680.4,Baidakov-1982
170.0,2.63,671.4,Baidakov-1982
170.0,2.43,662.4,Baidakov-1982
173.0,4.0,680.2,Baidakov-1982
173.0,3.81,671.9,Baidakov-1982
173.0,3.61,663.2,Baidakov-1982
173.0,3.42,554.7,Baidakov-1982
173.0,3.22,645.2,Baidakov-1982
173.0,3.02,635.4,Baidakov-1982
173.0,2.82,624.9,Baidakov-1982
173.0,2.63,614.0,Baidakov-1982
177.0,4.0,612.2,Baidakov-1982
177.0,3.81,601.4,Baidakov-1982
177.0,3.62,590.4,Baidakov-1982
177.0,3.61,590.0,Baidakov-1982
177.0,3.41,578.0,Baidakov-1982
177.0,3.22,565.0,Baidakov-1982
177.0,3.02,551.0,Baidakov-1982
177.0,2.98,547.9,Baidakov-1982
180.0,4.0,553.3,Baidakov-1982
180.0,3.91,547.0,Baidakov-1982
180.0,3.81,540.0,Baidakov-1982
180.0,3.72,532.9,Baidakov-1982
180.0,3.61,524.3,Baidakov-1982
180.0,3.52,516.8,Baidakov-1982
180.0,3.42,507.4,Baidakov-1982
180.0,3.35,500.9,Baidakov-1982
180.0,3.34,500.0,Baidakov-1982
180.0,3.28,494.7,Baidakov-1982
180.0,3.26,492.1,Baidakov-1982
183.0,4.0,482.4,Baidakov-1982
183.0,3.98,481.2,Baidakov-1982
183.0,3.91,474.4,Baidakov-1982
183.0,3.81,462.1,Baidakov-1982
183.0,3.73,452.8,Baidakov-1982
183.0,3.69,447.1,Baidakov-1982
183.0,3.65,441.7,Baidakov-1982
173.15,100.0,1639.66,Kortbeek-1990
173.15,150.0,1858.04,Kortbeek-1990
173.15,200.0,2032.48,Kortbeek-1990
173.15,250.0,2180.37,Kortbeek-1990
173.15,300.0,2309.96,Kortbeek-1990
173.15,350.0,2425.96,Kortbeek-1990
173.15,400.0,2531.37,Kortbeek-1990
148.15,100.0,1739.99,Kortbeek-1990
148.15,150.0,1941.04,Kortbeek-1990
148.15,200.0,2105.03,Kortbeek-1990
148.15,250.0,2245.54,Kortbeek-1990
111.33,0.11,1340.9,van Itterbeek-1967
111.33,0.5,1345.0,van Itterbeek-1967
111.33,0.98,1349.6,van Itterbeek-1967
111.33,1.97,1358.7,van Itterbeek-1967
111.33,2.94,1367.0,van Itterbeek-1967
111.33,3.93,1376.6,van Itterbeek-1967
111.33,4.91,1384.8,van Itterbeek-1967
111.33,5.88,1393.1,van Itterbeek-1967
111.33,6.82,1402.1,van Itterbeek-1967
111.33,7.57,1408.5,van Itterbeek-1967
125.1,0.28,1200.6,van Itterbeek-1967
125.1,0.53,1202.9,van Itterbeek-1967
125.1,1.01,1209.0,van Itterbeek-1967
125.1,1.99,1220.8,van Itterbeek-1967
125.1,2.96,1232.1,van Itterbeek-1967
125.1,3.92,1242.7,van Itterbeek-1967
125.1,4.86,1253.8,van Itterbeek-1967
125.1,5.92,1265.1,van Itterbeek-1967
125.1,6.85,1275.0,van Itterbeek-1967
125.1,7.8,1285.0,van Itterbeek-1967
125.1,8.77,1295.0,van Itterbeek-1967
125.1,9.79,1305.2,van Itterbeek-1967
140.03,1.11,1045.0,van Itterbeek-1967
140.03,1.99,1059.5,van Itterbeek-1967
140.03,2.98,1075.0,van Itterbeek-1967
140.03,3.93,1089.1,van Itterbeek-1967
140.03,4.93,1104.0,van Itterbeek-1967
140.03,5.9,1117.9,van Itterbeek-1967
140.03,6.84,1130.6,van Itterbeek-1967
140.03,7.89,1145.3,van Itterbeek-1967
140.03,8.84,1157.0,van Itterbeek-1967
140.03,9.79,1169.5,van Itterbeek-1967
140.03,10.61,1178.7,van Itterbeek-1967
140.03,11.03,1183.9,van Itterbeek-1967
155.43,1.37,854.0,van Itterbeek-1967
155.43,2.15,872.9,van Itterbeek-1967
155.43,2.92,891.3,van Itterbeek-1967
155.43,3.98,915.1,van Itterbeek-1967
155.43,4.95,935.5,van Itterbeek-1967
155.43,5.93,954.5,van Itterbeek-1967
155.43,6.74,970.5,van Itterbeek-1967
155.43,7.84,990.5,van Itterbeek-1967
155.43,8.88,1007.7,van Itterbeek-1967
155.43,9.78,1022.5,van Itterbeek-1967
155.43,10.84,1038.6,van Itterbeek-1967
155.43,11.81,1053.6,van Itterbeek-1967
155.43,12.78,1068.6,van Itterbeek-1967
155.43,13.77,1080.9,van Itterbeek-1967
155.43,14.77,1094.9,van Itterbeek-1967
155.43,15.59,1105.5,van Itterbeek-1967
170.73,2.4,646.8,van Itterbeek-1967
170.73,3.0,672.2,van Itterbeek-1967
170.73,3.96,710.2,van Itterbeek-1967
170.73,4.92,743.7,van Itterbeek-1967
170.73,6.2,782.7,van Itterbeek-1967
170.73,7.84,826.0,van Itterbeek-1967
170.73,8.88,849.9,van Itterbeek-1967
170.73,9.83,871.1,van Itterbeek-1967
170.73,10.69,890.3,van Itterbeek-1967
170.73,11.67,909.0,van Itterbeek-1967
170.73,12.7,927.0,van Itterbeek-1967
170.73,13.58,944.1,van Itterbeek-1967
170.73,14.61,261.4,van Itterbeek-1967
170.73,15.61,977.9,van Itterbeek-1967
170.73,16.87,995.3,van Itterbeek-1967
170.73,18.29,1015.6,van Itterbeek-1967
185.88,3.97,373.6,van Itterbeek-1967
185.88,4.52,450.0,van Itterbeek-1967
185.88,5.0,494.8,van Itterbeek-1967
185.88,5.93,556.2,van Itterbeek-1967
185.88,6.89,603.0,van Itterbeek-1967
185.88,7.89,646.6,van Itterbeek-1967
185.88,8.93,685.6,van Itterbeek-1967
185.88,9.81,707.4,van Itterbeek-1967
185.88,10.81,738.7,van Itterbeek-1967
185.88,11.82,766.8,van Itterbeek-1967
185.88,13.25,800.6,van Itterbeek-1967
185.88,14.81,836.3,van Itterbeek-1967
185.88,15.89,856.1,van Itterbeek-1967
185.88,17.36,884.2,van Itterbeek-1967
185.88,18.34,901.8,van Itterbeek-1967
190.0,4.55,264.2,van Itterbeek-1967
190.0,4.78,340.2,van Itterbeek-1967
190.0,5.3,415.6,van Itterbeek-1967
190.0,5.95,482.3,van Itterbeek-1967
190.0,6.84,539.8,van Itterbeek-1967
190.0,7.79,590.9,van Itterbeek-1967
190.0,8.86,634.5,van Itterbeek-1967
190.0,10.1,677.7,van Itterbeek-1967
190.0,11.35,715.7,van Itterbeek-1967
190.0,12.57,748.8,van Itterbeek-1967
190.0,13.79,778.2,van Itterbeek-1967
190.0,15.04,807.2,van Itterbeek-1967
190.0,16.33,833.3,van Itterbeek-1967
190.0,17.51,855.1,van Itterbeek-1967
190.0,18.73,878.5,van Itterbeek-1967
190.0,19.97,900.5,van Itterbeek-1967
115.0,0.98,1311.0,van Itterbeek-1967
115.0,1.96,1323.0,van Itterbeek-1967
115.0,2.94,1331.0,van Itterbeek-1967
115.0,3.92,1341.0,van Itterbeek-1967
115.0,4.9,1345.0,van Itterbeek-1967
115.0,5.88,1359.0,van Itterbeek-1967
115.0,6.86,1367.0,van Itterbeek-1967
115.0,7.84,1377.0,van Itterbeek-1967
125.0,0.98,1209.0,van Itterbeek-1967
125.0,1.96,1221.0,van Itterbeek-1967
125.0,2.94,1232.0,van Itterbeek-1967
125.0,3.92,1243.0,van Itterbeek-1967
125.0,4.9,1255.0,van Itterbeek-1967
125.0,5.88,1266.0,van Itterbeek-1967
125.0,6.86,1275.0,van Itterbeek-1967
125.0,7.84,1286.0,van Itterbeek-1967
125.0,8.82,1296.0,van Itterbeek-1967
125.0,9.8,1306.0,van Itterbeek-1967
125.0,10.78,1315.0,van Itterbeek-1967
140.0,0.98,1043.0,van Itterbeek-1967
140.0,1.96,1059.0,van Itterbeek-1967
140.0,2.94,1074.0,van Itterbeek-1967
140.0,3.92,1089.0,van Itterbeek-1967
140.0,4.9,1103.0,van Itterbeek-1967
140.0,5.88,1118.0,van Itterbeek-1967
140.0,6.86,1131.0,van Itterbeek-1967
140.0,7.84,1144.0,van Itterbeek-1967
140.0,8.82,1156.0,van Itterbeek-1967
140.0,9.8,1169.0,van Itterbeek-1967
140.0,10.78,1180.0,van Itterbeek-1967
155.0,1.96,873.0,van Itterbeek-1967
155.0,2.94,895.0,van Itterbeek-1967
155.0,3.92,918.0,van Itterbeek-1967
155.0,4.9,939.0,van Itterbeek-1967
155.0,5.88,958.0,van Itterbeek-1967
155.0,6.86,977.0,van Itterbeek-1967
155.0,7.84,994.0,van Itterbeek-1967
155.0,8.82,1011.0,van Itterbeek-1967
155.0,9.8,1026.0,van Itterbeek-1967
155.0,10.78,1041.0,van Itterbeek-1967
155.0,11.76,1056.0,van Itterbeek-1967
155.0,12.74,1070.0,van Itterbeek-1967
155.0,13.72,1084.0,van Itterbeek-1967
155.0,14.7,1096.0,van Itterbeek-1967
145.6,0.86,970.0,Siger-1969
145.6,1.82,980.0,Siger-1969
145.6,3.06,1020.0,Siger-1969
145.6,5.02,1050.0,Siger-1969
145.6,7.2,1080.0,Siger-1969
145.6,8.58,1100.0,Siger-1969
125.0,0.34,1200.0,Siger-1969
125.1,1.02,1210.0,Siger-1969
125.0,3.54,1240.0,Siger-1969
124.9,5.88,1260.0,Siger-1969
125.0,7.94,1282.0,Siger-1969
125.1,8.73,1295.0,Siger-1969
113.0,0.24,1330.0,Siger-1969
113.6,0.77,1332.0,Siger-1969
114.0,1.38,1335.0,Siger-1969
115.0,2.65,1340.0,Siger-1969
117.0,5.1,1345.0,Siger-1969
112.0,0.16,1350.0,Siger-1969
111.9,3.02,1380.0,Siger-1969
112.1,6.12,1400.0,Siger-1969
112.0,8.72,1430.0,Siger-1969
105.0,0.16,1485.0,Siger-1969
94.0,0.16,1520.0,Siger-1969
100.0,33.38,1672.6,Straty-1974
100.0,26.08,1630.7,Straty-1974
100.0,19.12,1588.1,Straty-1974
100.0,13.09,1548.5,Straty-1974
100.0,7.24,1507.4,Straty-1974
100.0,1.66,1465.1,Straty-1974
120.0,31.16,1517.2,Straty-1974
120.0,26.23,1482.8,Straty-1974
120.0,19.98,1436.0,Straty-1974
120.0,15.15,1397.0,Straty-1974
120.0,9.26,1345.2,Straty-1974
120.0,4.37,1290.5,Straty-1974
150.0,34.53,1339.6,Straty-1974
150.0,28.84,1290.0,Straty-1974
150.0,23.67,1240.3,Straty-1974
150.0,18.43,1184.6,Straty-1974
150.0,12.67,1114.5,Straty-1974
150.0,7.26,1036.6,Straty-1974
150.0,3.02,962.1,Straty-1974
170.0,31.46,1183.8,Straty-1974
170.0,26.99,1135.5,Straty-1974
170.0,20.77,1059.2,Straty-1974
170.0,17.54,1013.9,Straty-1974
170.0,13.01,940.7,Straty-1974
170.0,7.77,833.5,Straty-1974
170.0,4.53,742.9,Straty-1974
184.0,34.25,1129.0,Straty-1974
184.0,27.88,1055.1,Straty-1974
184.0,22.51,282.8,Straty-1974
184.0,17.86,909.0,Straty-1974
184.0,13.84,831.9,Straty-1974
184.0,10.44,751.2,Straty-1974
184.0,7.72,666.6,Straty-1974
184.0,5.77,579.9,Straty-1974
184.0,5.3,552.8,Straty-1974
