Liquid Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,1200984837455310.0%,0.143,0.105,0.323,0.964
Exp x NIST,5145114807847795.0%,0.590,0.364,0.603,0.875
NIST x Model,232.0%,0.525,0.292,0.540,0.902

Vapor Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,64.0%,1.028,4.344,2.084,0.129
Exp x NIST,71.0%,0.841,4.688,2.165,0.060
NIST x Model,10.0%,0.788,1.067,1.033,0.614

Supercritical Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,74.0%,2.624,9.934,3.152,0.109
Exp x NIST,122.0%,1.683,16.721,4.089,-0.500
NIST x Model,27.0%,2.639,11.052,3.324,-0.646

