Liquid Phase - BaggingRegressorRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,1376417407648356.0%,0.144,0.108,0.328,0.963
Exp x NIST,5145114807847795.0%,0.590,0.364,0.603,0.875
NIST x Model,233.0%,0.531,0.299,0.547,0.900

Vapor Phase - BaggingRegressorRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,66.0%,0.885,4.345,2.084,0.129
Exp x NIST,71.0%,0.841,4.688,2.165,0.060
NIST x Model,9.0%,0.646,0.777,0.882,0.719

Supercritical Phase - BaggingRegressorRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,84.0%,2.550,10.258,3.203,0.080
Exp x NIST,122.0%,1.683,16.721,4.089,-0.500
NIST x Model,24.0%,2.316,8.083,2.843,-0.204

