Liquid Phase - ExtraTreesRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,2532419243358.0%,0.053,0.056,0.236,0.981
Exp x NIST,5145114807847795.0%,0.590,0.364,0.603,0.875
NIST x Model,265.0%,0.582,0.350,0.592,0.883

Vapor Phase - ExtraTreesRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,7.0%,0.171,0.476,0.690,0.905
Exp x NIST,71.0%,0.841,4.688,2.165,0.060
NIST x Model,9.0%,0.793,4.341,2.084,-0.569

Supercritical Phase - ExtraTreesRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,6.0%,0.177,0.304,0.552,0.973
Exp x NIST,122.0%,1.683,16.721,4.089,-0.500
NIST x Model,13.0%,1.634,15.682,3.960,-1.336

