Liquid Phase - KNeighbors
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,3068180598995.0%,0.076,0.091,0.301,0.969
Exp x NIST,5145114807847795.0%,0.590,0.364,0.603,0.875
NIST x Model,261.0%,0.561,0.321,0.566,0.892

Vapor Phase - KNeighbors
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,10.0%,0.254,0.957,0.978,0.808
Exp x NIST,71.0%,0.841,4.688,2.165,0.060
NIST x Model,9.0%,0.833,4.366,2.090,-0.579

Supercritical Phase - KNeighbors
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,11.0%,0.422,0.680,0.824,0.939
Exp x NIST,122.0%,1.683,16.721,4.089,-0.500
NIST x Model,15.0%,1.780,15.783,3.973,-1.351

