Temperature (K), Pressure (MPa), Enthalpy (kJ/mol), DOI
130.0,5.0,0.5668, https://doi.org/10.1021/i160072a007  
140.0,5.0,1.1505, https://doi.org/10.1021/i160072a007  
150.0,5.0,1.7581, https://doi.org/10.1021/i160072a007  
160.0,5.0,2.3977, https://doi.org/10.1021/i160072a007  
170.0,5.0,3.0898, https://doi.org/10.1021/i160072a007  
180.0,5.0,3.8884, https://doi.org/10.1021/i160072a007  
185.0,5.0,4.369, https://doi.org/10.1021/i160072a007  
190.0,5.0,5.0348, https://doi.org/10.1021/i160072a007  
195.0,5.0,7.403, https://doi.org/10.1021/i160072a007   
200.0,5.0,8.3099, https://doi.org/10.1021/i160072a007   
210.0,5.0,9.2266, https://doi.org/10.1021/i160072a007  
220.0,5.0,9.8531, https://doi.org/10.1021/i160072a007  
230.0,5.0,10.396, https://doi.org/10.1021/i160072a007  
240.0,5.0,10.8962, https://doi.org/10.1021/i160072a007  
250.0,5.0,11.3668, https://doi.org/10.1021/i160072a007  
255.0,5.0,11.5964, https://doi.org/10.1021/i160072a007  
150.0,3.2,0.6101, https://doi.org/10.1021/i160072a007 
160.0,3.2,1.2694, https://doi.org/10.1021/i160072a007 
170.0,3.2,1.9975, https://doi.org/10.1021/i160072a007  
175.0,3.2,2.4354, https://doi.org/10.1021/i160072a007  
180.0,3.2,7.157, https://doi.org/10.1021/i160072a007  
185.0,3.2,7.5817, https://doi.org/10.1021/i160072a007  
190.0,3.2,7.9245, https://doi.org/10.1021/i160072a007  
200.0,3.2,8.5083, https://doi.org/10.1021/i160072a007  
210.0,3.2,8.9741, https://doi.org/10.1021/i160072a007     
338.71,3.45,0.4254, https://doi.org/10.1002/aic.690140618
338.71,6.89,0.8479, https://doi.org/10.1002/aic.690140618
338.71,10.34,1.2581, https://doi.org/10.1002/aic.690140618
338.71,13.79,1.6163, https://doi.org/10.1002/aic.690140618
294.26,3.45,0.5661, https://doi.org/10.1021/ie50358a030        
294.26,6.89,1.1211, https://doi.org/10.1021/ie50358a030        
294.26,10.34,1.6645, https://doi.org/10.1021/ie50358a030        
310.93,3.45,0.4993, https://doi.org/10.1021/ie50358a030    
310.93,6.89,0.9931, https://doi.org/10.1021/ie50358a030    
310.93,10.34,1.4629, https://doi.org/10.1021/ie50358a030    
327.59,3.45,0.4553, https://doi.org/10.1021/ie50358a030      
327.59,6.89,0.899, https://doi.org/10.1021/ie50358a030      
327.59,10.34,1.3133, https://doi.org/10.1021/ie50358a030      
344.26,3.45,0.4191, https://doi.org/10.1021/ie50358a030    
344.26,6.89,0.8154, https://doi.org/10.1021/ie50358a030    
344.26,10.34,1.1696, https://doi.org/10.1021/ie50358a030    
360.93,3.45,0.3803, https://doi.org/10.1021/ie50358a030    
360.93,6.89,0.7486, https://doi.org/10.1021/ie50358a030     
360.93,10.34,1.0778, https://doi.org/10.1021/ie50358a030     
377.59,3.45,0.3512, https://doi.org/10.1021/ie50358a030    
377.59,6.89,0.6815, https://doi.org/10.1021/ie50358a030    
377.59,10.34,0.9849, https://doi.org/10.1021/ie50358a030
99.82,0.0,8.4493,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
105.37,0.0,8.6321,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
110.93,0.0,8.8187,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
116.48,0.0,9.0016,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
