Liquid Phase - RandomForest
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,3598659003162.0%,0.059,0.059,0.242,0.980
Exp x NIST,5145114807847795.0%,0.590,0.364,0.603,0.875
NIST x Model,262.0%,0.562,0.320,0.566,0.893

Vapor Phase - RandomForest
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,11.0%,0.193,0.839,0.916,0.832
Exp x NIST,71.0%,0.841,4.688,2.165,0.060
NIST x Model,9.0%,0.778,4.085,2.021,-0.477

Supercritical Phase - RandomForest
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,6.0%,0.227,0.270,0.520,0.976
Exp x NIST,122.0%,1.683,16.721,4.089,-0.500
NIST x Model,13.0%,1.637,15.785,3.973,-1.351

