Liquid Phase - XGB
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,401744883883852.0%,0.094,0.020,0.141,0.993
Exp x NIST,5145114807847795.0%,0.590,0.364,0.603,0.875
NIST x Model,279.0%,0.573,0.350,0.592,0.883

Vapor Phase - XGB
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,11.0%,0.272,0.832,0.912,0.833
Exp x NIST,71.0%,0.841,4.688,2.165,0.060
NIST x Model,9.0%,0.789,4.182,2.045,-0.512

Supercritical Phase - XGB
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,9.0%,0.423,0.265,0.515,0.976
Exp x NIST,122.0%,1.683,16.721,4.089,-0.500
NIST x Model,14.0%,1.725,16.382,4.048,-1.440

