Temperature (K),Pressure (MPa),Viscosity (uPa*s),Reference
292.96,0.34,10.926,Vogel-2011
297.08,0.34,11.062,Vogel-2011
323.86,0.34,11.914,Vogel-2011
350.55,0.34,12.735,Vogel-2011
378.15,0.34,13.562,Vogel-2011
405.88,0.34,14.365,Vogel-2011
433.83,0.34,15.149,Vogel-2011
461.85,0.34,15.912,Vogel-2011
490.13,0.34,16.663,Vogel-2011
518.83,0.34,17.398,Vogel-2011
542.6,0.34,17.996,Vogel-2011
565.38,0.34,18.564,Vogel-2011
594.08,0.34,19.261,Vogel-2011
623.33,0.34,19.953,Vogel-2011
652.41,0.34,20.626,Vogel-2011
682.14,0.34,21.31,Vogel-2011
291.93,0.34,10.891,Vogel-2011
296.43,0.34,11.029,Vogel-2011
289.05,0.34,10.813,Vogel-2011
296.57,0.34,11.048,Vogel-2011
323.43,0.34,11.886,Vogel-2011
350.64,0.34,12.725,Vogel-2011
378.25,0.34,13.552,Vogel-2011
406.03,0.34,14.36,Vogel-2011
434.02,0.34,15.141,Vogel-2011
461.75,0.34,15.901,Vogel-2011
490.15,0.34,16.649,Vogel-2011
518.8,0.34,17.403,Vogel-2011
542.36,0.34,17.981,Vogel-2011
565.1,0.34,18.544,Vogel-2011
593.84,0.34,19.239,Vogel-2011
623.05,0.34,19.934,Vogel-2011
652.07,0.34,20.605,Vogel-2011
681.93,0.34,21.273,Vogel-2011
290.41,0.34,10.833,Vogel-2011
210.76,0.0,8.08,May-2007
225.81,0.0,8.622,May-2007
248.25,0.0,9.408,May-2007
273.16,0.0,10.254,May-2007
298.14,0.0,11.075,May-2007
298.15,0.0,11.073,May-2007
298.15,0.0,11.075,May-2007
313.22,0.0,11.557,May-2007
331.55,0.0,12.132,May-2007
352.57,0.0,12.775,May-2007
371.19,0.0,13.329,May-2007
391.54,0.0,13.923,May-2007
391.55,0.0,13.923,May-2007
210.76,0.1,8.067,May-2007
225.81,0.1,8.609,May-2007
248.25,0.1,9.395,May-2007
273.16,0.1,10.242,May-2007
298.14,0.1,11.064,May-2007
298.15,0.1,11.061,May-2007
298.15,0.1,11.064,May-2007
313.22,0.1,11.546,May-2007
331.55,0.1,12.121,May-2007
352.57,0.1,12.764,May-2007
371.19,0.1,13.319,May-2007
391.54,0.1,13.914,May-2007
391.55,0.1,13.914,May-2007
260.0,0.1,9.815,Schley-2004
260.0,0.2,9.836,Schley-2004
260.0,0.3,9.851,Schley-2004
260.0,0.4,9.865,Schley-2004
260.0,0.5,9.879,Schley-2004
260.0,0.6,9.896,Schley-2004
260.0,0.7,9.906,Schley-2004
260.0,0.8,9.924,Schley-2004
260.0,0.9,9.939,Schley-2004
260.0,1.0,9.954,Schley-2004
260.0,1.25,10.0,Schley-2004
260.0,1.5,10.042,Schley-2004
260.0,1.75,10.088,Schley-2004
260.0,2.0,10.135,Schley-2004
260.0,2.26,10.196,Schley-2004
260.0,2.5,10.249,Schley-2004
260.0,2.73,10.302,Schley-2004
260.0,2.99,10.362,Schley-2004
260.0,3.25,10.429,Schley-2004
260.0,3.48,10.499,Schley-2004
260.0,3.74,10.568,Schley-2004
260.0,3.99,10.642,Schley-2004
260.0,4.26,10.733,Schley-2004
260.0,4.48,10.807,Schley-2004
260.0,4.75,10.896,Schley-2004
260.0,5.0,10.988,Schley-2004
260.0,5.5,11.182,Schley-2004
260.0,6.0,11.394,Schley-2004
260.0,6.5,11.623,Schley-2004
