# Temperature (K)	Pressure (MPa)	Experimental(J/mol*K)	NIST(J/mol*K)	Model(J/mol*K)
1.210999999999999943e+02	5.000000000000000000e+00	5.521200000000000330e+01	5.595360000000000156e+01	4.274037900535611811e+01
1.210999999999999943e+02	5.000000000000000000e+00	5.508359999999999701e+01	5.595360000000000156e+01	4.274428852047334715e+01
1.210999999999999943e+02	5.000000000000000000e+00	5.500339999999999918e+01	5.595360000000000156e+01	4.274550948274907114e+01
1.210000000000000000e+02	5.000000000000000000e+00	5.517990000000000350e+01	5.594239999999999924e+01	4.262417181134438238e+01
1.360999999999999943e+02	5.000000000000000000e+00	5.736269999999999669e+01	5.807469999999999999e+01	5.976873910642024157e+01
1.361999999999999886e+02	5.000000000000000000e+00	5.742690000000000339e+01	5.809250000000000114e+01	5.987980723495213908e+01
1.361999999999999886e+02	5.000000000000000000e+00	5.726639999999999731e+01	5.809250000000000114e+01	5.987980723495213908e+01
1.513000000000000114e+02	5.000000000000000000e+00	6.129500000000000171e+01	6.171309999999999718e+01	7.674106583021641370e+01
1.513000000000000114e+02	5.000000000000000000e+00	6.107030000000000314e+01	6.171309999999999718e+01	7.674225608599468273e+01
1.511999999999999886e+02	5.000000000000000000e+00	6.099000000000000199e+01	6.168110000000000070e+01	7.663134369033639359e+01
1.650999999999999943e+02	5.000000000000000000e+00	6.787550000000000239e+01	6.805060000000000286e+01	9.215909120989444148e+01
1.650999999999999943e+02	5.000000000000000000e+00	6.785939999999999372e+01	6.805060000000000286e+01	9.215922344060395233e+01
1.650999999999999943e+02	5.000000000000000000e+00	6.808410000000000650e+01	6.805060000000000286e+01	9.215922344060395233e+01
1.650000000000000000e+02	5.000000000000000000e+00	6.776309999999999434e+01	6.798510000000000275e+01	9.204915537333219788e+01
1.755999999999999943e+02	5.000000000000000000e+00	7.861289999999999623e+01	7.840460000000000207e+01	1.038505267865023853e+02
1.756999999999999886e+02	5.000000000000000000e+00	7.912649999999999295e+01	7.855419999999999447e+01	1.039618604790794478e+02
1.755999999999999943e+02	5.000000000000000000e+00	7.874129999999999541e+01	7.840460000000000207e+01	1.038534390814973989e+02
1.755000000000000000e+02	5.000000000000000000e+00	7.911050000000000182e+01	7.825639999999999930e+01	1.037420997746664142e+02
1.826999999999999886e+02	5.000000000000000000e+00	9.466289999999999338e+01	9.493699999999999761e+01	1.116892147068165144e+02
1.826999999999999886e+02	5.000000000000000000e+00	9.461480000000000246e+01	9.493699999999999761e+01	1.116910063173218646e+02
1.826999999999999886e+02	5.000000000000000000e+00	9.469499999999999318e+01	9.493699999999999761e+01	1.116895126877737141e+02
1.841999999999999886e+02	5.000000000000000000e+00	1.018854000000000042e+02	1.012690000000000055e+02	1.132592069182879158e+02
1.864000000000000057e+02	5.000000000000000000e+00	1.162982999999999976e+02	1.149380000000000024e+02	1.154522840500457335e+02
1.885000000000000000e+02	5.000000000000000000e+00	1.404696000000000140e+02	1.383930000000000007e+02	1.177737428082085955e+02
1.444000000000000057e+02	3.200000000000000178e+00	5.988259999999999650e+01	6.085459999999999781e+01	7.562596576775612789e+01
1.443000000000000114e+02	3.200000000000000178e+00	6.071719999999999828e+01	6.082529999999999859e+01	7.551442528091982354e+01
1.444000000000000057e+02	3.200000000000000178e+00	5.999490000000000123e+01	6.085459999999999781e+01	7.562596576775612789e+01
1.461999999999999886e+02	3.200000000000000178e+00	6.163199999999999790e+01	6.140489999999999782e+01	7.763369453080966309e+01
1.465000000000000000e+02	3.200000000000000178e+00	6.092580000000000240e+01	6.150110000000000099e+01	7.798423546031392561e+01
1.549000000000000057e+02	3.200000000000000178e+00	6.402339999999999520e+01	6.486180000000000234e+01	8.742031725551028387e+01
1.548000000000000114e+02	3.200000000000000178e+00	6.416790000000000305e+01	6.481229999999999336e+01	8.730617994084157374e+01
1.649000000000000057e+02	3.200000000000000178e+00	7.159910000000000707e+01	7.183180000000000121e+01	9.859518928143471328e+01
1.649000000000000057e+02	3.200000000000000178e+00	7.134229999999999450e+01	7.183180000000000121e+01	9.859812245004501108e+01
1.743000000000000114e+02	3.200000000000000178e+00	8.920589999999999975e+01	8.751439999999999486e+01	1.090282525958745055e+02
1.784000000000000057e+02	3.200000000000000178e+00	8.473115999999999985e+02	1.057930000000000064e+02	8.413729172074339147e+01
1.164800000000000040e+02	1.030000000000000027e+00	5.538880000000000337e+01	5.624920000000000186e+01	5.251022077116714115e+01
1.220400000000000063e+02	1.030000000000000027e+00	5.653020000000000067e+01	5.702620000000000289e+01	5.565815828140293320e+01
