# Temperature (K)	Pressure (MPa)	Experimental(J/mol*K)	NIST(J/mol*K)	Model(J/mol*K)
2.942599999999999909e+02	0.000000000000000000e+00	3.559660000000000224e+01	3.556640000000000157e+01	3.863002164357990154e+01
2.942599999999999909e+02	1.719999999999999973e+00	3.722800000000000153e+01	3.732690000000000197e+01	3.863905965323797176e+01
2.942599999999999909e+02	3.450000000000000178e+00	3.900719999999999743e+01	3.935609999999999786e+01	5.499646706697379273e+01
3.109300000000000068e+02	0.000000000000000000e+00	3.625450000000000017e+01	3.620420000000000016e+01	3.852706909211871533e+01
3.109300000000000068e+02	1.719999999999999973e+00	3.768460000000000321e+01	3.771249999999999858e+01	3.909824034389174585e+01
3.109300000000000068e+02	3.450000000000000178e+00	3.924219999999999686e+01	3.939690000000000225e+01	5.386619213501016645e+01
3.275899999999999750e+02	0.000000000000000000e+00	3.695949999999999847e+01	3.691270000000000095e+01	3.871971808775127499e+01
3.275899999999999750e+02	1.719999999999999973e+00	3.821490000000000009e+01	3.822030000000000172e+01	3.932070209065490474e+01
3.275899999999999750e+02	3.450000000000000178e+00	3.956439999999999912e+01	3.964549999999999841e+01	5.524964479558892094e+01
3.442599999999999909e+02	0.000000000000000000e+00	3.773160000000000025e+01	3.768430000000000035e+01	3.878487728565821868e+01
3.442599999999999909e+02	1.719999999999999973e+00	3.881920000000000215e+01	3.882900000000000063e+01	3.934795834647612622e+01
3.442599999999999909e+02	3.450000000000000178e+00	4.000079999999999814e+01	4.005319999999999681e+01	5.768579601135574109e+01
3.609300000000000068e+02	0.000000000000000000e+00	3.859089999999999776e+01	3.850970000000000226e+01	3.873537063071673003e+01
3.609300000000000068e+02	1.719999999999999973e+00	3.953090000000000259e+01	3.952040000000000219e+01	3.933631703910189970e+01
3.609300000000000068e+02	3.450000000000000178e+00	4.055140000000000100e+01	4.058509999999999707e+01	5.382224224128094647e+01
3.775899999999999750e+02	0.000000000000000000e+00	3.947710000000000008e+01	3.937989999999999924e+01	3.868861030321719596e+01
3.775899999999999750e+02	1.719999999999999973e+00	4.031640000000000157e+01	4.027890000000000015e+01	3.907050615486007672e+01
3.775899999999999750e+02	3.450000000000000178e+00	4.120259999999999678e+01	4.121450000000000102e+01	5.551066701716171536e+01
1.800000000000000000e+02	3.200000000000000178e+00	1.277547900000000027e+03	1.034530000000000030e+02	2.784059314566117678e+02
1.805000000000000000e+02	3.200000000000000178e+00	9.664186999999999443e+02	9.820130000000000337e+01	3.138416291231562241e+02
1.805999999999999943e+02	3.200000000000000178e+00	9.712496999999999616e+02	9.725650000000000261e+01	3.132824595252865265e+02
1.855000000000000000e+02	3.200000000000000178e+00	7.256199999999999761e+01	7.180429999999999779e+01	3.450067686646905258e+02
1.931999999999999886e+02	3.200000000000000178e+00	5.798859999999999815e+01	5.785020000000000095e+01	2.393545482521189172e+02
1.930999999999999943e+02	3.200000000000000178e+00	5.810099999999999909e+01	5.796350000000000335e+01	2.393424132301695124e+02
2.029000000000000057e+02	3.200000000000000178e+00	5.020439999999999969e+01	5.030830000000000268e+01	1.884063147203060282e+02
2.029000000000000057e+02	3.200000000000000178e+00	5.002790000000000248e+01	5.030830000000000268e+01	1.884237060655333096e+02
1.553700000000000045e+02	1.030000000000000027e+00	4.209550000000000125e+01	4.348660000000000281e+01	8.149838875089048429e+01
1.609300000000000068e+02	1.030000000000000027e+00	4.048420000000000130e+01	4.165720000000000312e+01	7.927646105926999098e+01
1.664799999999999898e+02	1.030000000000000027e+00	3.934290000000000020e+01	4.037669999999999959e+01	7.458682826583394387e+01
1.720399999999999920e+02	1.030000000000000027e+00	3.853719999999999857e+01	3.940959999999999752e+01	7.486368484193340578e+01
1.775900000000000034e+02	1.030000000000000027e+00	3.800010000000000332e+01	3.865540000000000020e+01	8.306655685345269546e+01
1.831500000000000057e+02	1.030000000000000027e+00	3.759729999999999706e+01	3.805330000000000013e+01	6.999294969809334077e+01
1.887100000000000080e+02	1.030000000000000027e+00	3.726160000000000139e+01	3.756830000000000069e+01	5.401164780599600590e+01
1.942599999999999909e+02	1.030000000000000027e+00	3.699300000000000210e+01	3.717569999999999908e+01	4.331936023110742440e+01
1.998199999999999932e+02	1.030000000000000027e+00	3.672449999999999903e+01	3.685620000000000118e+01	4.135696578007888746e+01
2.053700000000000045e+02	1.030000000000000027e+00	3.652309999999999945e+01	3.659779999999999944e+01	3.958971447551731870e+01
2.109300000000000068e+02	1.030000000000000027e+00	3.638880000000000337e+01	3.638949999999999818e+01	3.859303065734556526e+01
2.164799999999999898e+02	1.030000000000000027e+00	3.625450000000000017e+01	3.622480000000000189e+01	3.792070298527806216e+01
2.220399999999999920e+02	1.030000000000000027e+00	3.605310000000000059e+01	3.609709999999999752e+01	3.770628357509408346e+01
2.275900000000000034e+02	1.030000000000000027e+00	3.598599999999999710e+01	3.600240000000000151e+01	3.752725226255550695e+01
2.331500000000000057e+02	1.030000000000000027e+00	3.591879999999999740e+01	3.593690000000000140e+01	3.749692373575004467e+01
2.387100000000000080e+02	1.030000000000000027e+00	3.591879999999999740e+01	3.589789999999999992e+01	3.740245634316983114e+01
2.442599999999999909e+02	1.030000000000000027e+00	3.585170000000000101e+01	3.588309999999999889e+01	3.737203857246107930e+01
2.498199999999999932e+02	1.030000000000000027e+00	3.591879999999999740e+01	3.589039999999999964e+01	3.737486092040096253e+01
2.553700000000000045e+02	1.030000000000000027e+00	3.591879999999999740e+01	3.591819999999999879e+01	3.734339621129617370e+01
2.609300000000000068e+02	1.030000000000000027e+00	3.598599999999999710e+01	3.596529999999999916e+01	3.728537668440285557e+01
