# Temperature (K)	Pressure (MPa)	Experimental(J/mol*K)	NIST(J/mol*K)	Model(J/mol*K)
1.210999999999999943e+02	5.000000000000000000e+00	5.521200000000000330e+01	5.595360000000000156e+01	7.007616113308480976e+01
1.210999999999999943e+02	5.000000000000000000e+00	5.508359999999999701e+01	5.595360000000000156e+01	4.784963536152400110e+01
1.210999999999999943e+02	5.000000000000000000e+00	5.500339999999999918e+01	5.595360000000000156e+01	4.731177755569446219e+01
1.210000000000000000e+02	5.000000000000000000e+00	5.517990000000000350e+01	5.594239999999999924e+01	7.032842413210937593e+01
1.360999999999999943e+02	5.000000000000000000e+00	5.736269999999999669e+01	5.807469999999999999e+01	7.238989811558667498e+01
1.361999999999999886e+02	5.000000000000000000e+00	5.742690000000000339e+01	5.809250000000000114e+01	6.198325925446442852e+01
1.361999999999999886e+02	5.000000000000000000e+00	5.726639999999999731e+01	5.809250000000000114e+01	7.133276918472273564e+01
1.513000000000000114e+02	5.000000000000000000e+00	6.129500000000000171e+01	6.171309999999999718e+01	7.045196228995887111e+01
1.513000000000000114e+02	5.000000000000000000e+00	6.107030000000000314e+01	6.171309999999999718e+01	8.280131115819742149e+01
1.511999999999999886e+02	5.000000000000000000e+00	6.099000000000000199e+01	6.168110000000000070e+01	2.898503770590654227e+00
1.650999999999999943e+02	5.000000000000000000e+00	6.787550000000000239e+01	6.805060000000000286e+01	6.300034672836940075e+01
1.650999999999999943e+02	5.000000000000000000e+00	6.785939999999999372e+01	6.805060000000000286e+01	7.091352450911433891e+01
1.650999999999999943e+02	5.000000000000000000e+00	6.808410000000000650e+01	6.805060000000000286e+01	6.990559783407751127e+01
1.650000000000000000e+02	5.000000000000000000e+00	6.776309999999999434e+01	6.798510000000000275e+01	9.800971930946668920e+01
1.755999999999999943e+02	5.000000000000000000e+00	7.861289999999999623e+01	7.840460000000000207e+01	9.058409030382529181e+01
1.756999999999999886e+02	5.000000000000000000e+00	7.912649999999999295e+01	7.855419999999999447e+01	7.411998394361397402e+01
1.755999999999999943e+02	5.000000000000000000e+00	7.874129999999999541e+01	7.840460000000000207e+01	8.425766493614736419e+01
1.755000000000000000e+02	5.000000000000000000e+00	7.911050000000000182e+01	7.825639999999999930e+01	7.301104637619053506e+01
1.826999999999999886e+02	5.000000000000000000e+00	9.466289999999999338e+01	9.493699999999999761e+01	8.445728809843221541e+01
1.826999999999999886e+02	5.000000000000000000e+00	9.461480000000000246e+01	9.493699999999999761e+01	7.024501408253686918e+01
1.826999999999999886e+02	5.000000000000000000e+00	9.469499999999999318e+01	9.493699999999999761e+01	1.106519248658821120e+01
1.841999999999999886e+02	5.000000000000000000e+00	1.018854000000000042e+02	1.012690000000000055e+02	9.197261538014156201e+01
1.864000000000000057e+02	5.000000000000000000e+00	1.162982999999999976e+02	1.149380000000000024e+02	8.545776277867268789e+01
1.885000000000000000e+02	5.000000000000000000e+00	1.404696000000000140e+02	1.383930000000000007e+02	7.536806392661290488e+01
1.444000000000000057e+02	3.200000000000000178e+00	5.988259999999999650e+01	6.085459999999999781e+01	7.300381251322427545e+01
1.443000000000000114e+02	3.200000000000000178e+00	6.071719999999999828e+01	6.082529999999999859e+01	6.236637583465841317e+01
