 ======== AdaboostLassoCV10 ========
Liquid Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,20.0%,17.154,3254.809,57.051,0.039
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,20.0%,13.384,268.756,16.394,0.020
Vapor Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,98.0%,60.232,24590.348,156.813,-0.228
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,97.0%,42.847,5861.491,76.560,-4.308
Supercritical Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,63.0%,39.722,5022.872,70.872,-0.057
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,62.0%,39.831,5055.790,71.104,-0.099

 ======== AdaboostLassoCVLOO ========
Liquid Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,12.0%,12.085,3148.816,56.114,0.070
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,11.0%,8.259,158.856,12.604,0.421
Vapor Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,98.0%,61.471,20115.549,141.829,-0.005
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,96.0%,44.437,2980.557,54.594,-1.699
Supercritical Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,49.0%,33.808,3820.414,61.810,0.196
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,48.0%,33.894,3813.175,61.751,0.171

 ======== AdaboostRidgeCV10 ========
Liquid Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,20.0%,17.280,3257.230,57.072,0.038
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,20.0%,13.505,274.223,16.560,0.000
Vapor Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,99.0%,60.585,24665.860,157.054,-0.232
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,98.0%,43.185,5940.236,77.073,-4.379
Supercritical Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,64.0%,39.829,5032.539,70.940,-0.059
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,62.0%,39.964,5065.763,71.174,-0.101

 ======== AdaboostRidgeCVLOO ========
Liquid Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,12.0%,12.159,3146.831,56.097,0.071
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,12.0%,8.336,159.911,12.646,0.417
Vapor Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,98.0%,61.608,20114.037,141.824,-0.005
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,96.0%,44.583,2986.459,54.649,-1.704
Supercritical Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,52.0%,35.344,3855.217,62.090,0.189
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,52.0%,35.455,3861.795,62.143,0.161

 ======== BaggingRegressorLassoCV10 ========
Liquid Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,16.0%,14.850,3184.617,56.432,0.060
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,16.0%,11.042,192.580,13.877,0.298
Vapor Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,96.0%,60.371,22135.356,148.780,-0.106
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,95.0%,42.957,3296.638,57.416,-1.985
Supercritical Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,55.0%,36.402,4551.603,67.466,0.042
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,53.0%,36.374,4548.704,67.444,0.012


 ======== BaggingRegressorLassoCVLOO ========
Liquid Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,17.0%,15.067,3172.384,56.324,0.064
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,17.0%,11.273,189.125,13.752,0.311

Vapor Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,75.0%,51.352,19611.836,140.042,0.020
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,73.0%,33.948,1948.802,44.145,-0.765

Supercritical Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,43.0%,31.582,3827.186,61.864,0.195
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,43.0%,31.661,3805.996,61.693,0.173


 ======== BaggingRegressorRidgeCV10 ========
Liquid Phase - BaggingRegressorRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
