 ======== AdaboostLassoCV10 ========
Liquid Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2

Vapor Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2

Supercritical Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2


 ======== AdaboostLassoCVLOO ========
Liquid Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2

Vapor Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2

Supercritical Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2


 ======== AdaboostRidgeCV10 ========
Liquid Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2

Vapor Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2

Supercritical Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2


 ======== AdaboostRidgeCVLOO ========
Liquid Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2

Vapor Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2

Supercritical Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2


 ======== ExtraTreesRegressorCV10 ========
Liquid Phase - ExtraTreesRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,2.0%,0.632,2.401,1.550,0.500
Exp x NIST,2.0%,0.446,1.815,1.347,0.622
NIST x Model,2.0%,0.481,0.439,0.663,0.805

Vapor Phase - ExtraTreesRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2

Supercritical Phase - ExtraTreesRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2


 ======== ExtraTreesRegressorCVLOO ========
Liquid Phase - ExtraTreesRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,2.0%,0.471,1.927,1.388,0.598
Exp x NIST,2.0%,0.446,1.815,1.347,0.622
NIST x Model,1.0%,0.365,0.225,0.474,0.900

Vapor Phase - ExtraTreesRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,12.0%,3.340,17.672,4.204,-0.488
Exp x NIST,3.0%,0.662,0.656,0.810,0.945
NIST x Model,9.0%,2.678,14.589,3.820,-0.785

Supercritical Phase - ExtraTreesRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,1.0%,0.385,1.775,1.332,0.748
Exp x NIST,1.0%,0.483,1.000,1.000,0.858
NIST x Model,2.0%,0.550,0.819,0.905,0.813


 ======== GradientBoostingCV10 ========
Liquid Phase - GradientBoosting
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,3.0%,0.794,3.373,1.837,0.297
Exp x NIST,2.0%,0.446,1.815,1.347,0.622
NIST x Model,2.0%,0.651,1.460,1.208,0.352

Vapor Phase - GradientBoosting
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,12.0%,3.473,19.897,4.461,-0.676
Exp x NIST,3.0%,0.662,0.656,0.810,0.945
NIST x Model,10.0%,2.811,15.512,3.939,-0.897

Supercritical Phase - GradientBoosting
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,2.0%,0.547,2.877,1.696,0.591
Exp x NIST,1.0%,0.483,1.000,1.000,0.858
NIST x Model,2.0%,0.595,1.428,1.195,0.674


 ======== GradientBoostingCVLOO ========
Liquid Phase - GradientBoosting
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,2.0%,0.442,2.259,1.503,0.529
Exp x NIST,2.0%,0.446,1.815,1.347,0.622
NIST x Model,1.0%,0.395,0.511,0.715,0.773

Vapor Phase - GradientBoosting
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,14.0%,4.018,21.193,4.604,-0.785
Exp x NIST,3.0%,0.662,0.656,0.810,0.945
NIST x Model,12.0%,3.356,16.666,4.082,-1.039

Supercritical Phase - GradientBoosting
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,1.0%,0.424,2.601,1.613,0.631
