Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
278.000	0.100000	0.695605	1.43760	11.5777	13.8840	104.706	26.7252	35.1306	434.229	5.04461	10.4161	0.0312347	vapor
222.000	0.0800000	0.697881	1.43291	10.1205	11.9596	98.8314	25.4769	33.9189	389.943	7.70382	8.48866	0.0242186	vapor
180.000	0.0300000	0.322413	3.10162	9.06785	10.5606	99.9767	25.0974	33.4940	351.935	11.1703	6.94971	0.0192072	vapor
200.940	6.49000	190.478	0.00524996	6.24323	6.78985	40.8654	33.7978	224.320	329.320	4.16191	19.0507	0.0677695	supercritical
202.610	6.80000	190.293	0.00525506	6.30178	6.87506	41.1583	33.2681	200.547	338.051	4.01738	19.0742	0.0668745	supercritical
205.120	7.26000	189.701	0.00527144	6.39266	7.00663	41.6131	32.6067	174.924	349.713	3.83582	19.0826	0.0658273	supercritical
208.470	7.89000	189.578	0.00527487	6.50236	7.17004	42.1457	31.8853	150.310	364.845	3.59321	19.1761	0.0649294	supercritical
212.700	8.69000	189.445	0.00527858	6.63765	7.37354	42.7905	31.2280	129.365	381.845	3.32546	19.3061	0.0642244	supercritical
217.780	9.65000	189.192	0.00528564	6.79845	7.61674	43.5425	30.6918	112.568	399.829	3.05064	19.4592	0.0637425	supercritical
190.960	4.67000	188.758	0.00529778	5.89579	6.29270	39.1116	44.6437	1955.52	237.438	5.73430	18.8573	0.103849	supercritical
192.490	4.94000	190.527	0.00524861	5.93786	6.35382	39.3113	40.1630	771.681	265.333	5.23134	18.9665	0.0832259	supercritical
194.090	5.23000	191.034	0.00523466	5.99338	6.43259	39.5927	37.7372	504.458	283.910	4.92779	19.0016	0.0767086	supercritical
195.710	5.52000	190.306	0.00525468	6.06299	6.52832	39.9587	36.3397	388.461	296.324	4.74559	18.9297	0.0732298	supercritical
197.280	5.81000	190.497	0.00524942	6.11665	6.60594	40.2293	35.3405	314.733	307.510	4.54562	18.9743	0.0709051	supercritical
198.910	6.11000	190.366	0.00525304	6.17539	6.69030	40.5276	34.5789	266.095	317.437	4.37238	18.9915	0.0692279	supercritical
200.560	6.42000	190.546	0.00524806	6.22942	6.76994	40.7957	33.9273	230.661	327.308	4.19518	19.0489	0.0680098	supercritical
202.220	6.72000	189.924	0.00526527	6.29389	6.86152	41.1248	33.4084	206.521	335.349	4.07050	19.0234	0.0670201	supercritical
204.720	7.19000	189.941	0.00526480	6.37626	6.98354	41.5294	32.6970	178.201	348.180	3.85643	19.0965	0.0659936	supercritical
208.090	7.82000	189.651	0.00527285	6.48920	7.15071	42.0813	31.9550	152.585	363.317	3.61650	19.1714	0.0650228	supercritical
212.330	8.62000	189.460	0.00527817	6.62587	7.35579	42.7348	31.2763	130.885	380.442	3.34730	19.2947	0.0642728	supercritical
170.400	6.54000	328.829	0.00304110	3.32135	3.64042	24.1089	30.2606	68.6498	797.457	0.146448	44.2233	0.111447	liquid
172.190	7.69000	328.766	0.00304167	3.37644	3.75169	24.4309	30.2120	67.6265	806.655	0.126520	44.2731	0.111652	liquid
174.900	9.42000	328.642	0.00304283	3.46016	3.92000	24.9143	30.1471	66.2279	819.771	0.0987399	44.3315	0.111943	liquid
178.510	11.7200	328.480	0.00304433	3.57137	4.14377	25.5451	30.0743	64.5744	836.325	0.0647230	44.4002	0.112334	liquid
182.090	13.9900	328.310	0.00304590	3.68157	4.36518	26.1581	30.0148	63.1345	851.759	0.0340451	44.4548	0.112719	liquid
146.610	6.85000	376.023	0.00265941	1.84778	2.14003	14.5539	31.1116	59.3331	1064.56	-0.245349	66.7973	0.143843	liquid
148.360	8.54000	375.916	0.00266017	1.90391	2.26837	14.9351	31.0915	58.8678	1072.26	-0.253452	66.6842	0.144054	liquid
150.090	10.2000	375.805	0.00266096	1.95945	2.39488	15.3080	31.0724	58.4314	1079.65	-0.261113	66.5551	0.144255	liquid
152.690	12.6800	375.636	0.00266215	2.04287	2.58442	15.8606	31.0452	57.8130	1090.42	-0.272096	66.3406	0.144550	liquid
156.170	15.9600	375.389	0.00266390	2.15474	2.83681	16.5876	31.0108	57.0526	1104.15	-0.285761	66.0153	0.144918	liquid
160.060	19.5800	375.097	0.00266597	2.27986	3.11729	17.3827	30.9752	56.2788	1118.72	-0.299886	65.6241	0.145306	liquid
164.350	23.5200	374.765	0.00266834	2.41784	3.42467	18.2384	30.9394	55.5042	1134.00	-0.314278	65.1794	0.145710	liquid
200.340	5.69000	128.331	0.00779235	7.13428	7.84559	46.5291	35.0002	244.813	282.561	7.22585	13.1891	0.0569056	supercritical
201.340	5.80000	128.279	0.00779554	7.16990	7.89526	46.7079	34.5634	226.382	286.026	7.11696	13.2362	0.0559020	supercritical
207.850	6.52000	128.529	0.00778035	7.38369	8.19750	47.7458	32.5342	156.733	306.676	6.43371	13.5676	0.0521742	supercritical
208.170	6.56000	128.777	0.00776534	7.39016	8.20739	47.7694	32.4674	154.896	307.679	6.39202	13.6010	0.0521337	supercritical
215.400	7.35000	128.726	0.00776844	7.62085	8.53687	48.8605	31.2422	120.304	327.612	5.74940	13.9154	0.0504356	supercritical
222.940	8.16000	128.427	0.00778651	7.85803	8.87736	49.9531	30.4951	100.393	346.167	5.18344	14.2086	0.0496758	supercritical
222.990	8.17000	128.553	0.00777889	7.85760	8.87718	49.9467	30.4927	100.355	346.352	5.17501	14.2200	0.0497056	supercritical
230.370	8.96000	128.350	0.00779121	8.08394	9.20388	50.9528	30.0232	88.1940	363.108	4.69676	14.5022	0.0495118	supercritical
230.450	8.97000	128.380	0.00778936	8.08587	9.20679	50.9600	30.0193	88.0983	363.304	4.69076	14.5076	0.0495197	supercritical
237.530	9.72000	128.137	0.00780417	8.30101	9.51796	51.8890	29.7085	80.0356	378.316	4.29424	14.7660	0.0496055	supercritical
238.130	9.79000	128.241	0.00779783	8.31722	9.54194	51.9530	29.6880	79.4973	379.637	4.25870	14.7967	0.0496521	supercritical
244.730	10.4900	128.108	0.00780590	8.51451	9.82816	52.7757	29.4894	74.0611	392.897	3.93292	15.0373	0.0499281	supercritical
245.480	10.5700	128.104	0.00780615	8.53668	9.86039	52.8663	29.4710	73.5298	394.372	3.89785	15.0650	0.0499695	supercritical
252.810	11.3400	127.919	0.00781747	8.75498	10.1772	53.7506	29.3292	68.9998	408.272	3.58142	15.3221	0.0504042	supercritical
266.350	12.7700	127.819	0.00782354	9.15270	10.7555	55.2876	29.2257	63.0699	432.453	3.07730	15.7986	0.0515014	supercritical
195.780	5.39000	167.989	0.00595276	6.37068	6.88542	41.8422	37.8288	544.673	273.174	5.88174	16.5554	0.0750021	supercritical
198.090	5.73000	165.958	0.00602563	6.48470	7.03860	42.4542	36.2313	379.549	285.373	5.69279	16.4219	0.0692925	supercritical
198.430	5.78000	165.746	0.00603332	6.50000	7.05945	42.5350	36.0642	363.841	286.954	5.66299	16.4120	0.0686885	supercritical
202.600	6.40000	164.526	0.00607806	6.66418	7.28824	43.3757	34.3790	244.678	305.515	5.27258	16.4357	0.0637883	supercritical
203.140	6.49000	165.114	0.00605642	6.67422	7.30480	43.4141	34.1676	234.566	308.420	5.19133	16.5115	0.0634709	supercritical
203.380	6.52000	164.648	0.00607356	6.68912	7.32441	43.4963	34.0939	230.928	309.079	5.19037	16.4754	0.0632304	supercritical
203.730	6.57000	164.430	0.00608161	6.70418	7.34519	43.5744	33.9761	225.497	310.427	5.16720	16.4672	0.0629585	supercritical
208.700	7.32000	164.147	0.00609209	6.87327	7.58869	44.4001	32.5101	169.910	330.668	4.74158	16.6243	0.0605051	supercritical
209.060	7.37000	163.925	0.00610037	6.88820	7.60948	44.4763	32.4282	167.146	331.824	4.72242	16.6170	0.0603405	supercritical
209.530	7.44000	163.862	0.00610270	6.90433	7.63274	44.5547	32.3217	163.622	333.542	4.68731	16.6289	0.0601766	supercritical
