 ======== BaggingRegressorLassoCV10 ========
Liquid Phase - BaggingRegressorLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,10.0%,19.853,1386.499,37.236,0.631
Exp x NIST,6.0%,4.122,695.778,26.378,0.815
NIST x Model,5.0%,16.915,751.658,27.416,0.763

Vapor Phase - BaggingRegressorLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,511.0%,19.609,1196.890,34.596,0.181
Exp x NIST,3.0%,3.988,489.328,22.121,0.665
NIST x Model,509.0%,15.737,532.309,23.072,0.274

Supercritical Phase - BaggingRegressorLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,33.0%,43.056,2768.855,52.620,0.668
Exp x NIST,1.0%,1.813,106.597,10.325,0.987
NIST x Model,33.0%,42.720,2704.024,52.000,0.673


 ======== BaggingRegressorLassoCVLOO ========
Liquid Phase - BaggingRegressorLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,9.0%,16.373,1072.103,32.743,0.715
Exp x NIST,6.0%,4.122,695.778,26.378,0.815
NIST x Model,4.0%,13.464,447.311,21.150,0.859

Vapor Phase - BaggingRegressorLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,318.0%,15.615,900.169,30.003,0.384
Exp x NIST,3.0%,3.988,489.328,22.121,0.665
NIST x Model,315.0%,11.742,320.004,17.889,0.564

Supercritical Phase - BaggingRegressorLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,30.0%,37.754,2141.908,46.281,0.743
Exp x NIST,1.0%,1.813,106.597,10.325,0.987
NIST x Model,30.0%,37.428,2078.899,45.595,0.749


 ======== BaggingRegressorRidgeCV10 ========
Liquid Phase - BaggingRegressorRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,10.0%,19.888,1389.957,37.282,0.630
Exp x NIST,6.0%,4.122,695.778,26.378,0.815
NIST x Model,5.0%,16.950,755.362,27.484,0.761

Vapor Phase - BaggingRegressorRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,536.0%,19.679,1199.260,34.630,0.179
Exp x NIST,3.0%,3.988,489.328,22.121,0.665
NIST x Model,533.0%,15.793,538.871,23.214,0.265

Supercritical Phase - BaggingRegressorRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,33.0%,43.058,2770.101,52.632,0.667
Exp x NIST,1.0%,1.813,106.597,10.325,0.987
NIST x Model,33.0%,42.722,2705.255,52.012,0.673


 ======== BaggingRegressorRidgeCVLOO ========
Liquid Phase - BaggingRegressorRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,9.0%,16.384,1072.168,32.744,0.715
Exp x NIST,6.0%,4.122,695.778,26.378,0.815
NIST x Model,4.0%,13.476,447.528,21.155,0.859

Vapor Phase - BaggingRegressorRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,331.0%,15.651,899.065,29.984,0.385
Exp x NIST,3.0%,3.988,489.328,22.121,0.665
NIST x Model,328.0%,11.762,322.080,17.947,0.561

Supercritical Phase - BaggingRegressorRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,30.0%,37.751,2141.948,46.281,0.743
Exp x NIST,1.0%,1.813,106.597,10.325,0.987
NIST x Model,30.0%,37.426,2078.924,45.595,0.749


 ======== DecisionTreeCV10 ========
Liquid Phase - DecisionTree
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,8.0%,13.246,1143.073,33.809,0.696
Exp x NIST,6.0%,4.122,695.778,26.378,0.815
NIST x Model,3.0%,10.535,479.084,21.888,0.849

Vapor Phase - DecisionTree
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,282.0%,19.696,1371.876,37.039,0.061
Exp x NIST,3.0%,3.988,489.328,22.121,0.665
NIST x Model,281.0%,16.030,809.423,28.450,-0.104

Supercritical Phase - DecisionTree
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,13.0%,17.072,810.173,28.464,0.903
Exp x NIST,1.0%,1.813,106.597,10.325,0.987
NIST x Model,12.0%,16.105,700.485,26.467,0.915


 ======== DecisionTreeCVLOO ========
