K,bar,J/g, DOI  
130 ,    50   ,  34.56    , https://doi.org/10.1021/i160072a007  
140 ,    50   ,  70.15    , https://doi.org/10.1021/i160072a007  
150 ,    50   ,  107.2    , https://doi.org/10.1021/i160072a007  
160 ,    50   ,  146.2    , https://doi.org/10.1021/i160072a007  
170 ,    50   ,  188.4    , https://doi.org/10.1021/i160072a007  
180 ,    50   ,  237.1    , https://doi.org/10.1021/i160072a007  
185 ,    50   ,  266.4    , https://doi.org/10.1021/i160072a007  
190 ,    50   ,  307.0    , https://doi.org/10.1021/i160072a007  
195 ,    50   ,  451.4    , https://doi.org/10.1021/i160072a007   
200 ,    50   ,  506.7    , https://doi.org/10.1021/i160072a007   
210 ,    50   ,  562.6    , https://doi.org/10.1021/i160072a007  
220 ,    50   ,  600.8    , https://doi.org/10.1021/i160072a007  
230 ,    50   ,  633.9    , https://doi.org/10.1021/i160072a007  
240 ,    50   ,  664.4    , https://doi.org/10.1021/i160072a007  
250 ,    50   ,  693.1    , https://doi.org/10.1021/i160072a007  
255 ,    50   ,  707.1    , https://doi.org/10.1021/i160072a007  
150 ,    32   ,  37.2     , https://doi.org/10.1021/i160072a007 
160 ,    32   ,  77.4     , https://doi.org/10.1021/i160072a007 
170 ,    32   ,  121.8    , https://doi.org/10.1021/i160072a007  
175 ,    32   ,  148.5    , https://doi.org/10.1021/i160072a007  
180 ,    32   ,  436.4    , https://doi.org/10.1021/i160072a007  
185 ,    32   ,  462.3    , https://doi.org/10.1021/i160072a007  
190 ,    32   ,  483.2    , https://doi.org/10.1021/i160072a007  
200 ,    32   ,  518.8    , https://doi.org/10.1021/i160072a007  
210 ,    32   ,  547.2    , https://doi.org/10.1021/i160072a007     
K,bar,J/mol,
224, 10 ,  240  , https://doi.org/10.1021/je60062a024
224, 20 ,  522  , https://doi.org/10.1021/je60062a024
224, 30 ,  830  , https://doi.org/10.1021/je60062a024
224, 40 ,  1170 , https://doi.org/10.1021/je60062a024
224, 50 ,  1548 , https://doi.org/10.1021/je60062a024
224, 60 ,  1967 , https://doi.org/10.1021/je60062a024
224, 70 ,  2428 , https://doi.org/10.1021/je60062a024
224, 80 ,  2932 , https://doi.org/10.1021/je60062a024
247 , 10 ,  199 , https://doi.org/10.1021/je60062a024
247 , 20 ,  430  , https://doi.org/10.1021/je60062a024
247 , 30 ,  671  , https://doi.org/10.1021/je60062a024
247 , 40 ,  924  , https://doi.org/10.1021/je60062a024
247 , 50 ,  1189 , https://doi.org/10.1021/je60062a024
247 , 60 ,  1466 , https://doi.org/10.1021/je60062a024
247 , 70 ,  1754 , https://doi.org/10.1021/je60062a024
247 , 80 ,  2052 , https://doi.org/10.1021/je60062a024
273.15 , 10  ,  166   ,  https://doi.org/10.1021/je60062a024
273.15 , 20  ,  356   ,  https://doi.org/10.1021/je60062a024
273.15 , 30  ,  551   ,  https://doi.org/10.1021/je60062a024
273.15 , 40  ,  750   ,  https://doi.org/10.1021/je60062a024
273.15 , 50  ,  954   ,  https://doi.org/10.1021/je60062a024
273.15 , 60  ,  1156  ,  https://doi.org/10.1021/je60062a024
273.15 , 70  ,  1369  ,  https://doi.org/10.1021/je60062a024
273.15 , 80  ,  1579  ,  https://doi.org/10.1021/je60062a024
273.15 , 90  ,  1788  ,  https://doi.org/10.1021/je60062a024
273.15 , 100 ,  1995  ,  https://doi.org/10.1021/je60062a024
298.15 , 10  , 141  , https://doi.org/10.1021/je60062a024
298.15 , 20  , 301  , https://doi.org/10.1021/je60062a024
298.15 , 30  , 462  , https://doi.org/10.1021/je60062a024
298.15 , 40  , 626  , https://doi.org/10.1021/je60062a024
298.15 , 50  , 791  , https://doi.org/10.1021/je60062a024
298.15 , 60  , 956  , https://doi.org/10.1021/je60062a024
298.15 , 70  , 1123 , https://doi.org/10.1021/je60062a024
298.15 , 80  , 1289 , https://doi.org/10.1021/je60062a024
298.15 , 90  , 1453 , https://doi.org/10.1021/je60062a024
298.15 , 100 , 1614 , https://doi.org/10.1021/je60062a024
333.25 , 10  , 115  , https://doi.org/10.1021/je60062a024
333.25 , 20  , 243  , https://doi.org/10.1021/je60062a024
333.25 , 30  , 370  , https://doi.org/10.1021/je60062a024
333.25 , 40  , 500  , https://doi.org/10.1021/je60062a024
333.25 , 50  , 628  , https://doi.org/10.1021/je60062a024
333.25 , 60  , 775  , https://doi.org/10.1021/je60062a024
333.25 , 70  , 882  , https://doi.org/10.1021/je60062a024
333.25 , 80  , 1008 , https://doi.org/10.1021/je60062a024
333.25 , 90  , 1131 , https://doi.org/10.1021/je60062a024
333.25 , 100 , 1253 , https://doi.org/10.1021/je60062a024
366.7  , 10  , 95 , https://doi.org/10.1021/je60062a024
366.7  , 20  , 200 , https://doi.org/10.1021/je60062a024
366.7  , 30  , 307 , https://doi.org/10.1021/je60062a024
366.7  , 40  , 410 , https://doi.org/10.1021/je60062a024
366.7  , 50  , 515 , https://doi.org/10.1021/je60062a024
366.7  , 60  , 618 , https://doi.org/10.1021/je60062a024
366.7  , 70  , 720 , https://doi.org/10.1021/je60062a024
366.7  , 80  , 821 , https://doi.org/10.1021/je60062a024
366.7  , 90  , 920 , https://doi.org/10.1021/je60062a024
366.7  , 100 , 1016 , https://doi.org/10.1021/je60062a024
F,lb/sq.abs,btu/lb, 
150 ,   500   ,  11.4     , https://doi.org/10.1002/aic.690140618
150 ,   1000  ,  22.72    , https://doi.org/10.1002/aic.690140618
150 ,   1500  ,  33.71    , https://doi.org/10.1002/aic.690140618
150 ,   2000  ,  43.31    , https://doi.org/10.1002/aic.690140618
F,lb/sq.abs,btu/lb,
70  ,   500   ,  15.17    , https://doi.org/10.1021/ie50358a030        
70  ,   1000  ,  30.04    , https://doi.org/10.1021/ie50358a030        
70  ,   1500  ,  44.60    , https://doi.org/10.1021/ie50358a030        
100 ,   500   ,  13.38    , https://doi.org/10.1021/ie50358a030    
100 ,   1000  ,  26.61    , https://doi.org/10.1021/ie50358a030    
100 ,   1500  ,  39.20    , https://doi.org/10.1021/ie50358a030    
130 ,   500   ,  12.20    , https://doi.org/10.1021/ie50358a030      
130 ,   1000  ,  24.09    , https://doi.org/10.1021/ie50358a030      
130 ,   1500  ,  35.19    , https://doi.org/10.1021/ie50358a030      
160 ,   500   ,  11.23    , https://doi.org/10.1021/ie50358a030    
160 ,   1000  ,  21.85    , https://doi.org/10.1021/ie50358a030    
160 ,   1500  ,  31.34    , https://doi.org/10.1021/ie50358a030    
190 ,   500   ,  10.19    , https://doi.org/10.1021/ie50358a030    
190 ,   1000  ,  20.06    , https://doi.org/10.1021/ie50358a030     
190 ,   1500  ,  28.88    , https://doi.org/10.1021/ie50358a030     
220 ,   500   ,  9.41     , https://doi.org/10.1021/ie50358a030    
220 ,   1000  ,  18.26    , https://doi.org/10.1021/ie50358a030    
220 ,   1500  ,  26.39    , https://doi.org/10.1021/ie50358a030
F,lb/sq.abs,btu/lb.,
-280  ,0,226.4,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-270  ,0,231.3,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-260  ,0,236.3,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-250  ,0,241.2,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-240  ,0,246.1,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-230  ,0,251.0,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-220  ,0,256.0,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-210  ,0,260.9,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-200  ,0,265.8,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-190  ,0,270.7,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-180  ,0,275.7,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-170  ,0,280.6,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-160  ,0,285.5,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-150  ,0,290.4,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-140  ,0,295.4,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-130  ,0,300.3,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-125  ,0,302.8,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-120  ,0,305.3,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-116.6,0,307.0,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-110  ,0,310.3,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-105  ,0,312.8,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-100  ,0,315.3,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-95   ,0,317.8,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-90   ,0,320.3,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-80   ,0,325.3,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-70   ,0,330.3,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-60   ,0,335.3,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-50   ,0,340.3,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-40   ,0,345.3,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-30   ,0,350.3,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-20   ,0,355.3,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-10   ,0,360.4,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
0     ,0,365.5,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
10    ,0,370.6,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
20    ,0,375.7,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
30    ,0,380.9,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
40    ,0,386.1,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
50    ,0,391.3,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-280  ,50,0.0,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-270  ,50,8.0,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-260  ,50,16.1,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-250  ,50,24.3,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-240  ,50,32.6,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-230  ,50,41.1,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-220  ,50,250.8,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-210  ,50,255.8,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-200  ,50,260.8,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-190  ,50,266.0,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-180  ,50,271.2,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-170  ,50,276.4,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-160  ,50,281.6,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-150  ,50,286.8,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-140  ,50,292.0,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-130  ,50,297.1,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-125  ,50,299.7,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-120  ,50,302.2,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-116.6,50,304.0,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-110  ,50,307.3,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-105  ,50,309.9,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-100  ,50,312.4,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-95   ,50,315.0,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-90   ,50,317.5,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-80   ,50,322.6,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
-70   ,50,327.7,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
