# Temperature (K)	Pressure (MPa)	Experimental(kJ/mol)	NIST(kJ/mol)	Model(kJ/mol)
1.300000000000000000e+02	5.000000000000000000e+00	5.667999999999999705e-01	1.141750000000000043e+00	1.775525523314054555e+00
1.400000000000000000e+02	5.000000000000000000e+00	1.150500000000000078e+00	1.720809999999999951e+00	2.395038583533930066e+00
1.500000000000000000e+02	5.000000000000000000e+00	1.758099999999999996e+00	2.320629999999999971e+00	3.014551643753804910e+00
1.600000000000000000e+02	5.000000000000000000e+00	2.397699999999999942e+00	2.951430000000000220e+00	3.634064703973679755e+00
1.700000000000000000e+02	5.000000000000000000e+00	3.089799999999999880e+00	3.633010000000000073e+00	4.253577764193556376e+00
1.800000000000000000e+02	5.000000000000000000e+00	3.888399999999999856e+00	4.414220000000000255e+00	4.873090824413432998e+00
1.850000000000000000e+02	5.000000000000000000e+00	4.368999999999999773e+00	4.888440000000000119e+00	5.182847354523367756e+00
1.900000000000000000e+02	5.000000000000000000e+00	5.034799999999999720e+00	5.535330000000000084e+00	5.492603884633305178e+00
1.500000000000000000e+02	3.200000000000000178e+00	6.100999999999999757e-01	2.303119999999999834e+00	2.983818564661008477e+00
1.600000000000000000e+02	3.200000000000000178e+00	1.269400000000000084e+00	2.953440000000000065e+00	3.603331624880883766e+00
1.700000000000000000e+02	3.200000000000000178e+00	1.997500000000000053e+00	3.676349999999999785e+00	4.222844685100758610e+00
1.750000000000000000e+02	3.200000000000000178e+00	2.435400000000000009e+00	4.092810000000000059e+00	4.532601215210695145e+00
9.981999999999999318e+01	3.400000000000000244e-01	0.000000000000000000e+00	-6.481959999999999944e-01	-1.737294194142146586e-01
1.053700000000000045e+02	3.400000000000000244e-01	2.985999999999999766e-01	-3.436589999999999923e-01	1.701003290078167418e-01
1.109300000000000068e+02	3.400000000000000244e-01	6.008999999999999897e-01	-3.555090000000000333e-02	5.145495904900676543e-01
1.164800000000000040e+02	3.400000000000000244e-01	9.069000000000000394e-01	2.755270000000000219e-01	8.583793389120980555e-01
1.220400000000000063e+02	3.400000000000000244e-01	1.216599999999999904e+00	5.913249999999999895e-01	1.202828600394348912e+00
9.981999999999999318e+01	6.899999999999999467e-01	0.000000000000000000e+00	-6.394060000000000299e-01	-1.677535429239486175e-01
1.053700000000000045e+02	6.899999999999999467e-01	2.985999999999999766e-01	-3.351299999999999835e-01	1.760762054980828106e-01
1.109300000000000068e+02	6.899999999999999467e-01	6.008999999999999897e-01	-2.734119999999999953e-02	5.205254669803336398e-01
1.164800000000000040e+02	6.899999999999999467e-01	9.069000000000000394e-01	2.833450000000000135e-01	8.643552154023640410e-01
1.220400000000000063e+02	6.899999999999999467e-01	1.216599999999999904e+00	5.986540000000000195e-01	1.208804476884614676e+00
1.275900000000000034e+02	6.899999999999999467e-01	1.533900000000000041e+00	9.182360000000000522e-01	1.552634225306644522e+00
1.331500000000000057e+02	6.899999999999999467e-01	1.858500000000000041e+00	1.244289999999999896e+00	1.897083486788894824e+00
1.387100000000000080e+02	6.899999999999999467e-01	2.190700000000000092e+00	1.577700000000000102e+00	2.241532748271147124e+00
9.981999999999999318e+01	1.030000000000000027e+00	0.000000000000000000e+00	-6.308580000000000298e-01	-1.619484057619758888e-01
1.053700000000000045e+02	1.030000000000000027e+00	2.985999999999999766e-01	-3.268320000000000114e-01	1.818813426600555394e-01
