# Temperature (K)	Pressure (MPa)	Experimental(kJ/mol)	NIST(kJ/mol)	Model(kJ/mol)
1.950000000000000000e+02	5.000000000000000000e+00	7.402999999999999581e+00	7.862980000000000302e+00	8.463174000000011077e+00
2.000000000000000000e+02	5.000000000000000000e+00	8.309900000000000730e+00	8.733670000000000044e+00	9.402648000000011663e+00
2.100000000000000000e+02	5.000000000000000000e+00	9.226599999999999469e+00	9.607739999999999725e+00	1.029600699999999946e+01
2.200000000000000000e+02	5.000000000000000000e+00	9.853099999999999525e+00	1.024160000000000004e+01	1.095970500000000669e+01
2.300000000000000000e+02	5.000000000000000000e+00	1.039600000000000080e+01	1.078550000000000075e+01	1.122804400000000236e+01
2.400000000000000000e+02	5.000000000000000000e+00	1.089620000000000033e+01	1.128129999999999988e+01	1.182461899999999311e+01
2.500000000000000000e+02	5.000000000000000000e+00	1.136679999999999957e+01	1.174760000000000026e+01	1.229908199999998963e+01
2.550000000000000000e+02	5.000000000000000000e+00	1.159639999999999915e+01	1.197300000000000075e+01	1.256084999999999852e+01
3.387099999999999795e+02	6.889999999999999680e+00	8.478999999999999870e-01	1.524130000000000074e+01	9.545059999999996325e-01
3.387099999999999795e+02	1.033999999999999986e+01	1.258099999999999996e+00	1.483259999999999934e+01	1.237101000000000450e+00
3.387099999999999795e+02	1.378999999999999915e+01	1.616300000000000070e+00	1.445470000000000077e+01	1.237101000000000450e+00
2.942599999999999909e+02	6.889999999999999680e+00	1.121099999999999985e+00	1.332390000000000008e+01	1.331410100000000085e+01
2.942599999999999909e+02	1.033999999999999986e+01	1.664500000000000091e+00	1.274160000000000004e+01	1.261194200000001331e+01
3.109300000000000068e+02	6.889999999999999680e+00	9.930999999999999828e-01	1.405109999999999992e+01	1.331410100000000085e+01
3.109300000000000068e+02	1.033999999999999986e+01	1.462900000000000089e+00	1.354729999999999990e+01	1.261194200000001331e+01
3.275899999999999750e+02	6.889999999999999680e+00	8.990000000000000213e-01	1.476660000000000039e+01	1.335326000000000013e+00
3.275899999999999750e+02	1.033999999999999986e+01	1.313299999999999912e+00	1.432380000000000031e+01	1.587073000000000844e+00
3.442599999999999909e+02	6.889999999999999680e+00	8.154000000000000137e-01	1.547799999999999976e+01	9.545059999999996325e-01
3.442599999999999909e+02	1.033999999999999986e+01	1.169599999999999973e+00	1.508460000000000001e+01	1.309471999999999303e+00
3.609300000000000068e+02	6.889999999999999680e+00	7.486000000000000432e-01	1.619010000000000105e+01	8.436069999999987745e-01
3.609300000000000068e+02	1.033999999999999986e+01	1.077800000000000091e+00	1.583750000000000036e+01	1.309471999999999303e+00
3.775899999999999750e+02	6.889999999999999680e+00	6.814999999999999947e-01	1.690569999999999951e+01	8.436069999999987745e-01
3.775899999999999750e+02	1.033999999999999986e+01	9.848999999999999977e-01	1.658770000000000167e+01	1.309471999999999303e+00
1.942599999999999909e+02	4.690000000000000391e+00	8.826200000000000045e+00	8.335089999999999222e+00	8.306613000000012903e+00
1.970399999999999920e+02	4.690000000000000391e+00	9.247899999999999565e+00	8.723019999999999996e+00	8.723815000000008979e+00
1.998199999999999932e+02	4.690000000000000391e+00	9.538999999999999702e+00	9.011509999999999465e+00	9.232519000000014131e+00
2.025900000000000034e+02	4.690000000000000391e+00	9.785299999999999443e+00	9.252459999999999241e+00	9.540124000000004045e+00
2.053700000000000045e+02	4.690000000000000391e+00	1.000929999999999964e+01	9.466469999999999274e+00	9.816684000000007515e+00
2.109300000000000068e+02	4.690000000000000391e+00	1.039739999999999931e+01	9.843410000000000437e+00	1.015139300000000766e+01
2.164799999999999898e+02	4.690000000000000391e+00	1.074070000000000036e+01	1.017740000000000045e+01	1.045055799999999202e+01
