 ======== AdaboostLassoCV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,23.0%,0.715,0.823,0.907,0.698
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,22.0%,0.655,0.608,0.780,0.481

 ======== AdaboostLassoCVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,18.0%,0.585,0.501,0.708,0.816
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,18.0%,0.584,0.440,0.664,0.624

 ======== AdaboostRidgeCV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,21.0%,0.669,0.719,0.848,0.736
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,22.0%,0.669,0.604,0.777,0.485

 ======== AdaboostRidgeCVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,17.0%,0.568,0.440,0.664,0.838
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,20.0%,0.669,0.553,0.744,0.528

 ======== BaggingRegressorLassoCV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,24.0%,0.778,0.914,0.956,0.664
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,23.0%,0.642,0.601,0.775,0.488

 ======== BaggingRegressorLassoCVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,19.0%,0.628,0.571,0.755,0.790
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,18.0%,0.545,0.394,0.628,0.664

 ======== BaggingRegressorRidgeCV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,24.0%,0.756,0.847,0.920,0.689
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,23.0%,0.644,0.569,0.754,0.515

 ======== BaggingRegressorRidgeCVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,18.0%,0.603,0.509,0.713,0.813
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,18.0%,0.570,0.388,0.623,0.669

 ======== DecisionTreeCV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,9.0%,0.302,0.112,0.335,0.959
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,16.0%,0.580,0.547,0.739,0.534

 ======== DecisionTreeCVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,6.0%,0.197,0.056,0.237,0.979
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,12.0%,0.497,0.575,0.758,0.509

 ======== ExtraTreesRegressorCV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,7.0%,0.256,0.118,0.343,0.957
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,14.0%,0.527,0.534,0.731,0.544

 ======== ExtraTreesRegressorCVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,3.0%,0.112,0.020,0.140,0.993
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,11.0%,0.447,0.537,0.733,0.542

 ======== GradientBoostingCV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,10.0%,0.364,0.216,0.465,0.920
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,14.0%,0.504,0.383,0.619,0.673

 ======== GradientBoostingCVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,3.0%,0.130,0.057,0.238,0.979
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,10.0%,0.407,0.497,0.705,0.576

 ======== NeuralNetworkCV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,54.0%,1.991,6.125,2.475,-1.251
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,51.0%,1.603,3.518,1.876,-2.001

 ======== NeuralNetworkCVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,56.0%,1.886,5.724,2.393,-1.104
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,54.0%,1.582,3.794,1.948,-2.236

 ======== XGBCV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,13.0%,0.470,0.370,0.608,0.864
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,15.0%,0.550,0.534,0.731,0.544

 ======== XGBCVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,3.0%,0.119,0.027,0.165,0.990
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,10.0%,0.419,0.476,0.690,0.594

