 ======== AdaboostLassoCV10 ========
Liquid Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2

Vapor Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,11.0%,0.420,0.260,0.509,0.852
Exp x NIST,4.0%,0.180,0.059,0.242,0.967
NIST x Model,8.0%,0.296,0.121,0.348,0.917

Supercritical Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,23.0%,0.715,0.823,0.907,0.698
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,22.0%,0.655,0.608,0.780,0.481


 ======== AdaboostLassoCVLOO ========
Liquid Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2

Vapor Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,9.0%,0.343,0.166,0.408,0.905
Exp x NIST,4.0%,0.180,0.059,0.242,0.967
NIST x Model,7.0%,0.227,0.074,0.271,0.950

Supercritical Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,18.0%,0.585,0.501,0.708,0.816
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,18.0%,0.584,0.440,0.664,0.624


 ======== AdaboostRidgeCV10 ========
Liquid Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2

Vapor Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,12.0%,0.427,0.251,0.501,0.858
Exp x NIST,4.0%,0.180,0.059,0.242,0.967
NIST x Model,9.0%,0.323,0.140,0.374,0.905

Supercritical Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,21.0%,0.669,0.719,0.848,0.736
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,22.0%,0.669,0.604,0.777,0.485


 ======== AdaboostRidgeCVLOO ========
Liquid Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2

Vapor Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,10.0%,0.358,0.175,0.419,0.900
Exp x NIST,4.0%,0.180,0.059,0.242,0.967
NIST x Model,8.0%,0.284,0.114,0.337,0.922

Supercritical Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,17.0%,0.568,0.440,0.664,0.838
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,20.0%,0.669,0.553,0.744,0.528


 ======== BaggingRegressorLassoCV10 ========
Liquid Phase - BaggingRegressorLasso
Comparison,MAPE,MAE,MSE,RMSE,R2

Vapor Phase - BaggingRegressorLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,11.0%,0.424,0.258,0.508,0.853
Exp x NIST,4.0%,0.180,0.059,0.242,0.967
NIST x Model,9.0%,0.298,0.120,0.346,0.918

Supercritical Phase - BaggingRegressorLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,24.0%,0.778,0.914,0.956,0.664
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,23.0%,0.642,0.601,0.775,0.488


 ======== BaggingRegressorLassoCVLOO ========
Liquid Phase - BaggingRegressorLasso
Comparison,MAPE,MAE,MSE,RMSE,R2

Vapor Phase - BaggingRegressorLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,10.0%,0.385,0.207,0.455,0.882
Exp x NIST,4.0%,0.180,0.059,0.242,0.967
NIST x Model,8.0%,0.262,0.093,0.306,0.936

Supercritical Phase - BaggingRegressorLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,19.0%,0.628,0.571,0.755,0.790
Exp x NIST,9.0%,0.444,0.581,0.762,0.787
NIST x Model,18.0%,0.545,0.394,0.628,0.664


 ======== BaggingRegressorRidgeCV10 ========
Liquid Phase - BaggingRegressorRidge
Comparison,MAPE,MAE,MSE,RMSE,R2

Vapor Phase - BaggingRegressorRidge
