# Temperature (K)	Pressure (MPa)	Experimental(m/s)	NIST(m/s)	Model(m/s)
1.908499999999999943e+02	4.589999999999999858e+00	2.485999999999999943e+02	2.492189999999999941e+02	4.254482291383642405e+02
1.908499999999999943e+02	4.620000000000000107e+00	2.397899999999999920e+02	2.410289999999999964e+02	4.259088288978450692e+02
1.908499999999999943e+02	4.629999999999999893e+00	2.288700000000000045e+02	2.346479999999999961e+02	4.259682913141527933e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.157700000000000102e+02	2.133870000000000005e+02	4.260277537304605175e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.050600000000000023e+02	2.133870000000000005e+02	4.261088611419804693e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.044399999999999977e+02	2.133870000000000005e+02	4.261186038837240631e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.050900000000000034e+02	2.133870000000000005e+02	4.261186038837240631e+02
1.908499999999999943e+02	4.650000000000000355e+00	2.128799999999999955e+02	2.324900000000000091e+02	4.260595673707171045e+02
1.908499999999999943e+02	4.650000000000000355e+00	2.258700000000000045e+02	2.324900000000000091e+02	4.259575080617560161e+02
1.906299999999999955e+02	4.559999999999999609e+00	2.473499999999999943e+02	2.496289999999999907e+02	4.280547577652514519e+02
1.906299999999999955e+02	4.610000000000000320e+00	2.040900000000000034e+02	2.134199999999999875e+02	4.283490333854597338e+02
1.906299999999999955e+02	4.610000000000000320e+00	1.912599999999999909e+02	2.134199999999999875e+02	4.283622932810003476e+02
1.906299999999999955e+02	4.610000000000000320e+00	1.951599999999999966e+02	2.134199999999999875e+02	4.283186601358429471e+02
1.906299999999999955e+02	4.610000000000000320e+00	1.955399999999999920e+02	2.134199999999999875e+02	4.283186601358429471e+02
1.906299999999999955e+02	4.610000000000000320e+00	2.058700000000000045e+02	2.134199999999999875e+02	4.282382099644228219e+02
1.906299999999999955e+02	4.610000000000000320e+00	2.190500000000000114e+02	2.134199999999999875e+02	4.281355639567441358e+02
1.905600000000000023e+02	4.559999999999999609e+00	2.469300000000000068e+02	2.479869999999999948e+02	4.287260882109826525e+02
1.905600000000000023e+02	4.580000000000000071e+00	2.369600000000000080e+02	2.424559999999999889e+02	4.290016437441204289e+02
1.905000000000000000e+02	4.549999999999999822e+00	2.465699999999999932e+02	2.484960000000000093e+02	4.295840896703139151e+02
1.905000000000000000e+02	4.580000000000000071e+00	2.362899999999999920e+02	2.387239999999999895e+02	4.298434477573086951e+02
1.904300000000000068e+02	4.570000000000000284e+00	2.355200000000000102e+02	2.394970000000000141e+02	4.306817867120389565e+02
1.904300000000000068e+02	4.580000000000000071e+00	2.183000000000000114e+02	2.207160000000000082e+02	4.308881813443836108e+02
1.902500000000000000e+02	4.549999999999999822e+00	2.332299999999999898e+02	2.379230000000000018e+02	4.329915694651731428e+02
1.904300000000000068e+02	4.580000000000000071e+00	2.068300000000000125e+02	2.207160000000000082e+02	4.310816089477812056e+02
1.903700000000000045e+02	4.570000000000000284e+00	2.157700000000000102e+02	2.322050000000000125e+02	4.317168742369904066e+02
1.903499999999999943e+02	4.570000000000000284e+00	2.155900000000000034e+02	2.328830000000000098e+02	4.319730208483874776e+02
1.902500000000000000e+02	4.559999999999999609e+00	2.208300000000000125e+02	2.478549999999999898e+02	4.331809475552499862e+02
1.895000000000000000e+02	4.450000000000000178e+00	2.392899999999999920e+02	2.755649999999999977e+02	4.417462567027864679e+02
1.894000000000000057e+02	4.440000000000000391e+00	2.391100000000000136e+02	2.824959999999999809e+02	4.429548487461488548e+02
1.881500000000000057e+02	4.269999999999999574e+00	2.482299999999999898e+02	3.222629999999999768e+02	4.577985486170568947e+02
1.859000000000000057e+02	3.970000000000000195e+00	2.560000000000000000e+02	2.565160000000000196e+02	4.846065755032691413e+02
1.815500000000000114e+02	3.450000000000000178e+00	2.647400000000000091e+02	2.642629999999999768e+02	5.365947998860860935e+02
1.813000000000000114e+02	3.430000000000000160e+00	2.647799999999999727e+02	4.733910000000000196e+02	5.397092548570667532e+02
1.782500000000000000e+02	3.100000000000000089e+00	2.690199999999999818e+02	5.276849999999999454e+02	5.765717116726464155e+02
1.780500000000000114e+02	3.080000000000000071e+00	2.691299999999999955e+02	5.311530000000000200e+02	5.789987810197412728e+02
1.685500000000000114e+02	2.209999999999999964e+00	2.783199999999999932e+02	6.786000000000000227e+02	6.941277833752255901e+02
1.631500000000000057e+02	1.800000000000000044e+00	2.818899999999999864e+02	2.815210000000000150e+02	7.597912936337356768e+02
1.626500000000000057e+02	1.729999999999999982e+00	2.838100000000000023e+02	2.834010000000000105e+02	7.659147517934452480e+02
1.614499999999999886e+02	1.689999999999999947e+00	2.827699999999999818e+02	7.764539999999999509e+02	7.813620317670693112e+02
1.531500000000000057e+02	1.199999999999999956e+00	2.857900000000000205e+02	8.825000000000000000e+02	8.843096661405527357e+02
1.506500000000000057e+02	1.070000000000000062e+00	2.862599999999999909e+02	2.859110000000000014e+02	9.156995461821941262e+02
1.481500000000000057e+02	9.599999999999999645e-01	2.865699999999999932e+02	9.431219999999999573e+02	9.472634441790651181e+02
1.904300000000000068e+02	4.580000000000000071e+00	2.090600000000000023e+02	2.207160000000000082e+02	4.305555936238774848e+02
1.904300000000000068e+02	4.580000000000000071e+00	2.177299999999999898e+02	2.207160000000000082e+02	4.307692273067686983e+02
1.902500000000000000e+02	4.559999999999999609e+00	2.244499999999999886e+02	2.478549999999999898e+02	4.325876220743957674e+02
1.902500000000000000e+02	4.559999999999999609e+00	2.271299999999999955e+02	2.478549999999999898e+02	4.325670535428062067e+02
1.881500000000000057e+02	4.269999999999999574e+00	3.141200000000000045e+02	3.222629999999999768e+02	4.570810181516358170e+02
1.881500000000000057e+02	4.269999999999999574e+00	3.141800000000000068e+02	3.222629999999999768e+02	4.570805927062028786e+02
1.859099999999999966e+02	3.979999999999999982e+00	3.742400000000000091e+02	3.790960000000000036e+02	4.830807927999640015e+02
1.781500000000000057e+02	3.089999999999999858e+00	5.283700000000000045e+02	5.294220000000000255e+02	5.758748325529445538e+02
1.707500000000000000e+02	2.390000000000000124e+00	6.464700000000000273e+02	2.761299999999999955e+02	6.661801409284416877e+02
1.631500000000000057e+02	1.800000000000000044e+00	7.541000000000000227e+02	2.815210000000000150e+02	7.591817391445611065e+02
1.531500000000000057e+02	1.199999999999999956e+00	8.827799999999999727e+02	8.825000000000000000e+02	8.830023001889298939e+02
1.250900000000000034e+02	2.700000000000000178e-01	1.200309999999999945e+03	2.808220000000000027e+02	1.231727559300391022e+03
1.500000000000000000e+02	4.000000000000000000e+00	9.807000000000000455e+02	9.806230000000000473e+02	9.399268420964019697e+02
1.500000000000000000e+02	3.810000000000000053e+00	9.772000000000000455e+02	9.770900000000000318e+02	9.386766841380758706e+02
1.500000000000000000e+02	3.620000000000000107e+00	9.735000000000000000e+02	9.735209999999999582e+02	9.373245518184844514e+02
1.500000000000000000e+02	3.419999999999999929e+00	9.700000000000000000e+02	9.697240000000000464e+02	9.361169480232351816e+02
1.500000000000000000e+02	3.220000000000000195e+00	9.657000000000000455e+02	9.658840000000000146e+02	9.349457254346539230e+02
1.500000000000000000e+02	3.020000000000000018e+00	9.622999999999999545e+02	9.620000000000000000e+02	9.337690352622903447e+02
1.500000000000000000e+02	2.830000000000000071e+00	9.581000000000000227e+02	9.582680000000000291e+02	9.326411423597469366e+02
1.500000000000000000e+02	2.629999999999999893e+00	9.545000000000000000e+02	9.542939999999999827e+02	9.314069020097399516e+02
1.500000000000000000e+02	2.439999999999999947e+00	9.505000000000000000e+02	9.504740000000000464e+02	9.302290373943778832e+02
1.500000000000000000e+02	2.240000000000000213e+00	9.462999999999999545e+02	9.464039999999999964e+02	9.289989308650103794e+02
1.500000000000000000e+02	2.040000000000000036e+00	9.421000000000000227e+02	9.422839999999999918e+02	9.277049403580033413e+02
1.500000000000000000e+02	1.850000000000000089e+00	9.382999999999999545e+02	9.383200000000000500e+02	9.264225691755700609e+02
1.500000000000000000e+02	1.659999999999999920e+00	9.342000000000000455e+02	9.343070000000000164e+02	9.252638320364685569e+02
1.550000000000000000e+02	4.000000000000000000e+00	9.225000000000000000e+02	9.222400000000000091e+02	8.759198606439836112e+02
1.550000000000000000e+02	3.810000000000000053e+00	9.182999999999999545e+02	9.182140000000000555e+02	8.746789550138801133e+02
1.550000000000000000e+02	3.609999999999999876e+00	9.143999999999999773e+02	9.139220000000000255e+02	8.734961605795710966e+02
1.550000000000000000e+02	3.419999999999999929e+00	9.098999999999999773e+02	9.097910000000000537e+02	8.723654967137256335e+02
1.550000000000000000e+02	3.220000000000000195e+00	9.057999999999999545e+02	9.053840000000000146e+02	8.711726046855710592e+02
1.550000000000000000e+02	3.020000000000000018e+00	9.012999999999999545e+02	9.009139999999999873e+02	8.699824191462389535e+02
1.550000000000000000e+02	2.830000000000000071e+00	8.967999999999999545e+02	8.966090000000000373e+02	8.688704153773260259e+02
1.550000000000000000e+02	2.629999999999999893e+00	8.922000000000000455e+02	8.920109999999999673e+02	8.676992034196653094e+02
1.550000000000000000e+02	2.439999999999999947e+00	8.877000000000000455e+02	8.875789999999999509e+02	8.664118839666305121e+02
1.550000000000000000e+02	2.240000000000000213e+00	8.830000000000000000e+02	8.828429999999999609e+02	8.651423535476055804e+02
1.550000000000000000e+02	2.049999999999999822e+00	8.782999999999999545e+02	8.782749999999999773e+02	8.639459178219610749e+02
1.600000000000000000e+02	4.000000000000000000e+00	8.612000000000000455e+02	8.609080000000000155e+02	8.119257386089022930e+02
1.600000000000000000e+02	3.979999999999999982e+00	8.611000000000000227e+02	8.604210000000000491e+02	8.117900777187828680e+02
1.600000000000000000e+02	3.810000000000000053e+00	8.565000000000000000e+02	8.562450000000000045e+02	8.107810761976361391e+02
1.600000000000000000e+02	3.790000000000000036e+00	8.563999999999999773e+02	8.557500000000000000e+02	8.106675677537964475e+02
1.600000000000000000e+02	3.620000000000000107e+00	8.522000000000000455e+02	8.515090000000000146e+02	8.097119514012492800e+02
1.600000000000000000e+02	3.609999999999999876e+00	8.518999999999999773e+02	8.512580000000000382e+02	8.096552217879916498e+02
1.600000000000000000e+02	3.589999999999999858e+00	8.512999999999999545e+02	8.507540000000000191e+02	8.095430892699441756e+02
1.600000000000000000e+02	3.419999999999999929e+00	8.472999999999999545e+02	8.464410000000000309e+02	8.085629969408209945e+02
1.600000000000000000e+02	3.229999999999999982e+00	8.422999999999999545e+02	8.415449999999999591e+02	8.074851226107671209e+02
1.600000000000000000e+02	3.029999999999999805e+00	8.370000000000000000e+02	8.363010000000000446e+02	8.063733563478690485e+02
1.600000000000000000e+02	2.830000000000000071e+00	8.312999999999999545e+02	8.309610000000000127e+02	8.052539553522988172e+02
1.600000000000000000e+02	2.609999999999999876e+00	8.253999999999999773e+02	8.249690000000000509e+02	8.038128525336351231e+02
1.600000000000000000e+02	2.430000000000000160e+00	8.203999999999999773e+02	8.199710000000000036e+02	8.028025458555043770e+02
1.600000000000000000e+02	2.240000000000000213e+00	8.147999999999999545e+02	8.145960000000000036e+02	8.017245004961196173e+02
1.600000000000000000e+02	2.040000000000000036e+00	8.090000000000000000e+02	8.088239999999999554e+02	8.005897159072933391e+02
1.600000000000000000e+02	1.850000000000000089e+00	8.033999999999999773e+02	8.032250000000000227e+02	7.995164660948162236e+02
1.600000000000000000e+02	1.739999999999999991e+00	7.997999999999999545e+02	7.999299999999999500e+02	7.988710572693935319e+02
1.600000000000000000e+02	1.659999999999999920e+00	7.972999999999999545e+02	7.975080000000000382e+02	7.984074367883572450e+02
1.500000000000000000e+02	1.459999999999999964e+00	9.300000000000000000e+02	9.300270000000000437e+02	9.239117212609598937e+02
1.500000000000000000e+02	1.260000000000000009e+00	9.257999999999999545e+02	9.256889999999999645e+02	9.226915977124315305e+02
1.500000000000000000e+02	1.070000000000000062e+00	9.215000000000000000e+02	9.215119999999999436e+02	9.215334496261764343e+02
1.550000000000000000e+02	1.850000000000000089e+00	8.733999999999999773e+02	8.733890000000000100e+02	8.628282083350227367e+02
1.550000000000000000e+02	1.659999999999999920e+00	8.685000000000000000e+02	8.686730000000000018e+02	8.617021658004468918e+02
1.550000000000000000e+02	1.459999999999999964e+00	8.637000000000000455e+02	8.636250000000000000e+02	8.605158767936454751e+02
1.550000000000000000e+02	1.260000000000000009e+00	8.585000000000000000e+02	2.864470000000000027e+02	8.593192235850747238e+02
1.630000000000000000e+02	4.000000000000000000e+00	8.232999999999999545e+02	8.223269999999999982e+02	7.740725448028836126e+02
1.630000000000000000e+02	3.810000000000000053e+00	8.180000000000000000e+02	8.171810000000000400e+02	7.729729304990862602e+02
1.630000000000000000e+02	3.609999999999999876e+00	8.127000000000000455e+02	8.116630000000000109e+02	7.718259105557517614e+02
1.630000000000000000e+02	3.419999999999999929e+00	8.072999999999999545e+02	8.063189999999999600e+02	7.707074616401887397e+02
1.630000000000000000e+02	3.220000000000000195e+00	8.015000000000000000e+02	8.005819999999999936e+02	7.690871624730825715e+02
1.630000000000000000e+02	3.020000000000000018e+00	7.955000000000000000e+02	7.947229999999999563e+02	7.678773758059135162e+02
1.630000000000000000e+02	2.830000000000000071e+00	7.896000000000000227e+02	7.890389999999999873e+02	7.668211691422241074e+02
1.630000000000000000e+02	7.629999999999999893e+00	7.837000000000000455e+02	9.069560000000000173e+02	7.958068205410547762e+02
1.630000000000000000e+02	2.439999999999999947e+00	7.772999999999999545e+02	7.769829999999999472e+02	7.647277237151947702e+02
1.630000000000000000e+02	7.240000000000000213e+00	7.712000000000000455e+02	8.988590000000000373e+02	7.934942292928635652e+02
1.630000000000000000e+02	2.049999999999999822e+00	7.647000000000000455e+02	7.643479999999999563e+02	7.626093399733408660e+02
1.630000000000000000e+02	1.850000000000000089e+00	7.578999999999999773e+02	7.576200000000000045e+02	7.614519251546589658e+02
1.630000000000000000e+02	1.790000000000000036e+00	7.557000000000000455e+02	2.815849999999999795e+02	7.610949760787257219e+02
