# Temperature (K)	Pressure (MPa)	Experimental(m/s)	NIST(m/s)	Model(m/s)
1.908499999999999943e+02	4.589999999999999858e+00	2.485999999999999943e+02	2.492189999999999941e+02	4.314479681752274587e+02
1.908499999999999943e+02	4.620000000000000107e+00	2.397899999999999920e+02	2.410289999999999964e+02	4.316913664479650947e+02
1.908499999999999943e+02	4.629999999999999893e+00	2.288700000000000045e+02	2.346479999999999961e+02	4.318310478469062446e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.157700000000000102e+02	2.133870000000000005e+02	4.319867097078874281e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.050600000000000023e+02	2.133870000000000005e+02	4.320652570797248586e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.044399999999999977e+02	2.133870000000000005e+02	4.320698041731469061e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.050900000000000034e+02	2.133870000000000005e+02	4.320650370590741431e+02
1.908499999999999943e+02	4.650000000000000355e+00	2.128799999999999955e+02	2.324900000000000091e+02	4.320674855814273201e+02
1.908499999999999943e+02	4.650000000000000355e+00	2.258700000000000045e+02	2.324900000000000091e+02	4.319722212316503942e+02
1.906299999999999955e+02	4.559999999999999609e+00	2.473499999999999943e+02	2.496289999999999907e+02	4.340658217600735043e+02
1.906299999999999955e+02	4.610000000000000320e+00	2.040900000000000034e+02	2.134199999999999875e+02	4.346783691303044748e+02
1.906299999999999955e+02	4.610000000000000320e+00	1.912599999999999909e+02	2.134199999999999875e+02	4.347716749420953306e+02
1.906299999999999955e+02	4.610000000000000320e+00	1.951599999999999966e+02	2.134199999999999875e+02	4.347433123025020905e+02
1.906299999999999955e+02	4.610000000000000320e+00	1.955399999999999920e+02	2.134199999999999875e+02	4.347405487632627796e+02
1.906299999999999955e+02	4.610000000000000320e+00	2.058700000000000045e+02	2.134199999999999875e+02	4.346654241306969766e+02
1.906299999999999955e+02	4.610000000000000320e+00	2.190500000000000114e+02	2.134199999999999875e+02	4.345695729538142018e+02
1.905600000000000023e+02	4.559999999999999609e+00	2.469300000000000068e+02	2.479869999999999948e+02	4.349557321335159372e+02
1.905600000000000023e+02	4.580000000000000071e+00	2.369600000000000080e+02	2.424559999999999889e+02	4.351472243941298075e+02
1.905000000000000000e+02	4.549999999999999822e+00	2.465699999999999932e+02	2.484960000000000093e+02	4.356588927971648104e+02
1.905000000000000000e+02	4.580000000000000071e+00	2.362899999999999920e+02	2.387239999999999895e+02	4.359120416028399632e+02
1.904300000000000068e+02	4.570000000000000284e+00	2.355200000000000102e+02	2.394970000000000141e+02	4.367446113339524345e+02
1.904300000000000068e+02	4.580000000000000071e+00	2.183000000000000114e+02	2.207160000000000082e+02	4.369284675695660667e+02
1.902500000000000000e+02	4.549999999999999822e+00	2.332299999999999898e+02	2.379230000000000018e+02	4.389215265896399956e+02
1.904300000000000068e+02	4.580000000000000071e+00	2.068300000000000125e+02	2.207160000000000082e+02	4.370112464209219638e+02
1.903700000000000045e+02	4.570000000000000284e+00	2.157700000000000102e+02	2.322050000000000125e+02	4.376467238624611014e+02
1.903499999999999943e+02	4.570000000000000284e+00	2.155900000000000034e+02	2.328830000000000098e+02	4.379012048201399239e+02
1.902500000000000000e+02	4.559999999999999609e+00	2.208300000000000125e+02	2.478549999999999898e+02	4.390699738907860592e+02
1.895000000000000000e+02	4.450000000000000178e+00	2.392899999999999920e+02	2.755649999999999977e+02	4.477800246618280653e+02
1.894000000000000057e+02	4.440000000000000391e+00	2.391100000000000136e+02	2.824959999999999809e+02	4.489878556237384828e+02
1.881500000000000057e+02	4.269999999999999574e+00	2.482299999999999898e+02	3.222629999999999768e+02	4.637380970586673357e+02
1.859000000000000057e+02	3.970000000000000195e+00	2.560000000000000000e+02	2.565160000000000196e+02	4.903750420562716386e+02
1.815500000000000114e+02	3.450000000000000178e+00	2.647400000000000091e+02	2.642629999999999768e+02	5.422364758741180140e+02
1.813000000000000114e+02	3.430000000000000160e+00	2.647799999999999727e+02	4.733910000000000196e+02	5.452770143085756445e+02
1.782500000000000000e+02	3.100000000000000089e+00	2.690199999999999818e+02	5.276849999999999454e+02	5.818339704842375113e+02
1.780500000000000114e+02	3.080000000000000071e+00	2.691299999999999955e+02	5.311530000000000200e+02	5.842412561912893807e+02
1.685500000000000114e+02	2.209999999999999964e+00	2.783199999999999932e+02	6.786000000000000227e+02	6.990386544585740012e+02
1.631500000000000057e+02	1.800000000000000044e+00	2.818899999999999864e+02	2.815210000000000150e+02	7.648505222090076359e+02
1.626500000000000057e+02	1.729999999999999982e+00	2.838100000000000023e+02	2.834010000000000105e+02	7.707539971582498310e+02
1.614499999999999886e+02	1.689999999999999947e+00	2.827699999999999818e+02	7.764539999999999509e+02	7.857000769222971712e+02
1.531500000000000057e+02	1.199999999999999956e+00	2.857900000000000205e+02	8.825000000000000000e+02	8.879601849392354325e+02
1.506500000000000057e+02	1.070000000000000062e+00	2.862599999999999909e+02	2.859110000000000014e+02	9.189438076211474709e+02
1.481500000000000057e+02	9.599999999999999645e-01	2.865699999999999932e+02	9.431219999999999573e+02	9.500907508114463553e+02
1.904300000000000068e+02	4.580000000000000071e+00	2.090600000000000023e+02	2.207160000000000082e+02	4.369951525378754127e+02
1.904300000000000068e+02	4.580000000000000071e+00	2.177299999999999898e+02	2.207160000000000082e+02	4.369325812526760160e+02
1.902500000000000000e+02	4.559999999999999609e+00	2.244499999999999886e+02	2.478549999999999898e+02	4.390440289562396856e+02
1.902500000000000000e+02	4.559999999999999609e+00	2.271299999999999955e+02	2.478549999999999898e+02	4.390248211041471222e+02
1.881500000000000057e+02	4.269999999999999574e+00	3.141200000000000045e+02	3.222629999999999768e+02	4.633026639547315995e+02
1.881500000000000057e+02	4.269999999999999574e+00	3.141800000000000068e+02	3.222629999999999768e+02	4.633022674456055938e+02
1.859099999999999966e+02	3.979999999999999982e+00	3.742400000000000091e+02	3.790960000000000036e+02	4.895920855519698875e+02
1.781500000000000057e+02	3.089999999999999858e+00	5.283700000000000045e+02	5.294220000000000255e+02	5.818770718276219895e+02
