 ======== AdaboostLassoCV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,42.0%,180.846,47072.739,216.963,-0.081
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,56.0%,184.829,45266.009,212.758,-1.401

 ======== AdaboostLassoCVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,37.0%,154.490,34369.909,185.391,0.210
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,57.0%,186.482,46788.948,216.308,-1.482

 ======== AdaboostRidgeCV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,42.0%,180.855,47020.025,216.841,-0.080
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,56.0%,185.134,45378.959,213.023,-1.407

 ======== AdaboostRidgeCVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,37.0%,154.643,34443.650,185.590,0.209
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,57.0%,186.442,46773.713,216.272,-1.481

 ======== BaggingRegressorLassoCV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,43.0%,188.317,50631.024,225.013,-0.163
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,53.0%,178.724,42575.563,206.338,-1.258

 ======== BaggingRegressorLassoCVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,36.0%,155.172,34529.152,185.820,0.207
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,53.0%,174.402,41397.525,203.464,-1.196

 ======== BaggingRegressorRidgeCV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,43.0%,188.243,50595.028,224.933,-0.162
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,53.0%,178.765,42615.866,206.436,-1.261

 ======== BaggingRegressorRidgeCVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,36.0%,155.162,34527.904,185.817,0.207
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,53.0%,174.455,41442.147,203.573,-1.198

 ======== DecisionTreeCV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,25.0%,122.548,46836.722,216.418,-0.076
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,36.0%,115.575,44220.492,210.287,-1.346

 ======== DecisionTreeCVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,11.0%,50.965,23589.094,153.587,0.458
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,50.0%,154.992,66958.225,258.763,-2.552

 ======== ExtraTreesRegressorCV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,29.0%,137.160,47900.579,218.862,-0.101
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,39.0%,127.815,41326.361,203.289,-1.192

 ======== ExtraTreesRegressorCVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,17.0%,72.088,19882.530,141.005,0.543
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,50.0%,155.336,55741.237,236.096,-1.957

 ======== GradientBoostingCV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,26.0%,131.632,56130.553,236.919,-0.290
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,33.0%,107.677,41905.553,204.708,-1.223

 ======== GradientBoostingCVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,14.0%,63.656,20933.526,144.684,0.519
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,47.0%,147.630,55377.406,235.324,-1.938

 ======== HistGradientBoosting ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,26.0%,124.940,42986.806,207.333,0.012
Exp x Model,15.0%,62.702,17621.918,132.748,0.595
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,39.0%,124.981,41401.917,203.475,-1.196
NIST x Model,52.0%,160.189,60515.659,245.999,-2.210

 ======== LGBM_CV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,25.0%,122.853,42903.123,207.131,0.014
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,39.0%,126.152,42376.236,205.855,-1.248

 ======== LGBM_CVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,16.0%,66.096,17211.954,131.194,0.605
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,51.0%,156.993,57419.107,239.623,-2.046

 ======== NeuralNetworkCV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,61.0%,287.583,116072.537,340.694,-1.667
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,46.0%,169.500,54515.876,233.486,-1.892

 ======== NeuralNetworkCVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,35.0%,152.145,36079.079,189.945,0.171
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,51.0%,162.526,39815.507,199.538,-1.112

 ======== RandomForestCV10 ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,25.0%,122.462,47130.647,217.096,-0.083
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,39.0%,124.477,46349.659,215.290,-1.459

 ======== RandomForestCVLOO ========
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,13.0%,58.005,19071.689,138.100,0.562
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,50.0%,153.574,59894.491,244.734,-2.177

