# Temperature (K)	Pressure (MPa)	Experimental(uPas)	NIST(uPas)	Model(uPas)
2.929599999999999795e+02	3.400000000000000244e-01	1.092600000000000016e+01	1.093950000000000067e+01	1.175768870289460999e+01
2.970799999999999841e+02	3.400000000000000244e-01	1.106199999999999939e+01	1.107300000000000040e+01	1.180297764732674182e+01
3.238600000000000136e+02	3.400000000000000244e-01	1.191399999999999970e+01	1.192430000000000057e+01	1.209735578613559426e+01
3.505500000000000114e+02	3.400000000000000244e-01	1.273499999999999943e+01	1.274559999999999960e+01	1.239074460334277461e+01
3.781499999999999773e+02	3.400000000000000244e-01	1.356199999999999939e+01	1.356850000000000023e+01	1.269413656118909017e+01
4.058799999999999955e+02	3.400000000000000244e-01	1.436500000000000021e+01	1.437010000000000076e+01	1.299895753912671204e+01
4.338299999999999841e+02	3.400000000000000244e-01	1.514899999999999913e+01	1.515450000000000053e+01	1.330619685875731051e+01
4.618500000000000227e+02	3.400000000000000244e-01	1.591200000000000081e+01	1.591869999999999941e+01	1.361420565074476841e+01
4.901299999999999955e+02	3.400000000000000244e-01	1.666300000000000026e+01	1.666929999999999978e+01	1.392507248291483180e+01
5.188300000000000409e+02	3.400000000000000244e-01	1.739799999999999969e+01	1.741130000000000067e+01	1.424055614922603930e+01
5.426000000000000227e+02	3.400000000000000244e-01	1.799599999999999866e+01	1.801180000000000092e+01	1.450184697669005729e+01
5.653799999999999955e+02	3.400000000000000244e-01	1.856400000000000006e+01	1.857620000000000005e+01	1.475225526653567698e+01
5.940800000000000409e+02	3.400000000000000244e-01	1.926099999999999923e+01	1.927260000000000062e+01	1.506773893284688270e+01
6.233300000000000409e+02	3.400000000000000244e-01	1.995299999999999940e+01	1.996679999999999922e+01	1.538926845339053351e+01
2.919300000000000068e+02	3.400000000000000244e-01	1.089100000000000001e+01	1.090600000000000058e+01	1.174636646678657748e+01
2.964300000000000068e+02	3.400000000000000244e-01	1.102899999999999991e+01	1.105199999999999960e+01	1.179583254687021565e+01
2.890500000000000114e+02	3.400000000000000244e-01	1.081300000000000061e+01	1.081209999999999916e+01	1.171470817553304755e+01
2.965699999999999932e+02	3.400000000000000244e-01	1.104800000000000004e+01	1.105649999999999977e+01	1.179737149158392917e+01
3.234300000000000068e+02	3.400000000000000244e-01	1.188599999999999923e+01	1.191080000000000005e+01	1.209262902737204648e+01
3.506399999999999864e+02	3.400000000000000244e-01	1.272499999999999964e+01	1.274830000000000041e+01	1.239173392494444670e+01
3.782500000000000000e+02	3.400000000000000244e-01	1.355199999999999960e+01	1.357140000000000057e+01	1.269523580741317303e+01
4.060299999999999727e+02	3.400000000000000244e-01	1.435999999999999943e+01	1.437439999999999962e+01	1.300060640846283277e+01
4.340199999999999818e+02	3.400000000000000244e-01	1.514100000000000001e+01	1.515970000000000084e+01	1.330828542658306546e+01
4.617500000000000000e+02	3.400000000000000244e-01	1.590099999999999980e+01	1.591600000000000037e+01	1.361310640452068554e+01
4.901499999999999773e+02	3.400000000000000244e-01	1.664900000000000091e+01	1.666979999999999862e+01	1.392529233215964979e+01
5.187999999999999545e+02	3.400000000000000244e-01	1.740299999999999869e+01	1.741049999999999898e+01	1.424022637535881408e+01
5.423600000000000136e+02	3.400000000000000244e-01	1.798100000000000165e+01	1.800580000000000069e+01	1.449920878575226446e+01
