# Temperature (K)	Pressure (MPa)	Experimental(uPas)	NIST(uPas)	Model(uPas)
2.929599999999999795e+02	3.400000000000000244e-01	1.092600000000000016e+01	1.093950000000000067e+01	1.291393988470308329e+01
2.970799999999999841e+02	3.400000000000000244e-01	1.106199999999999939e+01	1.107300000000000040e+01	1.287555392117919695e+01
3.238600000000000136e+02	3.400000000000000244e-01	1.191399999999999970e+01	1.192430000000000057e+01	1.262604515827393747e+01
3.505500000000000114e+02	3.400000000000000244e-01	1.273499999999999943e+01	1.274559999999999960e+01	1.237737492369807768e+01
3.781499999999999773e+02	3.400000000000000244e-01	1.356199999999999939e+01	1.356850000000000023e+01	1.212022623601379756e+01
4.058799999999999955e+02	3.400000000000000244e-01	1.436500000000000021e+01	1.437010000000000076e+01	1.186186634074259416e+01
4.338299999999999841e+02	3.400000000000000244e-01	1.514899999999999913e+01	1.515450000000000053e+01	1.160145670955506780e+01
4.618500000000000227e+02	3.400000000000000244e-01	1.591200000000000081e+01	1.591869999999999941e+01	1.134039488966689113e+01
4.901299999999999955e+02	3.400000000000000244e-01	1.666300000000000026e+01	1.666929999999999978e+01	1.107691065460487145e+01
5.188300000000000409e+02	3.400000000000000244e-01	1.739799999999999969e+01	1.741130000000000067e+01	1.080951328733896588e+01
5.426000000000000227e+02	3.400000000000000244e-01	1.799599999999999866e+01	1.801180000000000092e+01	1.058804863856159351e+01
5.653799999999999955e+02	3.400000000000000244e-01	1.856400000000000006e+01	1.857620000000000005e+01	1.037580780140768155e+01
5.940800000000000409e+02	3.400000000000000244e-01	1.926099999999999923e+01	1.927260000000000062e+01	1.010841043414177243e+01
6.233300000000000409e+02	3.400000000000000244e-01	1.995299999999999940e+01	1.996679999999999922e+01	9.835888727085061234e+00
2.919300000000000068e+02	3.400000000000000244e-01	1.089100000000000001e+01	1.090600000000000058e+01	1.292353637558405666e+01
2.964300000000000068e+02	3.400000000000000244e-01	1.102899999999999991e+01	1.105199999999999960e+01	1.288160995911378848e+01
2.890500000000000114e+02	3.400000000000000244e-01	1.081300000000000061e+01	1.081209999999999916e+01	1.295036928212503113e+01
2.965699999999999932e+02	3.400000000000000244e-01	1.104800000000000004e+01	1.105649999999999977e+01	1.288030558171249673e+01
3.234300000000000068e+02	3.400000000000000244e-01	1.188599999999999923e+01	1.191080000000000005e+01	1.263005146029220249e+01
3.506399999999999864e+02	3.400000000000000244e-01	1.272499999999999964e+01	1.274830000000000041e+01	1.237653639536868688e+01
3.782500000000000000e+02	3.400000000000000244e-01	1.355199999999999960e+01	1.357140000000000057e+01	1.211929453787001343e+01
4.060299999999999727e+02	3.400000000000000244e-01	1.435999999999999943e+01	1.437439999999999962e+01	1.186046879352691619e+01
4.340199999999999818e+02	3.400000000000000244e-01	1.514100000000000001e+01	1.515970000000000084e+01	1.159968648308188399e+01
4.617500000000000000e+02	3.400000000000000244e-01	1.590099999999999980e+01	1.591600000000000037e+01	1.134132658781067171e+01
4.901499999999999773e+02	3.400000000000000244e-01	1.664900000000000091e+01	1.666979999999999862e+01	1.107672431497611854e+01
5.187999999999999545e+02	3.400000000000000244e-01	1.740299999999999869e+01	1.741049999999999898e+01	1.080979279678210148e+01
5.423600000000000136e+02	3.400000000000000244e-01	1.798100000000000165e+01	1.800580000000000069e+01	1.059028471410666938e+01
5.651000000000000227e+02	3.400000000000000244e-01	1.854400000000000048e+01	1.856929999999999836e+01	1.037841655621026860e+01
5.938400000000000318e+02	3.400000000000000244e-01	1.923900000000000077e+01	1.926689999999999969e+01	1.011064650968685719e+01
6.230499999999999545e+02	3.400000000000000244e-01	1.993400000000000105e+01	1.996020000000000039e+01	9.838497481887650054e+00
2.904100000000000250e+02	3.400000000000000244e-01	1.083300000000000018e+01	1.085650000000000048e+01	1.293769818736957156e+01
2.107599999999999909e+02	0.000000000000000000e+00	8.080000000000000071e+00	8.075350000000000250e+00	1.360926068249883159e+01
2.258100000000000023e+02	0.000000000000000000e+00	8.621999999999999886e+00	8.613369999999999749e+00	1.357909307973226909e+01
2.482500000000000000e+02	0.000000000000000000e+00	9.407999999999999474e+00	9.397270000000000678e+00	1.353411228198596739e+01
2.731600000000000250e+02	0.000000000000000000e+00	1.025399999999999956e+01	1.024189999999999934e+01	1.348418038930057783e+01
2.981399999999999864e+02	0.000000000000000000e+00	1.107499999999999929e+01	1.106259999999999977e+01	1.343410818218372071e+01
2.981499999999999773e+02	0.000000000000000000e+00	1.107300000000000040e+01	1.106290000000000084e+01	1.343408813726493989e+01
2.981499999999999773e+02	0.000000000000000000e+00	1.107499999999999929e+01	1.106290000000000084e+01	1.343408813726493989e+01
3.132200000000000273e+02	0.000000000000000000e+00	1.155700000000000038e+01	1.154579999999999984e+01	1.340388044466081041e+01
3.315500000000000114e+02	0.000000000000000000e+00	1.213199999999999967e+01	1.212139999999999951e+01	1.336713810853382434e+01
3.525699999999999932e+02	0.000000000000000000e+00	1.277500000000000036e+01	1.276600000000000001e+01	1.332500368925454559e+01
3.711899999999999977e+02	0.000000000000000000e+00	1.332900000000000063e+01	1.332399999999999984e+01	1.328768005048288181e+01
3.915400000000000205e+02	0.000000000000000000e+00	1.392300000000000004e+01	1.392050000000000054e+01	1.324688864076198591e+01
3.915500000000000114e+02	0.000000000000000000e+00	1.392300000000000004e+01	1.392079999999999984e+01	1.324686859584320864e+01
2.107599999999999909e+02	1.000000000000000056e-01	8.067000000000000171e+00	8.088309999999999889e+00	1.359247846109944469e+01
2.258100000000000023e+02	1.000000000000000056e-01	8.608999999999999986e+00	8.626689999999999969e+00	1.356231085833288219e+01
2.482500000000000000e+02	1.000000000000000056e-01	9.394999999999999574e+00	9.410709999999999908e+00	1.351733006058658049e+01
2.731600000000000250e+02	1.000000000000000056e-01	1.024200000000000088e+01	1.025510000000000055e+01	1.346739816790119271e+01
2.981399999999999864e+02	1.000000000000000056e-01	1.106400000000000006e+01	1.107549999999999990e+01	1.341732596078433204e+01
2.981499999999999773e+02	1.000000000000000056e-01	1.106099999999999994e+01	1.107579999999999920e+01	1.341730591586554944e+01
