# Temperature (K)	Pressure (MPa)	Experimental(uPas)	NIST(uPas)	Model(uPas)
2.929599999999999795e+02	3.400000000000000244e-01	1.092600000000000016e+01	1.093950000000000067e+01	1.301917698865226569e+01
2.970799999999999841e+02	3.400000000000000244e-01	1.106199999999999939e+01	1.107300000000000040e+01	1.298067548260334192e+01
3.238600000000000136e+02	3.400000000000000244e-01	1.191399999999999970e+01	1.192430000000000057e+01	1.273041569328535871e+01
3.505500000000000114e+02	3.400000000000000244e-01	1.273499999999999943e+01	1.274559999999999960e+01	1.248099695628397221e+01
3.781499999999999773e+02	3.400000000000000244e-01	1.356199999999999939e+01	1.356850000000000023e+01	1.222307424585915392e+01
4.058799999999999955e+02	3.400000000000000244e-01	1.436500000000000021e+01	1.437010000000000076e+01	1.196393668208813388e+01
4.338299999999999841e+02	3.400000000000000244e-01	1.514899999999999913e+01	1.515450000000000053e+01	1.170274321265431183e+01
4.618500000000000227e+02	3.400000000000000244e-01	1.591200000000000081e+01	1.591869999999999941e+01	1.144089559141869117e+01
4.901299999999999955e+02	3.400000000000000244e-01	1.666300000000000026e+01	1.666929999999999978e+01	1.117661826349066168e+01
5.188300000000000409e+02	3.400000000000000244e-01	1.739799999999999969e+01	1.741130000000000067e+01	1.090841602475181382e+01
5.426000000000000227e+02	3.400000000000000244e-01	1.799599999999999866e+01	1.801180000000000092e+01	1.068628476291131868e+01
5.653799999999999955e+02	3.400000000000000244e-01	1.856400000000000006e+01	1.857620000000000005e+01	1.047340507655344233e+01
5.940800000000000409e+02	3.400000000000000244e-01	1.926099999999999923e+01	1.927260000000000062e+01	1.020520283781460691e+01
6.233300000000000409e+02	3.400000000000000244e-01	1.995299999999999940e+01	1.996679999999999922e+01	9.931860834918740721e+00
2.919300000000000068e+02	3.400000000000000244e-01	1.089100000000000001e+01	1.090600000000000058e+01	1.302880236516449308e+01
2.964300000000000068e+02	3.400000000000000244e-01	1.102899999999999991e+01	1.105199999999999960e+01	1.298674974933436665e+01
2.890500000000000114e+02	3.400000000000000244e-01	1.081300000000000061e+01	1.081209999999999916e+01	1.305571603929577762e+01
2.965699999999999932e+02	3.400000000000000244e-01	1.104800000000000004e+01	1.105649999999999977e+01	1.298544144573076053e+01
