# Temperature (K)	Pressure (MPa)	Experimental(uPas)	NIST(uPas)	Model(uPas)
2.600000000000000000e+02	4.750000000000000000e+00	1.089600000000000080e+01	1.089070000000000071e+01	1.128244000000000291e+01
2.600000000000000000e+02	5.000000000000000000e+00	1.098799999999999955e+01	1.098070000000000057e+01	1.137542000000000186e+01
2.600000000000000000e+02	5.500000000000000000e+00	1.118200000000000038e+01	1.117329999999999934e+01	1.162750000000000306e+01
2.600000000000000000e+02	6.000000000000000000e+00	1.139400000000000013e+01	1.138330000000000020e+01	1.166970000000000240e+01
2.600000000000000000e+02	6.500000000000000000e+00	1.162299999999999933e+01	1.161180000000000057e+01	1.195208000000000048e+01
2.600000000000000000e+02	7.000000000000000000e+00	1.187100000000000044e+01	1.185989999999999966e+01	1.202515999999999785e+01
2.600000000000000000e+02	7.500000000000000000e+00	1.214100000000000001e+01	1.212829999999999941e+01	1.253499999999999304e+01
2.600000000000000000e+02	7.990000000000000213e+00	1.242800000000000082e+01	1.241189999999999927e+01	1.282591999999999821e+01
2.600000000000000000e+02	8.480000000000000426e+00	1.272600000000000087e+01	1.271630000000000038e+01	1.304919999999999547e+01
2.600000000000000000e+02	9.009999999999999787e+00	1.307199999999999918e+01	1.306930000000000014e+01	1.330803999999999832e+01
2.600000000000000000e+02	9.460000000000000853e+00	1.338899999999999935e+01	1.338819999999999943e+01	1.342004000000000552e+01
2.600000000000000000e+02	9.990000000000000213e+00	1.379100000000000037e+01	1.378589999999999982e+01	1.385530999999999224e+01
2.600000000000000000e+02	1.050000000000000000e+01	1.418500000000000050e+01	1.419030000000000058e+01	1.439303999999999917e+01
2.600000000000000000e+02	1.100999999999999979e+01	1.459699999999999953e+01	1.461430000000000007e+01	1.479792000000000307e+01
2.600000000000000000e+02	1.148000000000000043e+01	1.500399999999999956e+01	1.502089999999999925e+01	1.512077428571429216e+01
2.600000000000000000e+02	1.200999999999999979e+01	1.548199999999999932e+01	1.549510000000000076e+01	1.586955999999999634e+01
2.600000000000000000e+02	1.248000000000000043e+01	1.590300000000000047e+01	1.592719999999999914e+01	1.589229999999999521e+01
2.600000000000000000e+02	1.301999999999999957e+01	1.639600000000000080e+01	1.643430000000000035e+01	1.588076000000000931e+01
2.600000000000000000e+02	1.350000000000000000e+01	1.684600000000000009e+01	1.689179999999999993e+01	1.610125999999999635e+01
2.600000000000000000e+02	1.399000000000000021e+01	1.732600000000000051e+01	1.736289999999999978e+01	1.707673500000000288e+01
2.600000000000000000e+02	1.450000000000000000e+01	1.780000000000000071e+01	1.785529999999999973e+01	1.768669500000000028e+01
2.600000000000000000e+02	1.500999999999999979e+01	1.829200000000000159e+01	1.834740000000000038e+01	1.778864000000000090e+01
2.600000000000000000e+02	1.552999999999999936e+01	1.878600000000000136e+01	1.884690000000000154e+01	1.815880000000000294e+01
2.600000000000000000e+02	1.601000000000000156e+01	1.923999999999999844e+01	1.930450000000000088e+01	1.807476000000000482e+01
2.600000000000000000e+02	1.653999999999999915e+01	1.973499999999999943e+01	1.980460000000000065e+01	1.860809999999999320e+01
2.600000000000000000e+02	1.701999999999999957e+01	2.019200000000000017e+01	2.025199999999999889e+01	1.944379999999999242e+01
