Directory: AdaboostLassoCV10
Liquid Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,43.0%,29.449,1721.404,41.490,0.585
Exp x NIST,29.0%,21.334,2050.595,45.284,0.506
NIST x Model,22.0%,19.503,686.788,26.207,0.767

Vapor Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,10.0%,1.912,83.853,9.157,-0.092
Exp x NIST,2.0%,0.870,78.004,8.832,-0.016
NIST x Model,9.0%,1.153,8.034,2.834,0.172

Supercritical Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,36.0%,7.148,142.028,11.918,0.166
Exp x NIST,15.0%,2.229,79.406,8.911,0.534
NIST x Model,24.0%,5.501,66.568,8.159,0.682


Directory: AdaboostLassoCVLOO
Liquid Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,38.0%,25.697,1303.809,36.108,0.686
Exp x NIST,29.0%,21.334,2050.595,45.284,0.506
NIST x Model,21.0%,19.289,701.219,26.481,0.762

Vapor Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,10.0%,1.758,77.686,8.814,-0.011
Exp x NIST,2.0%,0.870,78.004,8.832,-0.016
NIST x Model,10.0%,1.164,7.347,2.711,0.243

Supercritical Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,33.0%,6.268,87.376,9.347,0.487
Exp x NIST,15.0%,2.229,79.406,8.911,0.534
NIST x Model,28.0%,6.215,82.435,9.079,0.606


Directory: AdaboostRidgeCV10
Liquid Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,43.0%,29.417,1719.991,41.473,0.585
Exp x NIST,29.0%,21.334,2050.595,45.284,0.506
NIST x Model,21.0%,19.499,688.089,26.231,0.766

Vapor Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,10.0%,1.920,84.556,9.195,-0.101
Exp x NIST,2.0%,0.870,78.004,8.832,-0.016
NIST x Model,8.0%,1.143,8.155,2.856,0.160

Supercritical Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,36.0%,7.163,142.592,11.941,0.163
Exp x NIST,15.0%,2.229,79.406,8.911,0.534
NIST x Model,24.0%,5.515,66.813,8.174,0.681


Directory: AdaboostRidgeCVLOO
Liquid Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,38.0%,25.684,1303.555,36.105,0.686
Exp x NIST,29.0%,21.334,2050.595,45.284,0.506
NIST x Model,21.0%,19.296,703.132,26.517,0.761

Vapor Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,10.0%,1.755,77.308,8.792,-0.006
Exp x NIST,2.0%,0.870,78.004,8.832,-0.016
NIST x Model,10.0%,1.174,7.479,2.735,0.230

Supercritical Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,33.0%,6.318,89.120,9.440,0.477
