# Temperature (K)	Pressure (MPa)	Experimental(m3/kg)	NIST(m3/kg)	Model(m3/kg)
2.528329999999999984e+02	4.589699999999999669e+00	2.352697824479139943e-02	2.444059999999999983e-02	9.841763473577614524e-03
2.033990000000000009e+02	4.855900000000000105e+00	2.453817438141960017e-02	1.330970000000000070e-02	7.164438606518780915e-03
2.733799999999999955e+02	5.105800000000000338e+00	2.447363572696580059e-02	2.446169999999999942e-02	1.085443986670126676e-02
2.085740000000000123e+02	6.027000000000000135e+00	9.648704561066100832e-03	9.682480000000000253e-03	7.292202305002946743e-03
2.232340000000000089e+02	7.234600000000000364e+00	9.655129957856100134e-03	9.669540000000000773e-03	7.888495812421044209e-03
2.344399999999999977e+02	8.143299999999999983e+00	9.659917205236000573e-03	9.668740000000000320e-03	8.370964448227489682e-03
2.437330000000000041e+02	8.891299999999999315e+00	9.664559380367199193e-03	9.667989999999999570e-03	8.760333253878061291e-03
2.437729999999999961e+02	8.893900000000000361e+00	9.664559380367199193e-03	9.668909999999999311e-03	8.762102612748241814e-03
2.513760000000000048e+02	9.501799999999999358e+00	9.668306321181199467e-03	9.669409999999999811e-03	9.087647071426223355e-03
2.621899999999999977e+02	1.035050000000000026e+01	9.672956564710599378e-03	9.683419999999999875e-03	9.543608474435990793e-03
2.721549999999999727e+02	1.114780000000000015e+01	9.677611283723099728e-03	9.673460000000000045e-03	9.963593951874245847e-03
2.721850000000000023e+02	1.114939999999999998e+01	9.677611283723099728e-03	9.674260000000000498e-03	9.964979533153874025e-03
1.910320000000000107e+02	4.614499999999999602e+00	8.618092043360300533e-03	8.485799999999999940e-03	6.568524371329524485e-03
1.933249999999999886e+02	4.833599999999999675e+00	8.621071360538799452e-03	8.702980000000000785e-03	6.643098424796950278e-03
1.977369999999999948e+02	5.272199999999999775e+00	8.622502164592900711e-03	8.674730000000000288e-03	6.817683935097851311e-03
2.027529999999999859e+02	5.762699999999999712e+00	8.624768575897100512e-03	8.657579999999999790e-03	7.030322798268431699e-03
2.032239999999999895e+02	6.290899999999999714e+00	8.627036178960000717e-03	6.701050000000000062e-03	6.974421951105097203e-03
2.121649999999999920e+02	6.668899999999999828e+00	8.628468963776699321e-03	8.642459999999999379e-03	7.384418606145604427e-03
2.171359999999999957e+02	7.142100000000000115e+00	8.630738513306899368e-03	8.640099999999999517e-03	7.581069611021739457e-03
2.229259999999999877e+02	7.690900000000000070e+00	8.632889714454000663e-03	8.637459999999999583e-03	7.811072591452730175e-03
2.300500000000000114e+02	8.361399999999999721e+00	8.635879273447499838e-03	8.637680000000000011e-03	8.085873069023844298e-03
2.373360000000000127e+02	9.043200000000000571e+00	8.638870903719500158e-03	8.639020000000000726e-03	8.382137758205381733e-03
2.427090000000000032e+02	9.543400000000000105e+00	8.641145929322000679e-03	8.640800000000000564e-03	8.606514963624750311e-03
2.484439999999999884e+02	1.007569999999999943e+01	8.643422153485099194e-03	8.642449999999999438e-03	8.838142200025263934e-03
2.501939999999999884e+02	1.023760000000000048e+01	8.644141210275799528e-03	8.643150000000000485e-03	8.908755725452122826e-03
2.534449999999999932e+02	1.053780000000000072e+01	8.645579682832400456e-03	8.644580000000000666e-03	9.043689849487638807e-03
2.536419999999999959e+02	1.101720000000000077e+01	8.647858243754200439e-03	8.185619999999999355e-03	8.980065098752576178e-03
2.630500000000000114e+02	1.142290000000000028e+01	8.649417951258000711e-03	8.647449999999999234e-03	9.429952138776651754e-03
2.683009999999999877e+02	1.190489999999999959e+01	8.651578475301799701e-03	8.649070000000000022e-03	9.640390647454427295e-03
2.731709999999999923e+02	1.236040000000000028e+01	8.653860199726899280e-03	8.642830000000000651e-03	9.835284282109587120e-03
1.910320000000000107e+02	4.657899999999999707e+00	6.896170484809599661e-03	7.105710000000000325e-03	6.541478593148696702e-03
1.915509999999999877e+02	4.731799999999999784e+00	6.337718781221099960e-03	6.773580000000000399e-03	6.560439488329228991e-03
1.929379999999999882e+02	4.928200000000000358e+00	6.338105368922800423e-03	6.510540000000000424e-03	6.605762742826488086e-03
1.952429999999999950e+02	5.256300000000000416e+00	6.338943137423299831e-03	6.402309999999999598e-03	6.682369561598682992e-03
1.975620000000000118e+02	5.586999999999999744e+00	6.339329874510400177e-03	6.373979999999999577e-03	6.758855859050129020e-03
2.004110000000000014e+02	5.997700000000000031e+00	6.340103490269999656e-03	6.347359999999999808e-03	6.852397421790435567e-03
2.028290000000000077e+02	6.341700000000000337e+00	6.340941787110699647e-03	6.352759999999999831e-03	6.932428746816289393e-03
2.063700000000000045e+02	6.850299999999999834e+00	6.342167389026799607e-03	6.348290000000000356e-03	7.048203147263655544e-03
2.135029999999999859e+02	7.877100000000000435e+00	6.344168072745699945e-03	6.344289999999999825e-03	7.271395733577505974e-03
2.236469999999999914e+02	9.338900000000000645e+00	6.347397643135000399e-03	6.344400000000000039e-03	7.603376874886363240e-03
2.363979999999999961e+02	1.117670000000000030e+01	6.351406879813399631e-03	6.346700000000000258e-03	8.013613727281397592e-03
2.481469999999999914e+02	1.286739999999999995e+01	6.354643826280499848e-03	6.349719999999999670e-03	8.396961161255612691e-03
2.551630000000000109e+02	1.387490000000000023e+01	6.357041291602199759e-03	6.351769999999999639e-03	8.643722640675640528e-03
2.731669999999999732e+02	1.645039999999999836e+01	6.362296117039699904e-03	6.357650000000000280e-03	9.182953464614215799e-03
1.910320000000000107e+02	4.660700000000000287e+00	6.102777063820600048e-03	6.902509999999999722e-03	6.545906519760036867e-03
1.910399999999999920e+02	4.661800000000000388e+00	6.104509992447900053e-03	6.899169999999999608e-03	6.546170453570555707e-03
1.912290000000000134e+02	4.690000000000000391e+00	6.104509992447900053e-03	6.674470000000000056e-03	6.552205472539296936e-03
1.914279999999999973e+02	4.718799999999999883e+00	6.104509992447900053e-03	6.565510000000000096e-03	6.558712128648441254e-03
1.918199999999999932e+02	4.776200000000000223e+00	6.104509992447900053e-03	6.410240000000000209e-03	6.571390041818462625e-03
1.920759999999999934e+02	4.813100000000000378e+00	6.104509992447900053e-03	6.374109999999999672e-03	6.579756042063736148e-03
1.935219999999999914e+02	5.026299999999999990e+00	6.105287142033200345e-03	6.219739999999999644e-03	6.626160203774185756e-03
1.951579999999999870e+02	5.269999999999999574e+00	6.105645893199600042e-03	6.160370000000000082e-03	6.678604373421094705e-03
1.979259999999999877e+02	5.683600000000000207e+00	6.106423332047500319e-03	6.131550000000000368e-03	6.767029063960070673e-03
2.005749999999999886e+02	6.081400000000000361e+00	6.107141143653499644e-03	6.120819999999999907e-03	6.851444407184240255e-03
2.040370000000000061e+02	6.603600000000000136e+00	6.108278023893800104e-03	6.114080000000000036e-03	6.961396742497676093e-03
2.078549999999999898e+02	7.179899999999999949e+00	6.109355458844700423e-03	6.113999999999999643e-03	7.082094913000333905e-03
2.078549999999999898e+02	7.183300000000000018e+00	6.109355458844700423e-03	6.107569999999999666e-03	7.081594670695450650e-03
2.130440000000000111e+02	7.969100000000000072e+00	6.110852526991499868e-03	6.109769999999999611e-03	7.245817617028117719e-03
2.333859999999999957e+02	1.106879999999999953e+01	6.116848143764099834e-03	6.111720000000000173e-03	7.867611586332137405e-03
2.528870000000000005e+02	1.403870000000000040e+01	6.122434635602099981e-03	6.117189999999999780e-03	8.487478432805275683e-03
2.730160000000000196e+02	1.709250000000000114e+01	6.128453012501099834e-03	6.123110000000000185e-03	9.072808285151268831e-03
2.730579999999999927e+02	1.709669999999999845e+01	6.128453012501099834e-03	6.123840000000000186e-03	9.074421742999057294e-03
1.910320000000000107e+02	4.664299999999999891e+00	5.587293618224500359e-03	6.543949999999999767e-03	6.545681916862824620e-03
1.918480000000000132e+02	4.798300000000000232e+00	5.589247164848700107e-03	5.710670000000000156e-03	6.570007642522903042e-03
1.918729999999999905e+02	4.800900000000000389e+00	5.589247164848700107e-03	5.747290000000000385e-03	6.570973665006065757e-03
1.932479999999999905e+02	5.024799999999999933e+00	5.589547831739399841e-03	5.659830000000000243e-03	6.612150011588669059e-03
1.951100000000000136e+02	5.333999999999999631e+00	5.589848530979900365e-03	5.623040000000000156e-03	6.669326491927444686e-03
1.973000000000000114e+02	5.699200000000000266e+00	5.590600420645699953e-03	5.615829999999999607e-03	6.738453082593992560e-03
1.992160000000000082e+02	6.022800000000000153e+00	5.591101792806900221e-03	5.607159999999999922e-03	6.797797666427917579e-03
2.009010000000000105e+02	6.309199999999999697e+00	5.591402659271100042e-03	5.601779999999999780e-03	6.845284413355974540e-03
2.030639999999999930e+02	6.678200000000000358e+00	5.592054647705299933e-03	5.598460000000000415e-03	6.900190040581562906e-03
2.075639999999999930e+02	7.451600000000000001e+00	5.593308899075199667e-03	5.595140000000000183e-03	7.028379954301586068e-03
2.131970000000000027e+02	8.426600000000000534e+00	5.594864952380600338e-03	5.594580000000000039e-03	7.184433010410813322e-03
2.132040000000000077e+02	8.428200000000000358e+00	5.594864952380600338e-03	5.594189999999999753e-03	7.184522523171553432e-03
2.132119999999999891e+02	8.429299999999999571e+00	5.594864952380600338e-03	5.594479999999999766e-03	7.184742590668707560e-03
2.231839999999999975e+02	1.016600000000000037e+01	5.597678083131100123e-03	5.595720000000000208e-03	7.450262865432290965e-03
2.331610000000000014e+02	1.191220000000000034e+01	5.600192198596199745e-03	5.596740000000000222e-03	7.718678043066756408e-03
2.431370000000000005e+02	1.366009999999999991e+01	5.603010690387500055e-03	5.598670000000000035e-03	8.003095781509315595e-03
2.531529999999999916e+02	1.541230000000000011e+01	5.605529599337500356e-03	5.601720000000000137e-03	8.296419115519057183e-03
2.631240000000000236e+02	1.715540000000000020e+01	5.608353467509199705e-03	5.604429999999999655e-03	8.564129461515117975e-03
2.730919999999999845e+02	1.889770000000000039e+01	5.610877183666400023e-03	5.606380000000000217e-03	8.813689291369469769e-03
2.731499999999999773e+02	1.889270000000000138e+01	5.610877183666400023e-03	5.610150000000000380e-03	8.817507062740530255e-03
1.910320000000000107e+02	4.670099999999999696e+00	5.298398828112799858e-03	5.798049999999999905e-03	6.569862519409967391e-03
1.924979999999999905e+02	4.929499999999999993e+00	5.300245666386599851e-03	5.347700000000000370e-03	6.600186831548194091e-03
1.958400000000000034e+02	5.525599999999999845e+00	5.301056880191799825e-03	5.317020000000000426e-03	6.681817315429832912e-03
1.981819999999999879e+02	5.951100000000000279e+00	5.301642911277100294e-03	5.310490000000000176e-03	6.744671894418777583e-03
2.034339999999999975e+02	6.919200000000000017e+00	5.303040893042200270e-03	5.305200000000000367e-03	6.891886825756498615e-03
2.120339999999999918e+02	8.530799999999999272e+00	5.305297256548000343e-03	5.305319999999999654e-03	7.107201777301473677e-03
2.120349999999999966e+02	8.531000000000000583e+00	5.305297256548000343e-03	5.305309999999999714e-03	7.107224833609813650e-03
2.226320000000000050e+02	1.054069999999999929e+01	5.308097815333400089e-03	5.306769999999999717e-03	7.359632027906095469e-03
2.334019999999999868e+02	1.259559999999999924e+01	5.310629894873899678e-03	5.308430000000000266e-03	7.624193559607661888e-03
