# Temperature (K)	Pressure (MPa)	Experimental(m3/kg)	NIST(m3/kg)	Model(m3/kg)
1.650000000000000000e+02	2.372100000000000097e+00	3.117206982543639995e-02	3.066699999999999895e-03	1.414304641598439216e-03
1.300000000000000000e+02	2.473700000000000010e+00	3.117206982543639995e-02	2.519550000000000175e-03	-4.876305194304292323e-03
1.907500000000000000e+02	4.570999999999999730e+00	8.619521858573000669e-03	8.767360000000000084e-03	-5.612365869697391596e-03
1.908389999999999986e+02	4.634199999999999875e+00	6.104509992447900053e-03	6.999380000000000358e-03	-8.761767905987968841e-03
1.905320000000000107e+02	4.583400000000000141e+00	5.586993193790800415e-03	7.822410000000000127e-03	-8.421657520335974756e-04
1.907030000000000030e+02	4.659900000000000375e+00	4.846554592094900332e-03	4.902530000000000429e-03	5.516285448338389963e-03
1.889689999999999941e+02	4.386599999999999611e+00	4.533591702119900424e-03	4.546749999999999577e-03	6.359651925886208867e-03
1.892580000000000098e+02	4.450199999999999712e+00	4.533789517189399688e-03	4.547800000000000280e-03	4.060244176143604222e-03
1.897669999999999959e+02	4.563900000000000290e+00	4.533789517189399688e-03	4.547110000000000041e-03	-4.287495677586668219e-02
1.901719999999999970e+02	4.654899999999999594e+00	4.533987349522400345e-03	4.546859999999999791e-03	-1.561591506942863750e-03
1.904470000000000027e+02	4.717699999999999783e+00	4.533987349522400345e-03	4.545340000000000144e-03	8.571596278064259888e-03
1.905320000000000107e+02	4.737899999999999778e+00	4.532635839243299991e-03	4.543529999999999618e-03	8.779625780725684725e-03
1.907359999999999900e+02	4.783999999999999808e+00	4.533987349522400345e-03	4.543840000000000379e-03	1.860450292870380329e-02
1.876490000000000009e+02	4.327399999999999913e+00	4.164466093375099667e-03	4.171479999999999980e-03	5.728875377408185893e-03
1.889269999999999925e+02	4.677100000000000257e+00	4.164633006958799906e-03	4.170820000000000430e-03	2.449934127845942999e-03
1.905320000000000107e+02	5.121599999999999930e+00	4.163715147788900166e-03	4.170369999999999633e-03	2.629505869217410585e-03
1.833509999999999991e+02	3.825200000000000156e+00	3.773081790120199914e-03	3.784619999999999825e-03	-7.123690123329612378e-03
1.852669999999999959e+02	4.488400000000000389e+00	3.773515700806299999e-03	3.785279999999999808e-03	4.845163393897379545e-03
1.892589999999999861e+02	5.897000000000000242e+00	3.774680902065299937e-03	3.785140000000000206e-03	5.146908428979924885e-03
1.905320000000000107e+02	6.351300000000000168e+00	3.773332989406599954e-03	3.785059999999999814e-03	-3.934366019426309424e-03
1.791399999999999864e+02	3.304399999999999782e+00	3.549541086931899854e-03	3.555930000000000115e-03	6.269449294450869792e-03
1.798300000000000125e+02	3.584900000000000198e+00	3.549662346178499798e-03	3.556199999999999813e-03	-5.654981196607983263e-03
1.810080000000000098e+02	4.065100000000000158e+00	3.549904889528199790e-03	3.556709999999999820e-03	-9.470714526988721627e-04
1.644410000000000025e+02	5.477299999999999613e+00	3.550551833867099816e-03	2.951300000000000017e-03	1.125264355751873224e-03
1.905320000000000107e+02	8.009000000000000341e+00	3.550450733271000043e-03	3.560080000000000189e-03	5.343769203155247782e-03
1.828340000000000032e+02	6.551800000000000068e+00	3.431384552137299853e-03	3.384809999999999815e-03	8.890102425006972744e-03
