Liquid Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,21.0%,100.618,23858.624,154.462,0.857
Exp x NIST,6.0%,25.674,11763.196,108.458,0.930
NIST x Model,21.0%,102.510,25118.630,158.489,0.847

Vapor Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,37.0%,154.490,34369.909,185.391,0.210
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,57.0%,186.482,46788.948,216.308,-1.482

Supercritical Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,89.0%,240.288,95934.214,309.732,0.906
Exp x NIST,45.0%,3.993,971.914,31.176,0.999
NIST x Model,35.0%,237.383,94017.490,306.623,0.907

