Liquid Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,21.0%,100.642,23865.702,154.485,0.857
Exp x NIST,6.0%,25.674,11763.196,108.458,0.930
NIST x Model,21.0%,102.537,25127.269,158.516,0.847

Vapor Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,37.0%,154.643,34443.650,185.590,0.209
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,57.0%,186.442,46773.713,216.272,-1.481

Supercritical Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,89.0%,240.338,95911.674,309.696,0.906
Exp x NIST,45.0%,3.993,971.914,31.176,0.999
NIST x Model,35.0%,237.420,93994.858,306.586,0.907

