Liquid Phase - NeuralNetwork
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,21.0%,108.173,25574.019,159.919,0.847
Exp x NIST,6.0%,25.674,11763.196,108.458,0.930
NIST x Model,19.0%,100.631,20756.496,144.071,0.873

Vapor Phase - NeuralNetwork
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,32.0%,144.804,36745.175,191.690,0.156
Exp x NIST,21.0%,140.145,65033.991,255.018,-0.494
NIST x Model,47.0%,152.527,39235.427,198.079,-1.081

Supercritical Phase - NeuralNetwork
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,56.0%,124.060,33106.054,181.951,0.967
Exp x NIST,45.0%,3.993,971.914,31.176,0.999
NIST x Model,11.0%,122.460,32117.628,179.214,0.968

