Liquid Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,38.0%,25.697,1303.809,36.108,0.686
Exp x NIST,29.0%,21.334,2050.595,45.284,0.506
NIST x Model,21.0%,19.289,701.219,26.481,0.762

Vapor Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,10.0%,1.758,77.686,8.814,-0.011
Exp x NIST,2.0%,0.870,78.004,8.832,-0.016
NIST x Model,10.0%,1.164,7.347,2.711,0.243

Supercritical Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,33.0%,6.268,87.376,9.347,0.487
Exp x NIST,15.0%,2.229,79.406,8.911,0.534
NIST x Model,28.0%,6.215,82.435,9.079,0.606

