Liquid Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,38.0%,25.684,1303.555,36.105,0.686
Exp x NIST,29.0%,21.334,2050.595,45.284,0.506
NIST x Model,21.0%,19.296,703.132,26.517,0.761

Vapor Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,10.0%,1.755,77.308,8.792,-0.006
Exp x NIST,2.0%,0.870,78.004,8.832,-0.016
NIST x Model,10.0%,1.174,7.479,2.735,0.230

Supercritical Phase - AdaboostRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,33.0%,6.318,89.120,9.440,0.477
Exp x NIST,15.0%,2.229,79.406,8.911,0.534
NIST x Model,28.0%,6.279,84.313,9.182,0.597

