Liquid Phase - ExtraTreesRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,10.0%,4.925,168.250,12.971,0.959
Exp x NIST,29.0%,21.334,2050.595,45.284,0.506
NIST x Model,21.0%,20.701,1728.919,41.580,0.413

Vapor Phase - ExtraTreesRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,2.0%,0.622,36.495,6.041,0.525
Exp x NIST,2.0%,0.870,78.004,8.832,-0.016
NIST x Model,12.0%,0.752,40.426,6.358,-3.164

Supercritical Phase - ExtraTreesRegressor
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,4.0%,0.796,6.485,2.547,0.962
Exp x NIST,15.0%,2.229,79.406,8.911,0.534
NIST x Model,6.0%,2.383,74.552,8.634,0.644

