Liquid Phase - GradientBoosting
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,12.0%,5.790,338.176,18.390,0.918
Exp x NIST,29.0%,21.334,2050.595,45.284,0.506
NIST x Model,23.0%,22.389,1980.447,44.502,0.327

Vapor Phase - GradientBoosting
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,3.0%,0.878,57.722,7.597,0.249
Exp x NIST,2.0%,0.870,78.004,8.832,-0.016
NIST x Model,8.0%,0.516,10.028,3.167,-0.033

Supercritical Phase - GradientBoosting
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,4.0%,0.833,7.772,2.788,0.954
Exp x NIST,15.0%,2.229,79.406,8.911,0.534
NIST x Model,7.0%,2.527,76.654,8.755,0.634

