Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
292.960	0.340000	2.25342	0.443771	11.9536	14.3742	96.2890	27.2631	35.8524	444.047	4.52581	10.9395	0.0334064	vapor
297.080	0.340000	2.22147	0.450152	12.0668	14.5222	96.7906	27.4097	35.9897	446.954	4.39707	11.0730	0.0339695	vapor
323.860	0.340000	2.03436	0.491555	12.8179	15.4991	99.9386	28.4763	37.0054	465.038	3.65830	11.9243	0.0377685	vapor
350.550	0.340000	1.87718	0.532713	13.5967	16.5024	102.915	29.7089	38.2004	481.852	3.06213	12.7456	0.0417995	vapor
378.150	0.340000	1.73855	0.575191	14.4381	17.5755	105.861	31.1222	39.5841	498.207	2.56022	13.5685	0.0462207	vapor
405.880	0.340000	1.61864	0.617803	15.3240	18.6938	108.714	32.6462	41.0853	513.786	2.14852	14.3701	0.0509071	vapor
433.830	0.340000	1.51354	0.660701	16.2604	19.8642	111.502	34.2544	42.6753	528.785	1.80801	15.1545	0.0558577	vapor
461.850	0.340000	1.42113	0.703666	17.2447	21.0829	114.224	35.9119	44.3183	543.240	1.52640	15.9187	0.0610265	vapor
490.130	0.340000	1.33870	0.746995	18.2855	22.3600	116.907	37.6092	46.0037	557.332	1.29064	16.6693	0.0664291	vapor
518.830	0.340000	1.26432	0.790939	19.3908	23.7050	119.573	39.3401	47.7246	571.198	1.09128	17.4113	0.0720806	vapor
542.600	0.340000	1.20873	0.827317	20.3437	24.8564	121.743	40.7709	49.1485	582.391	0.950922	18.0118	0.0768755	vapor
565.380	0.340000	1.15987	0.862167	21.2887	25.9914	123.792	42.1344	50.5063	592.895	0.833878	18.5762	0.0815575	vapor
594.080	0.340000	1.10368	0.906057	22.5232	27.4653	126.335	43.8361	52.2018	605.846	0.706729	19.2726	0.0875645	vapor
623.330	0.340000	1.05178	0.950773	23.8312	29.0173	128.884	45.5466	53.9071	618.749	0.596453	19.9668	0.0937967	vapor
291.930	0.340000	2.26155	0.442175	11.9254	14.3373	96.1628	27.2272	35.8190	443.315	4.55870	10.9060	0.0332665	vapor
296.430	0.340000	2.22645	0.449145	12.0489	14.4988	96.7118	27.3863	35.9677	446.498	4.41708	11.0520	0.0338803	vapor
289.050	0.340000	2.28461	0.437711	11.8467	14.2343	95.8081	27.1285	35.7272	441.256	4.65220	10.8121	0.0328771	vapor
296.570	0.340000	2.22538	0.449362	12.0528	14.5038	96.7288	27.3913	35.9724	446.596	4.41276	11.0565	0.0338995	vapor
323.430	0.340000	2.03711	0.490891	12.8056	15.4832	99.8895	28.4577	36.9875	464.758	3.66895	11.9108	0.0377056	vapor
350.640	0.340000	1.87670	0.532851	13.5994	16.5058	102.925	29.7133	38.2047	481.907	3.06032	12.7483	0.0418135	vapor
378.250	0.340000	1.73809	0.575344	14.4412	17.5795	105.871	31.1275	39.5894	498.265	2.55858	13.5714	0.0462372	vapor
406.030	0.340000	1.61804	0.618033	15.3289	18.7000	108.729	32.6547	41.0936	513.868	2.14651	14.3744	0.0509331	vapor
434.020	0.340000	1.51288	0.660993	16.2669	19.8723	111.521	34.2655	42.6863	528.885	1.80592	15.1597	0.0558921	vapor
461.750	0.340000	1.42144	0.703513	17.2411	21.0785	114.214	35.9060	44.3124	543.189	1.52732	15.9160	0.0610077	vapor
490.150	0.340000	1.33864	0.747026	18.2862	22.3609	116.909	37.6105	46.0049	557.342	1.29049	16.6698	0.0664330	vapor
518.800	0.340000	1.26439	0.790893	19.3896	23.7036	119.571	39.3383	47.7228	571.184	1.09147	17.4105	0.0720746	vapor
542.360	0.340000	1.20926	0.826950	20.3339	24.8446	121.721	40.7564	49.1342	582.279	0.952241	18.0058	0.0768266	vapor
565.100	0.340000	1.16045	0.861738	21.2769	25.9773	123.767	42.1177	50.4897	592.767	0.835224	18.5693	0.0814995	vapor
593.840	0.340000	1.10413	0.905690	22.5127	27.4528	126.314	43.8219	52.1878	605.739	0.707709	19.2669	0.0875138	vapor
623.050	0.340000	1.05225	0.950345	23.8185	29.0022	128.860	45.5304	53.8909	618.627	0.597428	19.9602	0.0937365	vapor
290.410	0.340000	2.27366	0.439819	11.8839	14.2829	95.9759	27.1748	35.7702	442.231	4.60776	10.8565	0.0330607	vapor
210.760	0.00000	0.00000	infinite	9.84943	11.6018	-9.99996e+06	25.3029	33.6174	380.951	undefined	8.07535	0.0227828	vapor
225.810	0.00000	0.00000	infinite	10.2316	12.1091	-9.99996e+06	25.4991	33.8136	393.943	undefined	8.61337	0.0245848	vapor
248.250	0.00000	0.00000	infinite	10.8082	12.8723	-9.99996e+06	25.9141	34.2286	412.239	undefined	9.39727	0.0273350	vapor
273.160	0.00000	0.00000	infinite	11.4613	13.7325	-9.99996e+06	26.5579	34.8724	431.153	undefined	10.2419	0.0305169	vapor
298.140	0.00000	0.00000	infinite	12.1348	14.6137	-9.99996e+06	27.3936	35.7081	448.794	undefined	11.0626	0.0338828	vapor
298.150	0.00000	0.00000	infinite	12.1351	14.6141	-9.99996e+06	27.3940	35.7085	448.801	undefined	11.0629	0.0338842	vapor
298.150	0.00000	0.00000	infinite	12.1351	14.6141	-9.99996e+06	27.3940	35.7085	448.801	undefined	11.0629	0.0338842	vapor
313.220	0.00000	0.00000	infinite	12.5523	15.1565	-9.99996e+06	27.9831	36.2976	458.875	undefined	11.5458	0.0360107	vapor
331.550	0.00000	0.00000	infinite	13.0724	15.8290	-9.99996e+06	28.7761	37.0906	470.618	undefined	12.1214	0.0386997	vapor
352.570	0.00000	0.00000	infinite	13.6876	16.6190	-9.99996e+06	29.7750	38.0895	483.479	undefined	12.7660	0.0419233	vapor
371.190	0.00000	0.00000	infinite	14.2508	17.3370	-9.99996e+06	30.7263	39.0408	494.403	undefined	13.3240	0.0449019	vapor
391.540	0.00000	0.00000	infinite	14.8871	18.1426	-9.99996e+06	31.8230	40.1375	505.907	undefined	13.9205	0.0482845	vapor
391.550	0.00000	0.00000	infinite	14.8874	18.1430	-9.99996e+06	31.8235	40.1380	505.913	undefined	13.9208	0.0482862	vapor
210.760	0.100000	0.920457	1.08642	9.83036	11.5733	95.1987	25.3530	33.8504	379.829	8.45971	8.08831	0.0229067	vapor
225.810	0.100000	0.858223	1.16520	10.2145	12.0838	97.5384	25.5385	34.0060	393.033	7.47151	8.62669	0.0246939	vapor
248.250	0.100000	0.779761	1.28244	10.7934	12.8508	100.776	25.9427	34.3776	411.571	6.27458	9.41071	0.0274291	vapor
273.160	0.100000	0.708028	1.41237	11.4484	13.7143	104.091	26.5789	34.9883	430.681	5.22276	10.2551	0.0305992	vapor
298.140	0.100000	0.648299	1.54250	12.1234	14.5980	107.186	27.4096	35.8007	448.467	4.37776	11.0755	0.0339561	vapor
298.150	0.100000	0.648277	1.54255	12.1237	14.5984	107.187	27.4100	35.8011	448.474	4.37745	11.0758	0.0339575	vapor
298.150	0.100000	0.648277	1.54255	12.1237	14.5984	107.187	27.4100	35.8011	448.474	4.37745	11.0758	0.0339575	vapor
313.220	0.100000	0.616906	1.62099	12.5417	15.1422	108.966	27.9969	36.3793	458.617	3.94627	11.5584	0.0360796	vapor
331.550	0.100000	0.582631	1.71635	13.0626	15.8161	111.057	28.7878	37.1615	470.431	3.48690	12.1336	0.0387639	vapor
352.570	0.100000	0.547750	1.82565	13.6786	16.6074	113.371	29.7847	38.1503	483.359	3.03425	12.7778	0.0419829	vapor
371.190	0.100000	0.520174	1.92243	14.2424	17.3265	115.358	30.7346	39.0943	494.331	2.68893	13.3354	0.0449579	vapor
391.540	0.100000	0.493056	2.02817	14.8793	18.1331	117.473	31.8301	40.1844	505.880	2.36188	13.9316	0.0483370	vapor
