Liquid Phase - XGB
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,25.0%,12.245,480.927,21.930,0.884
Exp x NIST,29.0%,21.334,2050.595,45.284,0.506
NIST x Model,26.0%,24.842,1828.317,42.759,0.379

Vapor Phase - XGB
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,8.0%,1.469,64.373,8.023,0.162
Exp x NIST,2.0%,0.870,78.004,8.832,-0.016
NIST x Model,17.0%,1.293,33.442,5.783,-2.445

Supercritical Phase - XGB
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,14.0%,2.844,25.395,5.039,0.851
Exp x NIST,15.0%,2.229,79.406,8.911,0.534
NIST x Model,15.0%,4.118,79.867,8.937,0.618

