Liquid Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,18.0%,0.001,0.000,0.002,-0.008
Exp x NIST,1.0%,0.000,0.000,0.002,0.079
NIST x Model,17.0%,0.000,0.000,0.001,-0.135

Vapor Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,290.0%,0.205,0.149,0.386,0.110
Exp x NIST,12.0%,0.001,0.000,0.009,0.999
NIST x Model,277.0%,0.205,0.149,0.386,0.110

Supercritical Phase - AdaboostLasso
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,67.0%,0.004,0.000,0.006,-0.007
Exp x NIST,1.0%,0.000,0.000,0.001,0.983
NIST x Model,67.0%,0.004,0.000,0.006,-0.007

