Liquid Phase - BaggingRegressorRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,11.0%,0.000,0.000,0.002,0.055
Exp x NIST,1.0%,0.000,0.000,0.002,0.079
NIST x Model,10.0%,0.000,0.000,0.000,0.429

Vapor Phase - BaggingRegressorRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,646.0%,0.219,0.099,0.315,0.406
Exp x NIST,12.0%,0.001,0.000,0.009,0.999
NIST x Model,552.0%,0.218,0.099,0.314,0.408

Supercritical Phase - BaggingRegressorRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,49.0%,0.003,0.000,0.005,0.409
Exp x NIST,1.0%,0.000,0.000,0.001,0.983
NIST x Model,49.0%,0.003,0.000,0.005,0.410

