Liquid Phase - DecisionTree
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,3.0%,0.000,0.000,0.002,0.071
Exp x NIST,1.0%,0.000,0.000,0.002,0.079
NIST x Model,2.0%,0.000,0.000,0.000,0.772

Vapor Phase - DecisionTree
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,14.0%,0.015,0.002,0.047,0.987
Exp x NIST,12.0%,0.001,0.000,0.009,0.999
NIST x Model,11.0%,0.015,0.002,0.047,0.987

Supercritical Phase - DecisionTree
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,8.0%,0.001,0.000,0.001,0.945
Exp x NIST,1.0%,0.000,0.000,0.001,0.983
NIST x Model,7.0%,0.001,0.000,0.001,0.959

