Temperature (K),Pressure (MPa),Volume (m3/kg),DOI
150.0,1.026,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
155.0,1.0744,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
160.0,1.1222,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
165.0,1.1696,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
170.0,1.2165,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
175.0,1.2632,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
180.0,1.3096,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
185.0,1.3559,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
190.0,1.402,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
195.0,1.4479,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
200.0,1.4937,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
205.0,1.5394,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
210.0,1.5851,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
215.0,1.6306,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
220.0,1.6761,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
225.0,1.7215,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
230.0,1.7668,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
235.0,1.812,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
240.0,1.8572,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
245.0,1.9023,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
250.0,1.9474,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
255.0,1.9924,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
260.0,2.0373,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
265.0,2.0822,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
270.0,2.1271,0.06234413965087283,https://doi.org/10.6028/NBS.TN.653
170.0,2.0616,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
175.0,2.1663,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
180.0,2.2697,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
165.0,2.3721,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
130.0,2.4737,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
195.0,2.5745,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
200.0,2.6748,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
205.0,2.7746,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
210.0,2.8739,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
215.0,2.9729,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
220.0,3.0715,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
225.0,3.1698,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
230.0,3.2677,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
235.0,3.3654,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
240.0,3.4629,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
245.0,3.5601,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
250.0,3.657,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
255.0,3.7537,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
260.0,3.8502,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
265.0,3.9465,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
270.0,4.0426,0.031172069825436414,https://doi.org/10.6028/NBS.TN.653
172.527,2.466,0.024359840444993872,https://doi.org/10.6028/NBS.TN.653
174.691,2.5283,0.024359840444993872,https://doi.org/10.6028/NBS.TN.653
177.203,2.5994,0.024271642003765793,https://doi.org/10.6028/NBS.TN.653
183.176,2.7666,0.0242773129481592,https://doi.org/10.6028/NBS.TN.653
190.532,2.9676,0.024375079036193775,https://doi.org/10.6028/NBS.TN.653
191.849,3.0038,0.024383659125028483,https://doi.org/10.6028/NBS.TN.653
203.084,3.3048,0.024396063256064495,https://doi.org/10.6028/NBS.TN.653
213.041,3.5672,0.02440752442973528,https://doi.org/10.6028/NBS.TN.653
217.864,3.6931,0.02349328848433237,https://doi.org/10.6028/NBS.TN.653
223.831,3.8461,0.024419952859723,https://doi.org/10.6028/NBS.TN.653
233.546,4.099,0.023510121295298593,https://doi.org/10.6028/NBS.TN.653
239.797,4.259,0.024437182365503612,https://doi.org/10.6028/NBS.TN.653
252.833,4.5897,0.023526978244791438,https://doi.org/10.6028/NBS.TN.653
203.399,4.8559,0.024538174381419614,https://doi.org/10.6028/NBS.TN.653
273.38,5.1058,0.024473635726965856,https://doi.org/10.6028/NBS.TN.653
190.429,4.472,0.009640349412536385,https://doi.org/10.6028/NBS.TN.653
190.532,4.4814,0.00963796488434481,https://doi.org/10.6028/NBS.TN.653
208.574,6.027,0.00964870456106615,https://doi.org/10.6028/NBS.TN.653
223.234,7.2346,0.00965512995785613,https://doi.org/10.6028/NBS.TN.653
234.44,8.1433,0.00965991720523603,https://doi.org/10.6028/NBS.TN.653
243.733,8.8913,0.009664559380367215,https://doi.org/10.6028/NBS.TN.653
243.773,8.8939,0.009664559380367215,https://doi.org/10.6028/NBS.TN.653
251.376,9.5018,0.00966830632118121,https://doi.org/10.6028/NBS.TN.653
262.19,10.3505,0.009672956564710606,https://doi.org/10.6028/NBS.TN.653
272.155,11.1478,0.009677611283723136,https://doi.org/10.6028/NBS.TN.653
272.185,11.1494,0.009677611283723136,https://doi.org/10.6028/NBS.TN.653
190.052,4.4989,0.008619521858573025,https://doi.org/10.6028/NBS.TN.653
190.532,4.5493,0.008617258203526403,https://doi.org/10.6028/NBS.TN.653
190.75,4.571,0.008619521858573025,https://doi.org/10.6028/NBS.TN.653
191.032,4.6145,0.008618092043360306,https://doi.org/10.6028/NBS.TN.653
193.325,4.8336,0.00862107136053886,https://doi.org/10.6028/NBS.TN.653
197.737,5.2722,0.008622502164592944,https://doi.org/10.6028/NBS.TN.653
202.753,5.7627,0.008624768575897184,https://doi.org/10.6028/NBS.TN.653
203.224,6.2909,0.008627036178960065,https://doi.org/10.6028/NBS.TN.653
212.165,6.6689,0.00862846896377679,https://doi.org/10.6028/NBS.TN.653
217.136,7.1421,0.008630738513306957,https://doi.org/10.6028/NBS.TN.653
222.926,7.6909,0.008632889714454048,https://doi.org/10.6028/NBS.TN.653
230.05,8.3614,0.008635879273447588,https://doi.org/10.6028/NBS.TN.653
237.336,9.0432,0.008638870903719538,https://doi.org/10.6028/NBS.TN.653
242.709,9.5434,0.008641145929322058,https://doi.org/10.6028/NBS.TN.653
248.444,10.0757,0.008643422153485118,https://doi.org/10.6028/NBS.TN.653
250.194,10.2376,0.008644141210275893,https://doi.org/10.6028/NBS.TN.653
253.445,10.5378,0.008645579682832413,https://doi.org/10.6028/NBS.TN.653
253.642,11.0172,0.008647858243754202,https://doi.org/10.6028/NBS.TN.653
263.05,11.4229,0.008649417951258037,https://doi.org/10.6028/NBS.TN.653
268.301,11.9049,0.00865157847530187,https://doi.org/10.6028/NBS.TN.653
273.171,12.3604,0.008653860199726941,https://doi.org/10.6028/NBS.TN.653
191.032,4.6579,0.006896170484809608,https://doi.org/10.6028/NBS.TN.653
191.551,4.7318,0.006337718781221185,https://doi.org/10.6028/NBS.TN.653
192.938,4.9282,0.006338105368922856,https://doi.org/10.6028/NBS.TN.653
195.243,5.2563,0.006338943137423392,https://doi.org/10.6028/NBS.TN.653
197.562,5.587,0.006339329874510425,https://doi.org/10.6028/NBS.TN.653
200.411,5.9977,0.006340103490270081,https://doi.org/10.6028/NBS.TN.653
202.829,6.3417,0.006340941787110743,https://doi.org/10.6028/NBS.TN.653
206.37,6.8503,0.006342167389026846,https://doi.org/10.6028/NBS.TN.653
213.503,7.8771,0.00634416807274578,https://doi.org/10.6028/NBS.TN.653
223.647,9.3389,0.006347397643135088,https://doi.org/10.6028/NBS.TN.653
236.398,11.1767,0.006351406879813442,https://doi.org/10.6028/NBS.TN.653
248.147,12.8674,0.006354643826280506,https://doi.org/10.6028/NBS.TN.653
255.163,13.8749,0.006357041291602289,https://doi.org/10.6028/NBS.TN.653
273.167,16.4504,0.006362296117039782,https://doi.org/10.6028/NBS.TN.653
191.032,4.6607,0.006102777063820668,https://doi.org/10.6028/NBS.TN.653
190.839,4.6342,0.006104509992447987,https://doi.org/10.6028/NBS.TN.653
191.04,4.6618,0.006104509992447987,https://doi.org/10.6028/NBS.TN.653
191.229,4.69,0.006104509992447987,https://doi.org/10.6028/NBS.TN.653
191.428,4.7188,0.006104509992447987,https://doi.org/10.6028/NBS.TN.653
191.82,4.7762,0.006104509992447987,https://doi.org/10.6028/NBS.TN.653
192.076,4.8131,0.006104509992447987,https://doi.org/10.6028/NBS.TN.653
193.522,5.0263,0.006105287142033273,https://doi.org/10.6028/NBS.TN.653
195.158,5.27,0.0061056458931996955,https://doi.org/10.6028/NBS.TN.653
197.926,5.6836,0.006106423332047563,https://doi.org/10.6028/NBS.TN.653
200.575,6.0814,0.006107141143653541,https://doi.org/10.6028/NBS.TN.653
204.037,6.6036,0.006108278023893872,https://doi.org/10.6028/NBS.TN.653
207.855,7.1799,0.006109355458844726,https://doi.org/10.6028/NBS.TN.653
207.855,7.1833,0.006109355458844726,https://doi.org/10.6028/NBS.TN.653
213.044,7.9691,0.006110852526991509,https://doi.org/10.6028/NBS.TN.653
233.386,11.0688,0.006116848143764134,https://doi.org/10.6028/NBS.TN.653
252.887,14.0387,0.006122434635602121,https://doi.org/10.6028/NBS.TN.653
273.016,17.0925,0.0061284530125011345,https://doi.org/10.6028/NBS.TN.653
273.058,17.0967,0.0061284530125011345,https://doi.org/10.6028/NBS.TN.653
