Liquid Phase - GradientBoosting
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,7.0%,0.000,0.000,0.002,-0.051
Exp x NIST,1.0%,0.000,0.000,0.002,0.079
NIST x Model,6.0%,0.000,0.000,0.001,-0.467

Vapor Phase - GradientBoosting
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,25.0%,0.022,0.004,0.063,0.976
Exp x NIST,12.0%,0.001,0.000,0.009,0.999
NIST x Model,18.0%,0.021,0.004,0.063,0.976

Supercritical Phase - GradientBoosting
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,5.0%,0.000,0.000,0.001,0.973
Exp x NIST,1.0%,0.000,0.000,0.001,0.983
NIST x Model,4.0%,0.000,0.000,0.001,0.990

