Liquid Phase - NeuralNetwork
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,208.0%,0.006,0.000,0.011,-29.171
Exp x NIST,1.0%,0.000,0.000,0.002,0.079
NIST x Model,210.0%,0.005,0.000,0.010,-299.068

Vapor Phase - NeuralNetwork
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,888.0%,0.355,0.249,0.499,-0.493
Exp x NIST,12.0%,0.001,0.000,0.009,0.999
NIST x Model,834.0%,0.355,0.250,0.500,-0.494

Supercritical Phase - NeuralNetwork
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,194.0%,0.011,0.001,0.034,-31.366
Exp x NIST,1.0%,0.000,0.000,0.001,0.983
NIST x Model,194.0%,0.011,0.001,0.034,-31.379

