Liquid Phase - RandomForest
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,6.0%,0.000,0.000,0.002,0.008
Exp x NIST,1.0%,0.000,0.000,0.002,0.079
NIST x Model,6.0%,0.000,0.000,0.001,-0.373

Vapor Phase - RandomForest
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,14.0%,0.013,0.002,0.046,0.987
Exp x NIST,12.0%,0.001,0.000,0.009,0.999
NIST x Model,8.0%,0.012,0.002,0.046,0.987

Supercritical Phase - RandomForest
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,4.0%,0.000,0.000,0.001,0.965
Exp x NIST,1.0%,0.000,0.000,0.001,0.983
NIST x Model,3.0%,0.000,0.000,0.001,0.982

