Liquid Phase - XGB
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,12.0%,0.000,0.000,0.002,0.059
Exp x NIST,1.0%,0.000,0.000,0.002,0.079
NIST x Model,12.0%,0.000,0.000,0.001,-0.096

Vapor Phase - XGB
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,170.0%,0.058,0.028,0.168,0.832
Exp x NIST,12.0%,0.001,0.000,0.009,0.999
NIST x Model,76.0%,0.057,0.026,0.161,0.844

Supercritical Phase - XGB
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,34.0%,0.002,0.000,0.003,0.699
Exp x NIST,1.0%,0.000,0.000,0.001,0.983
NIST x Model,34.0%,0.002,0.000,0.003,0.707

