Temperature (K)	Pressure (MPa)	Cp (J/mol*K)	 Reference
121.1	5.0	55.212	Kasteren-1979
121.1	5.0	55.0836	Kasteren-1979
121.1	5.0	55.0034	Kasteren-1979
121.0	5.0	55.1799	Kasteren-1979
136.1	5.0	57.3627	Kasteren-1979
136.2	5.0	57.4269	Kasteren-1979
136.2	5.0	57.2664	Kasteren-1979
151.3	5.0	61.295	Kasteren-1979
151.3	5.0	61.0703	Kasteren-1979
151.2	5.0	60.99	Kasteren-1979
165.1	5.0	67.8755	Kasteren-1979
165.1	5.0	67.8594	Kasteren-1979
165.1	5.0	68.0841	Kasteren-1979
165.0	5.0	67.7631	Kasteren-1979
175.6	5.0	78.6129	Kasteren-1979
175.7	5.0	79.1265	Kasteren-1979
175.6	5.0	78.7413	Kasteren-1979
175.5	5.0	79.1105	Kasteren-1979
182.7	5.0	94.6629	Kasteren-1979
182.7	5.0	94.6148	Kasteren-1979
182.7	5.0	94.695	Kasteren-1979
184.2	5.0	101.8854	Kasteren-1979
186.4	5.0	116.2983	Kasteren-1979
188.5	5.0	140.4696	Kasteren-1979
144.4	3.2	59.8826	Kasteren-1979   
144.3	3.2	60.7172	Kasteren-1979 
144.4	3.2	59.9949	Kasteren-1979 
146.2	3.2	61.632	Kasteren-1979 
146.5	3.2	60.9258	Kasteren-1979 
154.9	3.2	64.0234	Kasteren-1979 
154.8	3.2	64.1679	Kasteren-1979 
164.9	3.2	71.5991	Kasteren-1979 
164.9	3.2	71.3423	Kasteren-1979 
174.3	3.2	89.2059	Kasteren-1979 
178.4	3.2	847.3116	Kasteren-1979  
116.48	1.03	55.3888	Jones-1963
122.04	1.03	56.5302	Jones-1963
127.59	1.03	57.873	Jones-1963
133.15	1.03	59.35	Jones-1963
138.71	1.03	61.0956	Jones-1963
144.26	1.03	63.3783	Jones-1963
116.48	2.07	55.3217	Jones-1963
122.04	2.07	56.4631	Jones-1963
127.59	2.07	57.4701	Jones-1963
133.15	2.07	58.7458	Jones-1963
138.71	2.07	60.0885	Jones-1963
144.26	2.07	61.6998	Jones-1963
149.82	2.07	63.714	Jones-1963
155.37	2.07	66.5338	Jones-1963
160.93	2.07	71.3006	Jones-1963
116.48	2.41	55.3217	Jones-1963
122.04	2.41	56.3959	Jones-1963
127.59	2.41	57.403	Jones-1963
133.15	2.41	58.5443	Jones-1963
138.71	2.41	59.8871	Jones-1963
144.26	2.41	61.5655	Jones-1963
149.82	2.41	63.6468	Jones-1963
155.37	2.41	66.3323	Jones-1963
160.93	2.41	69.8235	Jones-1963
166.48	2.41	76.0002	Jones-1963
116.48	3.1	55.2546	Jones-1963
122.04	3.1	56.2616	Jones-1963
127.59	3.1	57.3359	Jones-1963
133.15	3.1	58.3429	Jones-1963
138.71	3.1	59.6185	Jones-1963
144.26	3.1	60.9613	Jones-1963
149.82	3.1	62.8412	Jones-1963
155.37	3.1	65.191	Jones-1963
160.93	3.1	68.5479	Jones-1963
166.48	3.1	73.7175	Jones-1963
172.04	3.1	82.7812	Jones-1963
177.59	3.1	106.0109	Jones-1963
116.48	3.79	55.1874	Jones-1963
122.04	3.79	56.1274	Jones-1963
127.59	3.79	57.0002	Jones-1963
133.15	3.79	58.0072	Jones-1963
138.71	3.79	59.4171	Jones-1963
144.26	3.79	60.4913	Jones-1963
149.82	3.79	62.1027	Jones-1963
155.37	3.79	64.1168	Jones-1963
160.93	3.79	67.0037	Jones-1963
166.48	3.79	71.5691	Jones-1963
172.04	3.79	78.8872	Jones-1963
177.59	3.79	93.6575	Jones-1963
183.15	3.79	132.3961	Jones-1963
116.48	4.14	55.1203	Jones-1963
122.04	4.14	55.9931	Jones-1963
127.59	4.14	56.933	Jones-1963
133.15	4.14	57.873	Jones-1963
138.71	4.14	59.1486	Jones-1963
144.26	4.14	60.3571	Jones-1963
149.82	4.14	61.767	Jones-1963
155.37	4.14	63.8482	Jones-1963
160.93	4.14	66.8694	Jones-1963
166.48	4.14	70.8977	Jones-1963
172.04	4.14	77.6115	Jones-1963
177.59	4.14	89.025	Jones-1963
183.15	4.14	114.336	Jones-1963
116.48	4.31	55.0532	Jones-1963
122.04	4.31	55.926	Jones-1963
127.59	4.31	56.8659	Jones-1963
133.15	4.31	57.7387	Jones-1963
138.71	4.31	58.9472	Jones-1963
144.26	4.31	60.1556	Jones-1963
149.82	4.31	61.6327	Jones-1963
155.37	4.31	63.5797	Jones-1963
160.93	4.31	66.3323	Jones-1963
166.48	4.31	70.6292	Jones-1963
172.04	4.31	77.1416	Jones-1963
177.59	4.31	87.8836	Jones-1963
183.15	4.31	109.3007	Jones-1963
116.48	4.69	55.0532	Jones-1963
122.04	4.69	55.926	Jones-1963
127.59	4.69	56.7316	Jones-1963
133.15	4.69	57.6715	Jones-1963
138.71	4.69	58.8129	Jones-1963
144.26	4.69	60.0214	Jones-1963
149.82	4.69	61.2299	Jones-1963
155.37	4.69	63.0426	Jones-1963
160.93	4.69	65.4596	Jones-1963
166.48	4.69	69.1521	Jones-1963
172.04	4.69	75.6645	Jones-1963
177.59	4.69	84.5267	Jones-1963
183.15	4.69	102.8554	Jones-1963
188.71	4.69	184.3609	Jones-1963
116.48	5.52	54.986	Jones-1963
122.04	5.52	55.7917	Jones-1963
127.59	5.52	56.4631	Jones-1963
133.15	5.52	57.2687	Jones-1963
138.71	5.52	58.4772	Jones-1963
144.26	5.52	59.6857	Jones-1963
149.82	5.52	60.8942	Jones-1963
155.37	5.52	62.3712	Jones-1963
160.93	5.52	64.5868	Jones-1963
166.48	5.52	68.2793	Jones-1963
172.04	5.52	73.0461	Jones-1963
177.59	5.52	80.1628	Jones-1963
183.15	5.52	89.6964	Jones-1963
188.71	5.52	115.3431	Jones-1963
116.48	6.89	54.9189	Jones-1963
122.04	6.89	55.6574	Jones-1963
127.59	6.89	56.3288	Jones-1963
133.15	6.89	57.0673	Jones-1963
138.71	6.89	57.8058	Jones-1963
144.26	6.89	58.8129	Jones-1963
149.82	6.89	59.7528	Jones-1963
155.37	6.89	61.1627	Jones-1963
160.93	6.89	63.0426	Jones-1963
166.48	6.89	65.7281	Jones-1963
172.04	6.89	69.6221	Jones-1963
177.59	6.89	74.3218	Jones-1963
183.15	6.89	81.0356	Jones-1963
188.71	6.89	90.8377	Jones-1963
116.48	8.27	54.8517	Jones-1963
122.04	8.27	55.3888	Jones-1963
127.59	8.27	55.9931	Jones-1963
133.15	8.27	56.6645	Jones-1963
138.71	8.27	57.3359	Jones-1963
144.26	8.27	58.0744	Jones-1963
149.82	8.27	59.0814	Jones-1963
155.37	8.27	60.2228	Jones-1963
160.93	8.27	61.6998	Jones-1963
166.48	8.27	63.7811	Jones-1963
172.04	8.27	66.3995	Jones-1963
177.59	8.27	69.6892	Jones-1963
183.15	8.27	74.2546	Jones-1963
188.71	8.27	80.4313	Jones-1963
116.48	10.34	54.5161	Jones-1963
122.04	10.34	54.8517	Jones-1963
127.59	10.34	55.3217	Jones-1963
133.15	10.34	55.926	Jones-1963
138.71	10.34	56.5302	Jones-1963
144.26	10.34	57.3359	Jones-1963
149.82	10.34	58.2086	Jones-1963
155.37	10.34	59.2829	Jones-1963
160.93	10.34	60.4913	Jones-1963
166.48	10.34	61.9684	Jones-1963
172.04	10.34	63.5797	Jones-1963
177.59	10.34	65.3924	Jones-1963
183.15	10.34	67.7422	Jones-1963
188.71	10.34	70.7635	Jones-1963
116.48	13.79	53.979	Jones-1963
122.04	13.79	54.3146	Jones-1963
127.59	13.79	54.7175	Jones-1963
133.15	13.79	55.1203	Jones-1963
138.71	13.79	55.5231	Jones-1963
144.26	13.79	56.0602	Jones-1963
149.82	13.79	56.6645	Jones-1963
155.37	13.79	57.4701	Jones-1963
160.93	13.79	58.4101	Jones-1963
166.48	13.79	59.4843	Jones-1963
172.04	13.79	60.6928	Jones-1963
177.59	13.79	61.9684	Jones-1963
183.15	13.79	63.4454	Jones-1963
188.71	13.79	64.9896	Jones-1963
