Temperature (K)	Pressure (MPa)	Cv (J/mol*K)	Reference	Outlier
170.4	6.54	30.44	Roder-1976  	1
172.19	7.69	30.49	Roder-1976  	1
174.9	9.42	30.4	Roder-1976  	1
178.51	11.72	20.35	Roder-1976  	1
182.09	13.99	20.28	Roder-1976  	1
146.61	6.85	31.2	Roder-1976  	1
148.36	8.54	31.28	Roder-1976  	1
150.09	10.2	31.29	Roder-1976  	1
152.69	12.68	31.25	Roder-1976  	1
156.17	15.96	31.2	Roder-1976  	1
160.06	19.58	31.18	Roder-1976  	1
164.35	23.52	31.11	Roder-1976	1
187.95	5.11	32.04	Younglove-1974	1
188.67	5.35	31.99	Younglove-1974	1
187.59	4.93	32.2	Younglove-1974	1
189.59	5.59	31.83	Younglove-1974	1
184.76	4.54	31.72	Younglove-1974 	1
187.83	5.67	31.36	Younglove-1974	1
190.1	6.51	31.15	Younglove-1974	1
187.32	5.85	31.22	Younglove-1974	1
178.58	3.8	31.28	Younglove-1974	1
181.65	5.18	30.99	Younglove-1974	1
186.22	7.25	30.6	Younglove-1974	1
172.6	4.03	30.64	Younglove-1974 	1
178.55	7.34	30.59	Younglove-1974	1
181.61	9.04	30.31	Younglove-1974	1
184.64	10.72	30.26	Younglove-1974 	1
187.63	12.37	30.09	Younglove-1974 	1
190.68	14.06	30.08	Younglove-1974 	1
161.14	3.94	30.54	Younglove-1974	1
165.19	6.85	30.57	Younglove-1974	1
166.83	8.02	30.51	Younglove-1974	1
171.92	11.64	30.5	Younglove-1974 	1
172.49	12.04	30.34	Younglove-1974 	1
178.09	15.99	30.31	Younglove-1974 	1
178.58	16.33	30.27	Younglove-1974 	1
183.64	19.86	30.22	Younglove-1974 	1
185.18	20.93	30.19	Younglove-1974 	1
189.15	23.68	30.24	Younglove-1974 	1
153.98	3.08	31.04	Younglove-1974	1
157.88	6.21	30.93	Younglove-1974	1
162.2	9.65	30.8	Younglove-1974	1
166.5	13.04	30.83	Younglove-1974	1
170.77	16.38	30.72	Younglove-1974	1
175.01	19.68	30.57	Younglove-1974	1
179.31	22.99	30.61	Younglove-1974	1
183.51	26.2	30.43	Younglove-1974	1
187.7	29.37	30.47	Younglove-1974	-1
148.83	4.45	31.31	Younglove-1974	1
155.54	10.41	31.1	Younglove-1974	1
155.97	10.79	31.1	Younglove-1974	1
156.94	11.64	31.04	Younglove-1974	1
162.13	16.18	30.96	Younglove-1974	1
162.56	16.55	30.93	Younglove-1974	1
168.65	21.8	30.92	Younglove-1974	1
169.08	22.16	30.83	Younglove-1974	1
175.12	27.29	30.8	Younglove-1974	1
175.53	27.63	30.9	Younglove-1974	1
139.07	4.54	31.8	Younglove-1974	1
143.27	8.86	31.66	Younglove-1974	1
147.45	13.09	31.61	Younglove-1974	1
151.6	17.25	31.44	Younglove-1974	1
155.91	21.51	31.55	Younglove-1974	1
160.01	25.52	31.26	Younglove-1974	1
164.07	29.44	31.27	Younglove-1974	1
130.51	3.48	32.66	Younglove-1974	1
131.69	4.84	32.45	Younglove-1974	1
132.69	5.98	32.48	Younglove-1974	1
134.14	7.63	32.17	Younglove-1974	1
137.16	11.04	32.08	Younglove-1974	1
139.34	13.48	31.95	Younglove-1974	1
142.55	17.03	31.91	Younglove-1974	1
143.71	18.31	31.96	Younglove-1974	1
147.89	22.86	31.79	Younglove-1974	1
149.12	24.19	31.73	Younglove-1974	1
153.19	28.54	31.73	Younglove-1974	1
154.47	29.9	31.84	Younglove-1974	1
121.16	6.45	33.15	Younglove-1974	1
124.22	10.47	32.96	Younglove-1974	1
127.26	14.4	32.76	Younglove-1974	1
130.27	18.24	32.69	Younglove-1974	1
110.87	4.5	33.91	Younglove-1974	1
111.92	6.05	33.79	Younglove-1974	1
111.86	5.96	33.72	Younglove-1974	1
116.03	12.05	33.56	Younglove-1974	1
117.05	13.52	33.48	Younglove-1974	1
122.09	20.64	33.41	Younglove-1974	1
122.09	20.65	33.31	Younglove-1974	1
127.1	27.55	33.18	Younglove-1974	1
127.12	27.58	33.21	Younglove-1974   	1
102.42	4.84	34.43	Younglove-1974   	1
105.03	9.09	34.27	Younglove-1974   	1
107.47	12.99	34.13	Younglove-1974   	1
110.06	17.07	34.05	Younglove-1974   	1
112.45	20.78	34.03	Younglove-1974   	1
115.14	24.9	34.0	Younglove-1974   	1
117.36	28.25	33.88	Younglove-1974   	1
92.59	4.03	35.33	Younglove-1974   	1
92.61	4.05	35.41	Younglove-1974   	1
93.79	6.24	35.19	Younglove-1974   	1
95.47	9.29	35.0	Younglove-1974   	1
95.63	9.59	35.02	Younglove-1974   	1
96.67	11.45	34.9	Younglove-1974    	1
98.3	14.33	34.91	Younglove-1974    	1
99.5	16.44	34.83	Younglove-1974    	1
101.12	19.25	34.84	Younglove-1974   	1
102.32	21.31	34.71	Younglove-1974   	1
103.9	24.0	34.79	Younglove-1974   	1
105.1	26.03	34.6	Younglove-1974   	1
106.66	28.63	34.64	Younglove-1974 	1
