Temperature (K)	Pressure (MPa)	Density (kg/m3)	Reference	Outlier
165.0	2.3721	32.08	Goodwin-1974	1
130.0	2.4737	32.08	Goodwin-1974	1
190.75	4.571	116.015716	Vennix-1965	1
190.839	4.6342	163.813312	Vennix-1965	1
190.532	4.5834	178.98715199999998	Vennix-1965	1
190.703	4.6599	206.332144	Vennix-1965	1
188.969	4.3866	220.575664	Vennix-1965	1
189.258	4.4502	220.56604	Vennix-1965	1
189.767	4.5639	220.56604	Vennix-1965	1
190.172	4.6549	220.556416	Vennix-1965	1
190.447	4.7177	220.556416	Vennix-1965	1
190.532	4.7379	220.62218	Vennix-1965	1
190.736	4.784	220.556416	Vennix-1965	1
187.649	4.3274	240.12681999999995	Vennix-1965	1
188.927	4.6771	240.117196	Vennix-1965	1
190.532	5.1216	240.170128	Vennix-1965	1
183.351	3.8252	265.035336	Vennix-1965	1
185.267	4.4884	265.00485999999995	Vennix-1965	1
189.259	5.897	264.923056	Vennix-1965	1
190.532	6.3513	265.017692	Vennix-1965	1
179.14	3.3044	281.72655999999995	Vennix-1965	1
179.83	3.5849	281.716936	Vennix-1965	1
181.008	4.0651	281.697688	Vennix-1965	1
164.441	5.4773	281.64636	Vennix-1965	1
190.532	8.009	281.65438	Vennix-1965	1
182.834	6.5518	291.427552	Vennix-1965	1
162.631	6.5491	296.560352	Vennix-1965	1
175.629	3.1376	296.66942399999994	Vennix-1965	1
178.081	4.2935	296.629324	Vennix-1965	1
188.292	9.1648	296.4801519999999	Vennix-1965	1
190.532	10.2101	296.53308400000003	Vennix-1965	1
172.566	5.5009	320.739048	Vennix-1965	1
178.48	9.0082	320.637996	Vennix-1965	1
186.85	13.9761	320.498448	Vennix-1965	1
190.532	16.1544	320.540152	Vennix-1965	1
172.766	11.3831	340.259728	Vennix-1965	1
176.889	14.2805	340.189152	Vennix-1965	1
181.669	17.6336	340.099328	Vennix-1965	1
189.783	23.2523	339.95015599999994	Vennix-1965	1
190.532	23.7772	340.04799999999994	Vennix-1965	1
168.753	16.9422	359.470836	Vennix-1965	1
180.116	26.2665	359.251088	Vennix-1965	1
188.528	33.045	358.769888	Vennix-1965	1
190.532	34.644	359.16447199999993	Vennix-1965	1
114.524	0.8945	419.2471039999999	van Itterbeek-1963	1
114.524	4.7517	422.828836	van Itterbeek-1963	1
114.524	7.5421	425.2268159999999	van Itterbeek-1963	1
114.524	10.3824	427.595924	van Itterbeek-1963	1
114.524	13.3256	429.945784	van Itterbeek-1963	1
114.524	16.3436	432.33413999999993	van Itterbeek-1963	1
114.524	19.6656	434.735328	van Itterbeek-1963	1
114.524	23.245	437.31937199999993	van Itterbeek-1963	1
114.524	27.1554	439.994844	van Itterbeek-1963	1
114.524	31.2987	433.225964	van Itterbeek-1963	1
119.42	0.8328	411.926448	van Itterbeek-1963	1
119.42	3.0274	414.38538	van Itterbeek-1963	1
119.42	6.2146	417.534032	van Itterbeek-1963	1
119.42	10.4007	421.340324	van Itterbeek-1963	1
119.42	14.9093	425.11453599999993	van Itterbeek-1963	1
119.42	19.8372	429.03792	van Itterbeek-1963	1
119.42	25.3748	433.1618039999999	van Itterbeek-1963	1
119.42	31.691	437.163784	van Itterbeek-1963	1
124.917	0.9796	404.22404	van Itterbeek-1963	1
124.917	4.496	408.0912839999999	van Itterbeek-1963	1
124.917	8.4186	412.085244	van Itterbeek-1963	1
124.917	12.519	416.050332	van Itterbeek-1963	1
124.917	16.8629	419.8069	van Itterbeek-1963	1
124.917	21.7985	423.879456	van Itterbeek-1963	1
124.917	27.3638	428.213464	van Itterbeek-1963	1
130.987	1.5025	394.462096	van Itterbeek-1963	1
130.987	4.6246	395.163044	van Itterbeek-1963	1
130.987	7.9344	403.096428	van Itterbeek-1963	1
130.987	11.52	406.652496	van Itterbeek-1963	1
130.987	15.7736	410.34490399999993	van Itterbeek-1963	1
130.987	20.0714	414.23460399999993	van Itterbeek-1963	1
130.987	24.9306	418.449916	van Itterbeek-1963	1
130.987	30.2874	422.905828	van Itterbeek-1963	1
134.328	0.6891	388.086196	van Itterbeek-1963	1
134.328	2.7123	391.066428	van Itterbeek-1963	1
134.328	5.7831	395.278532	van Itterbeek-1963	1
134.328	9.1296	399.442516	van Itterbeek-1963	1
134.328	12.7826	403.460536	van Itterbeek-1963	1
134.328	16.6255	407.5106359999999	van Itterbeek-1963	1
134.328	20.9466	411.640936	van Itterbeek-1963	1
134.328	25.7678	415.954092	van Itterbeek-1963	1
134.328	31.029	420.522284	van Itterbeek-1963	1
139.061	1.2524	380.699776	van Itterbeek-1963	1
139.061	3.8254	384.892632	van Itterbeek-1963	1
139.061	0.749	389.159272	van Itterbeek-1963	1
139.061	9.8761	393.358544	van Itterbeek-1963	1
139.061	13.23	397.472804	van Itterbeek-1963	1
139.061	16.9001	401.532528	van Itterbeek-1963	1
139.061	20.9662	405.706136	van Itterbeek-1963	1
139.361	25.4969	409.93588399999993	van Itterbeek-1963	1
139.061	30.6	414.57786	van Itterbeek-1963	1
145.556	1.2996	368.676192	van Itterbeek-1963	1
145.556	3.5276	373.127292	van Itterbeek-1963	1
145.556	6.0368	377.5094199999999	van Itterbeek-1963	1
145.556	8.7361	381.9861839999999	van Itterbeek-1963	1
145.556	11.7186	386.300944	van Itterbeek-1963	1
145.556	14.9131	390.609288	van Itterbeek-1963	1
145.556	18.4018	394.908008	van Itterbeek-1963	1
145.556	22.2583	399.333444	van Itterbeek-1963	1
145.556	26.5891	403.877576	van Itterbeek-1963	1
145.556	31.4581	408.548424	van Itterbeek-1963	1
150.75	3.1021	362.755828	van Itterbeek-1963	1
150.75	5.1885	363.998928	van Itterbeek-1963	1
150.75	7.5115	371.589056	van Itterbeek-1963	1
150.75	10.0392	375.934292	van Itterbeek-1963	1
150.75	12.8071	380.13998	van Itterbeek-1963	1
150.75	15.7454	384.36652	van Itterbeek-1963	1
150.75	19.0	388.565792	van Itterbeek-1963	1
150.75	22.6137	392.935088	van Itterbeek-1963	1
150.75	26.6405	397.363732	van Itterbeek-1963	1
150.75	30.9862	401.923904	van Itterbeek-1963	1
158.238	2.2895	345.370072	van Itterbeek-1963	1
158.238	3.9627	350.218964	van Itterbeek-1963	1
158.238	5.8951	355.079084	van Itterbeek-1963	1
158.238	8.0251	359.891084	van Itterbeek-1963	1
158.238	10.3898	364.577972	van Itterbeek-1963	1
158.238	12.9358	369.194284	van Itterbeek-1963	1
158.238	15.7625	373.744832	van Itterbeek-1963	1
158.238	18.908	378.284152	van Itterbeek-1963	1
158.238	22.3624	382.90688	van Itterbeek-1963	1
158.238	26.1723	387.673968	van Itterbeek-1963	1
158.238	30.4591	392.511632	van Itterbeek-1963	1
158.316	3.0556	328.23774799999995	van Itterbeek-1963	1
158.816	4.2201	333.0561639999999	van Itterbeek-1963	1
158.816	5.6269	337.840896	van Itterbeek-1963	1
158.816	7.1461	342.56627999999995	van Itterbeek-1963	1
165.816	8.7639	347.275624	van Itterbeek-1963	1
165.816	10.6276	351.84702400000003	van Itterbeek-1963	1
165.816	12.5484	356.397572	van Itterbeek-1963	1
165.816	14.6708	360.919248	van Itterbeek-1963	1
165.816	16.9635	365.37516	van Itterbeek-1963	1
165.816	19.4903	369.87438	van Itterbeek-1963	1
165.816	25.2431	379.0251999999999	van Itterbeek-1963	1
165.816	28.8859	383.585372	van Itterbeek-1963	1
171.02	3.0512	312.148024	van Itterbeek-1963	1
171.02	3.962	316.915112	van Itterbeek-1963	1
171.02	4.9881	321.887512	van Itterbeek-1963	1
171.02	6.1856	326.80056399999995	van Itterbeek-1963	1
171.02	7.5316	331.671912	van Itterbeek-1963	1
171.02	9.0173	336.522408	van Itterbeek-1963	1
171.02	10.6293	341.239772	van Itterbeek-1963	1
171.02	12.408	345.868916	van Itterbeek-1963	1
171.02	14.2859	350.416256	van Itterbeek-1963	1
171.02	16.3662	354.921892	van Itterbeek-1963	1
171.32	18.6301	359.4884799999999	van Itterbeek-1963	1
171.02	21.0832	363.949204	van Itterbeek-1963	1
171.02	23.8168	368.549476	van Itterbeek-1963	1
171.02	26.8002	373.2058879999999	van Itterbeek-1963	1
171.02	30.0808	379.51442	van Itterbeek-1963	1
172.812	2.6918	303.213744	van Itterbeek-1963	1
172.812	3.4176	308.242284	van Itterbeek-1963	1
172.812	4.3111	313.4713239999999	van Itterbeek-1963	1
172.312	5.3641	318.652244	van Itterbeek-1963	1
172.812	6.5532	323.804292	van Itterbeek-1963	1
172.812	7.8943	330.454476	van Itterbeek-1963	1
172.812	9.3956	330.6245	van Itterbeek-1963	1
172.812	11.0311	338.705452	van Itterbeek-1963	1
172.812	12.3956	343.48376799999994	van Itterbeek-1963	1
172.812	14.8729	348.26368799999995	van Itterbeek-1963	1
172.312	16.9458	352.98586399999994	van Itterbeek-1963	1
172.812	19.3398	357.71606	van Itterbeek-1963	1
172.812	21.9091	362.502396	van Itterbeek-1963	1
172.812	24.7494	367.309584	van Itterbeek-1963	1
172.312	27.9157	372.18414	van Itterbeek-1963	1
172.812	31.3431	377.110024	van Itterbeek-1963	1
179.526	3.8288	286.336456	van Itterbeek-1963	1
179.526	4.3914	291.672964	van Itterbeek-1963	1
179.526	5.0375	297.009472	van Itterbeek-1963	1
179.526	5.8367	302.230492	van Itterbeek-1963	1
179.526	6.7352	307.445096	van Itterbeek-1963	1
179.526	7.7613	312.5426079999999	van Itterbeek-1963	1
179.526	8.9123	317.617664	van Itterbeek-1963	1
179.526	10.2227	322.58043999999995	van Itterbeek-1963	1
179.526	11.6557	327.50792799999994	van Itterbeek-1963	1
179.526	13.2223	332.39371199999994	van Itterbeek-1963	1
179.526	14.9605	337.2009	van Itterbeek-1963	1
179.526	16.6544	341.97440399999994	van Itterbeek-1963	1
179.526	18.9445	346.751116	van Itterbeek-1963	1
179.526	21.2479	351.539056	van Itterbeek-1963	1
179.526	23.7559	356.3494519999999	van Itterbeek-1963	1
179.526	26.5059	361.1807	van Itterbeek-1963	1
179.526	29.5185	358.056108	van Itterbeek-1963	1
