Temperature (K)	Pressure (MPa)	Enthalpy (kJ/mol)	Reference	Outlier
180.0	3.2	7.157	van Kasteren-1979  	1
185.0	3.2	7.5817	van Kasteren-1979  	1
190.0	3.2	7.9245	van Kasteren-1979  	1
200.0	3.2	8.5083	van Kasteren-1979  	1
210.0	3.2	8.9741	van Kasteren-1979     	1
338.71	3.45	0.4254	Dillard-1968	-1
294.26	3.45	0.5661	Budenholzer-1939       	1
310.93	3.45	0.4993	Budenholzer-1939   	-1
327.59	3.45	0.4553	Budenholzer-1939     	-1
344.26	3.45	0.4191	Budenholzer-1939   	-1
360.93	3.45	0.3803	Budenholzer-1939   	-1
377.59	3.45	0.3512	Budenholzer-1939   	-1
99.82	0.0	8.4493	Jones-1963	-1
105.37	0.0	8.6321	Jones-1963	-1
110.93	0.0	8.8187	Jones-1963	-1
116.48	0.0	9.0016	Jones-1963	-1
122.04	0.0	9.1845	Jones-1963	-1
127.59	0.0	9.3673	Jones-1963	1
133.15	0.0	9.5539	Jones-1963	1
138.71	0.0	9.7368	Jones-1963	1
144.26	0.0	9.9197	Jones-1963	1
149.82	0.0	10.1026	Jones-1963	1
155.37	0.0	10.2892	Jones-1963	1
160.93	0.0	10.472	Jones-1963	1
166.48	0.0	10.6549	Jones-1963	1
172.04	0.0	10.8378	Jones-1963	1
177.59	0.0	11.0244	Jones-1963	1
183.15	0.0	11.2072	Jones-1963	1
185.93	0.0	11.3005	Jones-1963	1
188.71	0.0	11.3938	Jones-1963	1
190.59	0.0	11.4573	Jones-1963	1
194.26	0.0	11.5804	Jones-1963	1
197.04	0.0	11.6737	Jones-1963	1
199.82	0.0	11.767	Jones-1963	1
202.59	0.0	11.8603	Jones-1963	1
205.37	0.0	11.9536	Jones-1963	1
210.93	0.0	12.1402	Jones-1963	1
216.48	0.0	12.3268	Jones-1963	1
222.04	0.0	12.5134	Jones-1963	1
227.59	0.0	12.7	Jones-1963	1
233.15	0.0	12.8866	Jones-1963	1
238.71	0.0	13.0732	Jones-1963	1
244.26	0.0	13.2598	Jones-1963	1
249.82	0.0	13.4502	Jones-1963	1
255.37	0.0	13.6405	Jones-1963	1
260.93	0.0	13.8308	Jones-1963	1
266.48	0.0	14.0212	Jones-1963	1
272.04	0.0	14.2152	Jones-1963	1
277.59	0.0	14.4093	Jones-1963	1
283.15	0.0	14.6034	Jones-1963	1
127.59	0.34	1.5339	Jones-1963	-1
133.15	0.34	9.3599	Jones-1963	1
138.71	0.34	9.5465	Jones-1963	1
144.26	0.34	9.7331	Jones-1963	1
149.82	0.34	9.9271	Jones-1963	1
155.37	0.34	10.1212	Jones-1963	1
160.93	0.34	10.3153	Jones-1963	1
166.48	0.34	10.5093	Jones-1963	1
172.04	0.34	10.7034	Jones-1963	1
177.59	0.34	10.8975	Jones-1963	1
183.15	0.34	11.0878	Jones-1963	1
185.93	0.34	11.1848	Jones-1963	1
188.71	0.34	11.2781	Jones-1963	1
190.59	0.34	11.3453	Jones-1963	1
194.26	0.34	11.4685	Jones-1963	1
197.04	0.34	11.5655	Jones-1963	1
199.82	0.34	11.6588	Jones-1963	1
202.59	0.34	11.7558	Jones-1963	1
205.37	0.34	11.8491	Jones-1963	1
210.93	0.34	12.0395	Jones-1963	1
216.48	0.34	12.2298	Jones-1963	1
222.04	0.34	12.4201	Jones-1963	1
227.59	0.34	12.6105	Jones-1963	1
233.15	0.34	12.8008	Jones-1963	1
238.71	0.34	12.9911	Jones-1963	1
244.26	0.34	13.1852	Jones-1963	1
249.82	0.34	13.3755	Jones-1963	1
255.37	0.34	13.5659	Jones-1963	1
260.93	0.34	13.7599	Jones-1963	1
266.48	0.34	13.954	Jones-1963	1
272.04	0.34	14.1518	Jones-1963	1
277.59	0.34	14.3496	Jones-1963	1
283.15	0.34	14.5474	Jones-1963	1
144.26	0.69	9.5316	Jones-1963	1
149.82	0.69	9.7331	Jones-1963	1
155.37	0.69	9.9383	Jones-1963	1
160.93	0.69	10.1436	Jones-1963	1
166.48	0.69	10.3451	Jones-1963	1
172.04	0.69	10.5467	Jones-1963	1
177.59	0.69	10.7482	Jones-1963	1
183.15	0.69	10.946	Jones-1963	1
185.93	0.69	11.0467	Jones-1963	1
188.71	0.69	11.1438	Jones-1963	1
190.59	0.69	11.211	Jones-1963	1
194.26	0.69	11.3416	Jones-1963	1
197.04	0.69	11.4423	Jones-1963	1
199.82	0.69	11.5394	Jones-1963	1
